,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,1050977,1083398,671528,539816,1164574,479902,696390,669912,511914,890415,979807,636647,723095,693655,687231,518808,818705,1030758,1334094,426692,Upgrade
1,Short-Term Investments,3283000,3341579,3579535,2936610,2724090,3494948,2924213,2284225,2972443,2628935,2018188,1833924,2443209,2216320,2150068,1751365,2386211,2081751,1600672,1389841,Upgrade
2,Cash & Short-Term Investments,4333976,4424977,4251063,3476426,3888664,3974850,3620603,2954137,3484357,3519350,2997995,2470570,3166304,2909975,2837299,2270173,3204916,3112509,2934767,1816533,Upgrade
3,Cash Growth,11.45%,11.32%,17.41%,17.68%,11.60%,12.94%,20.77%,19.57%,10.04%,20.94%,5.66%,8.83%,-1.20%,-6.51%,-3.32%,24.97%,11.77%,-22.71%,-23.30%,-45.40%,Upgrade
4,Accounts Receivable,131994,275727,271314,260486,315274,309226,301204,293529,276623,321325,325327,234076,271348,266432,248378,176643,83722,241410,180330,217634,Upgrade
5,Other Receivables,80454,104946,128396,154754,143956,328872,318722,288185,243495,284543,299654,277795,271871,409295,402009,379812,506738,353194,406411,409517,Upgrade
6,Receivables,212448,380673,399710,415240,459230,638097,619926,581713,520118,605868,624980,511871,543220,675727,650387,568855,602861,607004,599641,640051,Upgrade
7,Inventory,712541,623512,694952,646642,719429,721959,725229,670629,724445,543063,591277,629088,552768,629303,630129,570699,597224,618843,654521,751066,Upgrade
8,Prepaid Expenses,30269,13845,12848,14432,22338,16121,15810,21382,26847,18570,17431,14538,20178,12434,15367,19892,22442,12530,14415,21343,Upgrade
9,Other Current Assets,58875,66127,66496,80571,46210,69679,74193,77728,109786,54013,86692,92404,59406,96000,75756,82189,73321,89023,112208,136782,Upgrade
10,Total Current Assets,5348110,5509135,5425069,4633311,5135871,5420707,5055761,4305589,4865553,4740865,4318376,3718472,4341876,4323439,4208938,3511807,4500763,4439909,4315551,3365775,Upgrade
11,"Property, Plant & Equipment",1144904,1190585,1274189,1367395,1452615,1524999,1608073,1678301,1772075,1838586,1936444,2016649,2123783,2197091,2295794,2419492,2529067,2609256,2692156,2776206,Upgrade
12,Long-Term Investments,476500,474436,271114,275401,271003,320406,313964,316346,315992,313424,309854,265110,266972,256538,276251,265105,265202,278556,277553,280901,Upgrade
13,Other Intangible Assets,75217,75984,78594,81284,85258,76289,76424,79902,83400,86334,89971,93075,96781,96087,99543,73199,74313,72520,57090,58205,Upgrade
14,Long-Term Deferred Tax Assets,4286,1556,2621,4404,4823,2504,1888,4272,6964,3581,4480,6550,4760,2737,3423,5095,4850,-,-,-,Upgrade
15,Other Long-Term Assets,211945,214012,223580,190877,200411,214856,226049,197384,211437,217440,228020,234284,253557,272928,289455,283133,309888,338910,345152,346851,Upgrade
16,Total Assets,7260962,7465707,7275168,6552672,7149981,7559762,7282158,6581794,7255423,7200229,6887144,6334140,7087730,7148820,7173404,6557831,7684083,7739151,7687502,6827938,Upgrade
17,Accounts Payable,677488,414259,502091,305720,456646,481457,478457,293359,565377,368244,482202,324314,400557,276374,538076,363801,592420,308868,610827,439023,Upgrade
18,Accrued Expenses,738734,1131727,902355,505404,846425,1125733,933695,507152,853167,1056865,845129,538567,717100,321172,747538,345268,592178,752736,699004,195362,Upgrade
19,Short-Term Debt,67765,15083,48920,65083,108485,27003,27549,36573,47975,61604,64347,156068,158671,103137,69473,124912,165718,141228,184506,186354,Upgrade
20,Current Portion of Long-Term Debt,2916,2916,2304,1728,2304,-,24500,44000,48500,52000,43500,40000,39000,41037,42908,52644,54479,58609,78315,74745,Upgrade
21,Current Income Taxes Payable,42514,17898,3664,5050,5156,5174,5248,4296,4144,4180,4311,5125,5041,444047,-,4942,4175,5613,6759,5689,Upgrade
22,Current Unearned Revenue,4.8,416.59,96,768.61,-,396.5,80.65,498.8,-,387.83,181.97,564.53,18.32,358.95,312.86,262.09,18.32,135.82,6,144.82,Upgrade
23,Other Current Liabilities,330340,592254,602569,271037,307326,260565,245471,280819,296345,237974,253831,250566,784600,404270,332649,343961,337197,641624,591929,593636,Upgrade
24,Total Current Liabilities,1859763,2174554,2061999,1154791,1726342,1900329,1715001,1166697,1815508,1781256,1693502,1315205,2104987,1590397,1730956,1235790,1746186,1908813,2171345,1494954,Upgrade
25,Long-Term Debt,915.96,1069,7200,6518,6518,-,-,-,-,-,24500,44000,48500,54244,72686,97368,100868,106907,122407,133446,Upgrade
26,Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4445,3635,665.15,Upgrade
27,Other Long-Term Liabilities,122205,123399,118275,106226,109612,117007,118899,114055,112817,113730,111799,105606,99364,98644,100642,106178,101491,101375,101169,115708,Upgrade
28,Total Liabilities,1982883,2299022,2187474,1267535,1842472,2017336,1833900,1280753,1928325,1894985,1829800,1464811,2252851,1743286,1904285,1439336,1948545,2121540,2398555,1744774,Upgrade
29,Common Stock,2318000,2318000,2318000,2318000,2318000,2318000,2318000,2318000,2318000,2318000,2318000,2318000,2318000,2318000,2318000,2318000,2318000,2318000,2318000,2318000,Upgrade
30,Retained Earnings,2274396,2165046,2097327,2298337,2304274,2554533,2471265,2314247,2314889,2300443,2082531,1906503,1860843,2422635,2295183,2162722,2773529,2640723,2338158,2133049,Upgrade
