,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Operating Revenue,2270698,2335257,2305566,1308100,2243472,2259872,2078349,1172660,2472476,2440225,2134771,1354297,1943553,1695640,1935945,1375401,1840442,2720238,2118647,773265,Upgrade
1,Revenue,2270698,2335257,2305566,1308100,2243472,2259872,2078349,1172660,2472476,2440225,2134771,1354297,1943553,1695640,1935945,1375401,1840442,2720238,2118647,773265,Upgrade
2,Revenue Growth (YoY),1.21%,3.34%,10.93%,11.55%,-9.26%,-7.39%,-2.64%,-13.41%,27.21%,43.91%,10.27%,-1.53%,5.60%,-37.67%,-8.62%,77.87%,-30.96%,1.70%,-12.90%,-50.51%,Upgrade
3,Cost of Revenue,1638123,1692539,1662083,1041251,1695321,1670201,1547521,926746,1838572,1730681,1516103,1000131,1529456,1255148,1424414,1045271,1383103,1914716,1547029,628217,Upgrade
4,Gross Profit,632575,642718,643483,266849,548151,589671,530828,245914,633904,709545,618668,354166,414098,440492,511531,330130,457339,805523,571617,145048,Upgrade
5,"Selling, General & Admin",564888,524990,469797,322869,535515,515881,366916,290164,622688,477054,414127,329704,468971,313431,335039,313472,539256,457683,327152,265888,Upgrade
6,Operating Expenses,564888,524990,469797,322869,535515,515881,366916,290164,622688,477054,414127,329704,468971,313431,335039,313472,539256,457683,327152,265888,Upgrade
7,Operating Income,67686,117728,173686,-56020,12636,73790,163912,-44250,11216,232491,204541,24462,-54874,127061,176492,16657,-81917,347839,244465,-120840,Upgrade
8,Interest Expense,-370.55,-458.54,-941.96,-1173,-900.78,-865.89,-1555,-2416,-964.3,-2054,-2621,-3101,-4117,-2336,-2755,-3868,-6720,-4564,-5165,-6281,Upgrade
9,Interest & Investment Income,54366,43994,38300,37711,69498,58646,57111,45191,57199,33053,28270,25529,33614,27882,32639,27922,39554,33505,30532,27283,Upgrade
10,Earnings From Equity Investments,4144,3321,4454,4399,776.2,6442,4852,354.05,2902,3570,2658,-1864,10169,276.35,400.07,-96.58,-5416,1003,4793,-1203,Upgrade
11,Currency Exchange Gain (Loss),147.08,-38.18,207.75,32.26,-121.18,2.81,638.51,-34,442.92,149.72,20.95,-200.19,278.26,73.3,0.4,0.51,-163.13,3832,-51.46,139.12,Upgrade
12,Other Non Operating Income (Expenses),12427,7302,7461,2167,5635,4332,3433,5756,5431,3332,5246,1087,-153.92,1853,-2536,24769,242270,21896,-1400,3151,Upgrade
13,EBT Excluding Unusual Items,138399,171848,223167,-12885,87523,142347,228391,4600,76227,270541,238116,45913,-15083,154809,204240,65384,187608,403512,273174,-97750,Upgrade
14,Gain (Loss) on Sale of Investments,-,-,-,-,-179.95,-,-,-,-333.76,-,-,-,275.61,-,-639.89,-,-251.53,-,130.3,-,Upgrade
15,Gain (Loss) on Sale of Assets,541.34,140.91,907.58,2.75,1285,39.76,720.11,557.93,1277,1915,2707,130.24,670.08,1737,1569,-164.43,1819,-,-,-,Upgrade
16,Other Unusual Items,-,-331.9,-3141,-27.91,-787.55,-4.15,-143.32,-14.37,-524.6,-20.15,-61.61,-61.39,-917.57,-71.8,-239.09,-1.02,-372.74,-140.11,139.08,-621.77,Upgrade
17,Pretax Income,138940,171657,220933,-12910,87841,142382,228968,5144,76645,272436,240761,45982,-15055,156475,204930,65219,188803,403372,273444,-98372,Upgrade
18,Income Tax Expense,25597,33211,48897,8077,24625,35637,40600,8788,45490,36581,35629,11929,28388,19474,23083,16451,16204,62668,26202,1585,Upgrade
19,Earnings From Continuing Operations,113344,138446,172036,-20987,63216,106745,188368,-3644,31155,235855,205133,34053,-43443,137001,181847,48768,172599,340705,247242,-99956,Upgrade
20,Minority Interest in Earnings,-3848,-14359,-18092,15751,-5295,-16343,-12042,15122,499.42,-30996,-22326,11337,9151,-9546,-35104,15778,19413,-28213,-22690,27250,Upgrade
21,Net Income,109496,124087,153945,-5236,57921,90402,176325,11477,31655,204859,182807,45390,-34291,127455,146743,64546,192012,312491,224552,-72706,Upgrade
22,Preferred Dividends & Other Adjustments,-,-,-,-,5519,-,-,-,43011,-,-,-,3444,-,-,-,77550,8898,-,-,Upgrade
23,Net Income to Common,109496,124087,153945,-5236,52402,90402,176325,11477,-11356,204859,182807,45390,-37736,127455,146743,64546,114461,303593,224552,-72706,Upgrade
24,Net Income Growth,89.04%,37.26%,-12.69%,-,82.98%,-55.87%,-3.55%,-74.71%,-,60.73%,24.58%,-29.68%,-,-59.21%,-34.65%,-,243.83%,110.07%,-5.31%,-,Upgrade
25,Shares Outstanding (Basic),232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,Upgrade
26,Shares Outstanding (Diluted),232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,Upgrade
27,EPS (Basic),472.37,535.32,664.13,-22.59,226.07,390.00,760.68,49.51,-48.99,883.77,788.64,195.81,-162.79,549.85,633.06,278.45,493.79,1309.72,968.73,-313.66,Upgrade
28,EPS (Diluted),472.00,535.00,664.13,-23.00,226.00,390.00,760.68,49.00,-49.00,883.77,788.00,195.81,-162.79,549.85,633.00,278.45,493.79,1309.72,968.73,-314.00,Upgrade
29,EPS Growth,108.85%,37.18%,-12.69%,-,-,-55.87%,-3.47%,-74.98%,-,60.73%,24.49%,-29.68%,-,-58.02%,-34.66%,-,-,104.09%,-5.31%,-,Upgrade
30,Free Cash Flow,136001,350699,777392,-390664,-53596,366212,640495,-569820,-60312,526995,655261,-161995,248116,27162,645506,-279804,39214,223553,1124820,-1018776,Upgrade
31,Free Cash Flow Per Share,586.72,1512.94,3353.72,-1685.35,-231.22,1579.86,2763.14,-2458.24,-260.19,2273.49,2826.84,-698.86,1070.39,117.18,2784.76,-1207.09,169.17,964.42,4852.54,-4395.06,Upgrade
32,Dividend Per Share,-,-,-,-,1500.000,-,-,-,1200.000,-,-,-,2380.000,-,-,-,2380.000,-,-,-,Upgrade
33,Dividend Growth,-,-,-,-,25.00%,-,-,-,-49.58%,-,-,-,0%,-,-,-,296.67%,-,-,-,Upgrade
34,Gross Margin,27.86%,27.52%,27.91%,20.40%,24.43%,26.09%,25.54%,20.97%,25.64%,29.08%,28.98%,26.15%,21.31%,25.98%,26.42%,24.00%,24.85%,29.61%,26.98%,18.76%,Upgrade
35,Operating Margin,2.98%,5.04%,7.53%,-4.28%,0.56%,3.27%,7.89%,-3.77%,0.45%,9.53%,9.58%,1.81%,-2.82%,7.49%,9.12%,1.21%,-4.45%,12.79%,11.54%,-15.63%,Upgrade
