,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,109,109,114,145,158,168,224,261,249,198,172,Upgrade
1,Market Cap Growth,-24.57%,-24.57%,-28.27%,-13.79%,-29.26%,-35.56%,-10.00%,31.80%,44.23%,-22.90%,-52.73%,Upgrade
2,Enterprise Value,-81,-143,-145,-67,-22,108,166,61,-71,12,2,Upgrade
3,Last Close Price,0.13,0.13,0.14,0.17,0.19,0.20,0.26,0.30,0.28,0.22,0.19,Upgrade
4,PE Ratio,-,-,-,-,-,-,11.99,13.37,14.73,-2.95,-,Upgrade
5,PS Ratio,0.06,0.06,0.07,0.08,0.07,0.06,0.09,0.11,0.13,0.12,0.09,Upgrade
6,PB Ratio,0.14,0.14,0.14,0.17,0.18,0.19,0.24,0.29,0.28,0.23,0.20,Upgrade
7,P/TBV Ratio,0.14,0.14,0.14,0.17,0.18,0.19,0.24,0.29,0.28,0.23,0.20,Upgrade
8,P/FCF Ratio,-,-,-,1.87,0.95,1.11,-2.64,-,-,1.32,5.47,Upgrade
9,P/OCF Ratio,-,-,-,1.59,0.85,1.04,-2.92,-,-,1.29,4.55,Upgrade
10,EV/Sales Ratio,-,-,-,-,-,0.04,0.07,0.03,-,0.01,0.00,Upgrade
11,EV/EBITDA Ratio,-,-,-,-,-,3.78,3.98,2.25,-,-0.33,-,Upgrade
12,EV/EBIT Ratio,-,-,-,-,-,-,4.70,2.87,-,-0.28,-,Upgrade
13,EV/FCF Ratio,1.12,-,-,-,-,0.71,-1.96,-,-,0.08,0.07,Upgrade
14,Debt / Equity Ratio,0.03,0.03,0.02,0.01,0.01,0.15,0.16,0.13,0.10,0.08,0.14,Upgrade
15,Debt / FCF Ratio,-,-,-,0.12,0.06,0.86,-1.78,-,-,0.46,3.85,Upgrade
16,Return on Capital Employed (ROCE),-,-,-,-,-,-,3.77%,2.34%,1.81%,-4.75%,-,Upgrade
17,Earnings Yield,-48.85%,-48.48%,-43.77%,-35.93%,-28.09%,2.14%,8.34%,7.48%,6.79%,-33.90%,-74.29%,Upgrade
18,FCF Yield,-66.47%,-65.97%,38.76%,53.51%,105.30%,90.30%,-37.89%,-83.61%,5.87%,75.60%,18.28%,Upgrade
