,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Revenue,1008,854.91,844.58,900.18,1304,1306,1244,1088,864.04,831.88,Upgrade
1,Revenue Growth (YoY),19.30%,-5.03%,-35.26%,-31.07%,4.88%,20.05%,43.96%,30.77%,-16.30%,-15.86%,Upgrade
2,Cost of Revenue,968,823.76,808.06,875.82,1252,1225,1179,1023,815.98,834,Upgrade
3,Gross Profit,39.58,31.15,36.52,24.36,52.99,81.24,64.4,64.73,48.06,-2.12,Upgrade
4,"Selling, General & Admin",58.03,54.59,55.09,58.09,57.95,62.61,53.75,55.04,46.58,52.42,Upgrade
5,Other Operating Expenses,-1.36,-6.93,-4.85,-5.29,-4.61,-3.76,-2.29,1.23,-6.49,-3.94,Upgrade
6,Operating Expenses,56.67,47.66,50.24,52.81,53.34,58.85,51.46,56.27,40.08,48.48,Upgrade
7,Operating Income,-17.1,-16.51,-13.72,-28.45,-0.35,22.39,12.95,8.46,7.98,-50.6,Upgrade
8,Interest Expense,-0.51,-0.1,-0.3,-2.43,-3.45,-1.79,-1.17,-1.1,-0.83,-1.72,Upgrade
9,Interest & Investment Income,1.26,1.53,1.13,1.13,0.36,0.72,0.38,0.45,0.53,1.02,Upgrade
10,Currency Exchange Gain (Loss),-,0.82,-,-1.04,-,-4.91,-,2.08,-,-2.65,Upgrade
11,EBT Excluding Unusual Items,-16.34,-14.27,-12.89,-30.79,-3.44,16.4,12.15,9.9,7.68,-53.95,Upgrade
12,Gain (Loss) on Sale of Assets,-,0.05,-,0.02,-,0.58,-,0.06,-,0.01,Upgrade
13,Asset Writedown,-,-19,-,-3.6,-,-2.74,-,-1,-,-16.94,Upgrade
14,Other Unusual Items,-,0.3,-,2.66,-,-,-,5.66,-,-,Upgrade
15,Pretax Income,-16.34,-32.92,-12.89,-31.71,-3.44,14.25,12.15,14.62,7.68,-70.88,Upgrade
16,Income Tax Expense,1.51,2.22,1.82,5.67,3.77,3.68,4.18,3.2,2.27,1.71,Upgrade
17,Earnings From Continuing Operations,-17.85,-35.14,-14.71,-37.38,-7.21,10.57,7.97,11.42,5.42,-72.6,Upgrade
18,Minority Interest in Earnings,-0.14,0.09,0.06,-0.08,0.2,0.04,0.07,0.06,-0.02,0.05,Upgrade
19,Net Income,-17.99,-35.05,-14.65,-37.46,-7.01,10.62,8.04,11.49,5.4,-72.54,Upgrade
20,Net Income to Common,-17.99,-35.05,-14.65,-37.46,-7.01,10.62,8.04,11.49,5.4,-72.54,Upgrade
21,Net Income Growth,-,-,-,-,-,-7.57%,48.99%,-,-,-,Upgrade
22,Shares Outstanding (Basic),829,829,829,829,829,829,829,829,829,829,Upgrade
23,Shares Outstanding (Diluted),829,829,829,829,829,829,829,829,829,829,Upgrade
24,EPS (Basic),-0.02,-0.04,-0.02,-0.05,-0.01,0.01,0.01,0.01,0.01,-0.09,Upgrade
25,EPS (Diluted),-0.02,-0.04,-0.02,-0.05,-0.01,0.01,0.01,0.01,0.01,-0.09,Upgrade
26,EPS Growth,-,-,-,-,-,-7.57%,48.99%,-,-,-,Upgrade
27,Free Cash Flow,-64.91,-7.26,51.27,26.33,140.35,11.56,-96.34,-121.94,136.55,13.2,Upgrade
28,Free Cash Flow Per Share,-0.08,-0.01,0.06,0.03,0.17,0.01,-0.12,-0.15,0.16,0.02,Upgrade
29,Operating Margin,-1.70%,-1.93%,-1.62%,-3.16%,-0.03%,1.71%,1.04%,0.78%,0.92%,-6.08%,Upgrade
30,Profit Margin,-1.79%,-4.10%,-1.73%,-4.16%,-0.54%,0.81%,0.65%,1.06%,0.62%,-8.72%,Upgrade
31,Free Cash Flow Margin,-6.44%,-0.85%,6.07%,2.92%,10.76%,0.89%,-7.74%,-11.21%,15.80%,1.59%,Upgrade
32,EBITDA,-12.33,-11.99,-10.83,-25.49,3.04,25.59,16.12,11.13,10.57,-46.54,Upgrade
33,D&A For EBITDA,4.77,4.52,2.89,2.95,3.4,3.2,3.18,2.66,2.59,4.06,Upgrade
34,EBIT,-17.1,-16.51,-13.72,-28.45,-0.35,22.39,12.95,8.46,7.98,-50.6,Upgrade
