,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,167112,159065,114522,99357,169262,90863,71136,78176,132843,68339,100716,3504,-,96007,94784,67205,257207,55941,73313,83971,Upgrade
1,Revenue Growth (YoY),-1.27%,75.06%,60.99%,27.09%,27.41%,32.96%,-29.37%,2131.24%,-,-28.82%,6.26%,-94.79%,-,71.62%,29.29%,-19.97%,128.48%,-5.03%,-4.68%,-19.53%,Upgrade
2,Cost of Revenue,111143,98231,67815,60177,127833,58703,43555,55605,119364,62392,91342,1564,-,91106,84501,58009,252336,46306,63496,74414,Upgrade
3,Gross Profit,55970,60834,46708,39180,41428,32160,27581,22571,13479,5947,9373,1939,-,4901,10283,9196,4871,9634,9817,9557,Upgrade
4,"Selling, General & Admin",7681,5404,7122,3523,3832,2788,2789,3016,3351,2288,2104,2023,-,3812,3669,4457,3527,2974,2601,3388,Upgrade
5,Operating Expenses,7681,5404,7122,3523,3832,2788,2789,3016,3351,2288,2104,2023,-,3812,3669,4457,3527,2974,2601,3388,Upgrade
6,Operating Income,48288,55430,39585,35658,37596,29373,24792,19555,10128,3660,7270,-84.23,-,1089,6614,4738,1344,6661,7216,6169,Upgrade
7,Interest Expense,-21329,-21208,-13470,-16728,-18444,-19341,-17721,-12634,-4222,-65.17,-65.85,-67.18,-,-49.63,-48.66,-,-,-,-,-,Upgrade
8,Interest & Investment Income,1486,825.77,1419,1405,1215,1092,679.31,474.48,322.41,433.23,703.01,361.21,-,435.3,950.29,376.76,1692,747.79,1623,312.95,Upgrade
9,Other Non Operating Income (Expenses),3362,-4539,150.76,-271.74,-60.1,160.11,293.64,-143.24,-492.54,1.07,1.68,4.49,-,649.69,-149,283.05,-1486,-4961,-61.12,13.72,Upgrade
10,EBT Excluding Unusual Items,31807,30509,27685,20063,20306,11283,8044,7253,5735,4029,7909,214.3,-,2124,7367,5398,1549,2448,8778,6495,Upgrade
11,Pretax Income,31807,30509,27685,20063,20306,11283,8044,7253,5735,4029,7909,214.3,-,2124,7367,5398,1549,2448,8778,6495,Upgrade
12,Income Tax Expense,6399,6103,5738,4037,4013,2324,1582,1467,1210,827.61,1603,64.53,-,444.56,1676,1080,349.62,594.94,1764,1304,Upgrade
13,Net Income,25408,24405,21947,16026,16293,8959,6462,5786,4525,3201,6305,149.77,-,1679,5690,4318,1200,1853,7014,5191,Upgrade
14,Net Income to Common,25408,24405,21947,16026,16293,8959,6462,5786,4525,3201,6305,149.77,-,1679,5690,4318,1200,1853,7014,5191,Upgrade
15,Net Income Growth,55.94%,172.41%,239.66%,176.97%,260.06%,179.86%,2.48%,3763.23%,-,90.62%,10.80%,-96.53%,-,-9.36%,-18.87%,-16.81%,-50.57%,91.76%,17.29%,-44.58%,Upgrade
16,Shares Outstanding (Basic),56,56,56,56,56,31,31,31,56,31,31,30,31,31,31,31,33,29,29,31,Upgrade
17,Shares Outstanding (Diluted),56,56,56,56,56,31,31,31,56,31,31,30,31,31,31,31,33,29,29,31,Upgrade
18,Shares Change (YoY),-0.02%,81.20%,81.44%,81.76%,-0.46%,-0.16%,-0.03%,2.20%,80.98%,0.65%,0.04%,-2.31%,-7.81%,5.75%,5.51%,-0.07%,-10.33%,4.60%,-10.62%,11.11%,Upgrade
19,EPS (Basic),457.00,439.00,395.00,288.00,293.00,292.00,211.00,189.00,81.00,104.17,205.83,5.00,-,55.00,185.83,140.83,35.83,64.17,241.67,169.17,Upgrade
20,EPS (Diluted),457.00,439.00,395.00,288.00,293.00,292.00,211.00,189.00,81.00,104.17,205.83,5.00,-,55.00,185.83,140.83,35.83,64.17,241.67,169.17,Upgrade
21,EPS Growth,55.97%,50.34%,87.20%,52.38%,261.73%,180.32%,2.51%,3680.00%,-,89.39%,10.76%,-96.45%,-,-14.29%,-23.10%,-16.75%,-44.87%,83.33%,31.22%,-50.12%,Upgrade
22,Free Cash Flow,-,-506497,67399,51333,-,-429437,24896,-283437,-,18379,-3312,-902.66,-,-2140,-176.47,-8944,-23998,-1655,-3148,-6794,Upgrade
23,Free Cash Flow Per Share,-,-9110.78,1213.04,922.52,-,-13996.72,812.98,-9258.49,-,598.05,-108.11,-30.13,-,-70.10,-5.76,-291.68,-716.73,-57.33,-108.47,-221.42,Upgrade
24,Gross Margin,33.49%,38.24%,40.78%,39.43%,24.48%,35.39%,38.77%,28.87%,10.15%,8.70%,9.31%,55.35%,-,5.10%,10.85%,13.68%,1.89%,17.22%,13.39%,11.38%,Upgrade
25,Operating Margin,28.90%,34.85%,34.57%,35.89%,22.21%,32.33%,34.85%,25.01%,7.62%,5.36%,7.22%,-2.40%,-,1.13%,6.98%,7.05%,0.52%,11.91%,9.84%,7.35%,Upgrade
26,Profit Margin,15.20%,15.34%,19.16%,16.13%,9.63%,9.86%,9.08%,7.40%,3.41%,4.68%,6.26%,4.27%,-,1.75%,6.00%,6.43%,0.47%,3.31%,9.57%,6.18%,Upgrade
27,Free Cash Flow Margin,-,-318.42%,58.85%,51.67%,-,-472.62%,35.00%,-362.56%,-,26.89%,-3.29%,-25.76%,-,-2.23%,-0.19%,-13.31%,-9.33%,-2.96%,-4.29%,-8.09%,Upgrade
28,EBITDA,-,-,-,-,-,-,-,-,10376,3908,7518,164.26,-,1370,6898,4901,1546,7301,7998,6949,Upgrade
29,EBITDA Margin,-,-,-,-,-,-,-,-,7.81%,5.72%,7.46%,4.69%,-,1.43%,7.28%,7.29%,0.60%,13.05%,10.91%,8.28%,Upgrade
30,D&A For EBITDA,-,-,-,-,-,-,-,-,248.49,248.49,248.49,248.49,-,281.29,283.85,163.09,202.27,640.6,782.41,780.69,Upgrade
31,EBIT,48288,55430,39585,35658,37596,29373,24792,19555,10128,3660,7270,-84.23,-,1089,6614,4738,1344,6661,7216,6169,Upgrade
32,EBIT Margin,28.90%,34.85%,34.57%,35.89%,22.21%,32.33%,34.85%,25.01%,7.62%,5.36%,7.22%,-2.40%,-,1.13%,6.98%,7.05%,0.52%,11.91%,9.84%,7.35%,Upgrade
33,Effective Tax Rate,20.12%,20.01%,20.73%,20.12%,19.76%,20.60%,19.67%,20.22%,21.10%,20.54%,20.27%,30.11%,-,20.93%,22.75%,20.00%,22.56%,24.31%,20.10%,20.08%,Upgrade
34,Revenue as Reported,167112,159065,114522,99357,169262,90863,71136,78176,132843,68339,100716,3504,-,96007,94784,67205,257207,55941,73313,83971,Upgrade
