,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,23173,22003,73865,45093,32387,7498,7021,9939,-,21193,1837,3856,4865,6844,4833,1949,6082,6057,6276,13285,Upgrade
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,43000,43000,44000,44000,45071,48079,51083,51083,74000,51000,46000,Upgrade
2,Cash & Short-Term Investments,23173,22003,73865,45093,32387,7498,7021,9939,-,64193,44837,47856,48865,51915,52912,53033,57166,80057,57276,59285,Upgrade
3,Cash Growth,-28.45%,193.44%,951.98%,353.69%,-,-88.32%,-84.34%,-79.23%,-,23.65%,-15.26%,-9.76%,-14.52%,-35.15%,-7.62%,-10.55%,-13.43%,196.50%,298.60%,2421.07%,Upgrade
4,Accounts Receivable,17737,8413,4840,25993,32332,26244,17129,16329,-,203911,189504,218973,223519,240797,232693,264690,198998,71282,62525,44807,Upgrade
5,Other Receivables,9779,15217,9170,3546,3478,3950,0.1,0.1,-,536.49,1163,690.16,1027,4728,4967,4633,10976,39039,105438,100622,Upgrade
6,Receivables,27515,23630,14011,29539,35810,30194,17129,16329,-,204447,190667,219663,224546,245525,237660,269323,209974,110322,167963,145429,Upgrade
7,Inventory,11735,6550,6902,5583,5207,6164,3750,4322,-,278.46,278.46,20341,20341,22519,20341,21911,22898,4856,5156,7569,Upgrade
8,Prepaid Expenses,14687,2710,5043,4778,847.74,1624,2453,2987,-,710.6,-,-,151.73,42.17,178.63,315.1,319.14,19192,37130,51493,Upgrade
