,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,620440,640454,595422,515366,480341,360256,395280,206999,182159,135239,158700,133400,216200,202400,197800,149500,161000,126500,121900,121900,195500,Upgrade
1,Market Cap Growth,-19.77%,77.78%,50.63%,148.97%,163.69%,166.38%,149.07%,55.17%,-15.74%,-33.18%,-19.77%,-10.77%,34.29%,60.00%,62.26%,22.64%,-17.65%,-36.78%,-18.46%,0%,26.87%,Upgrade
2,Enterprise Value,1761195,1645160,1093638,1080985,1097298,1040733,870866,707773,120291,73371,116293,88079,169976,153232,147741,99425,80943,46443,64624,62615,129463,Upgrade
3,Last Close Price,12400.00,12800.00,11900.00,10300.00,9600.00,7200.00,7900.00,7500.00,6600.00,4900.00,5750.00,4833.33,7833.33,7333.33,7166.67,5416.67,5833.33,4583.33,4416.67,4416.67,7083.33,Upgrade
4,PE Ratio,33.15,7.30,7.57,8.15,10.06,9.61,15.36,10.36,9.19,9.54,16.44,16.40,28.75,-,15.35,11.45,11.19,8.29,7.39,7.82,13.42,Upgrade
5,PS Ratio,1.00,1.19,1.10,1.09,1.12,0.88,1.06,0.59,0.48,0.44,0.92,0.67,1.11,-,0.38,0.31,0.35,0.27,0.37,0.37,0.59,Upgrade
6,PB Ratio,1.10,0.97,0.94,0.84,0.82,0.63,0.71,0.63,0.57,-,0.51,0.43,0.71,0.67,0.66,0.50,0.55,0.43,0.42,0.42,0.69,Upgrade
7,P/TBV Ratio,0.51,0.97,0.94,0.84,0.82,0.63,0.71,0.63,0.57,-,0.51,0.43,0.71,0.67,0.66,0.50,0.55,0.44,0.42,0.42,0.69,Upgrade
8,P/FCF Ratio,73.39,-,-,-1.66,-1.36,-,-,-0.86,-,-,11.20,-,-,-,-,-,-,-,-,-,-,Upgrade
9,P/OCF Ratio,18.20,-,3.25,9.92,1.12,-,-,1.16,-,-,11.20,-,-,-,-,-,-,-,-,-,-,Upgrade
10,EV/Sales Ratio,4.65,3.05,2.02,2.28,2.55,2.54,2.33,2.02,0.32,0.24,0.67,0.44,0.87,-,0.29,0.21,0.18,0.10,0.20,0.19,0.39,Upgrade
11,EV/EBITDA Ratio,125.79,-,-,-,-,-,-,-,-,3.34,10.03,9.73,20.16,-,10.04,4.82,3.72,1.95,2.55,3.04,6.28,Upgrade
12,EV/EBIT Ratio,135.59,9.19,6.50,7.60,8.61,9.35,10.39,12.17,2.96,3.50,10.72,10.65,-,-,10.72,5.14,4.06,2.17,2.90,3.59,7.44,Upgrade
13,EV/FCF Ratio,208.31,-,-,-3.48,-3.11,-,-,-2.95,-,-,8.21,-,-,-,-,-,-,-,-,-,-,Upgrade
14,Debt / Equity Ratio,0.01,1.76,1.62,0.94,1.04,1.13,1.23,1.48,1.59,-,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-,-,-,-,Upgrade
15,Debt / EBITDA Ratio,0.17,-,-,-,-,-,-,-,-,-,0.15,0.08,3.86,-,0.50,0.10,0.15,-,-,-,-,Upgrade
16,Debt / FCF Ratio,0.27,-,-,-1.84,-1.73,-,-,-2.01,-,-,0.16,-,-,-,-,-,-,-,-,-,-,Upgrade
17,Asset Turnover,0.37,0.43,0.37,0.32,0.54,0.35,0.34,-,-,0.86,1.29,0.05,-,1.15,1.09,-,3.07,0.65,0.91,1.08,Upgrade,
18,Inventory Turnover,31.53,48.63,58.42,43.45,44.61,89.93,47.37,43.17,-,-,896.24,35.44,0.31,-,17.01,16.00,-,72.74,37.00,39.92,33.05,Upgrade
19,Quick Ratio,26.44,0.18,0.17,0.41,0.40,0.41,0.21,0.18,0.22,-,26.44,31.28,60.82,33.99,8.20,10.09,4.86,13.64,2.76,5.93,5.93,Upgrade
20,Current Ratio,31.31,1.41,0.68,0.97,1.12,1.14,1.11,0.75,0.85,-,31.31,41.48,69.22,38.22,9.19,11.27,5.40,15.74,3.35,7.52,8.18,Upgrade
21,Return on Equity (ROE),15.69%,15.68%,14.64%,11.01%,11.48%,8.09%,7.99%,-,-,4.15%,8.27%,0.20%,-,2.24%,7.66%,-,1.65%,2.56%,9.84%,7.43%,Upgrade,
22,Return on Assets (ROA),6.66%,9.33%,8.00%,7.22%,7.50%,6.97%,7.36%,-,-,2.86%,5.81%,-0.07%,-,0.81%,4.76%,-,1.00%,4.86%,5.61%,4.94%,Upgrade,
23,Return on Capital (ROIC),6.93%,9.74%,8.31%,7.35%,7.60%,7.14%,7.56%,-,-,2.94%,5.91%,-0.07%,-,0.90%,5.51%,-,1.16%,5.76%,6.33%,5.52%,Upgrade,
24,Return on Capital Employed (ROCE),4.16%,11.12%,11.51%,13.83%,12.20%,10.40%,7.67%,8.27%,5.59%,-,3.47%,2.68%,-,-,4.55%,6.41%,6.69%,7.35%,7.69%,6.05%,6.17%,Upgrade
25,Earnings Yield,1.85%,13.71%,13.21%,12.27%,9.94%,10.41%,6.51%,9.65%,10.88%,10.49%,6.08%,6.10%,3.48%,-,6.52%,8.74%,8.93%,12.06%,13.52%,12.80%,7.45%,Upgrade
