,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,332,346,264,258,255,237,267,285,270,216,210
1,Market Cap Growth,34.26%,34.26%,3.53%,8.86%,-4.49%,-16.84%,-1.11%,31.94%,28.57%,-14.29%,-25.53%
2,Enterprise Value,382,202,151,17,143,23,139,52,73,-17,65
3,Last Close Price,1.23,1.27,0.88,0.84,0.75,0.66,0.69,0.71,0.60,0.46,0.40
4,PE Ratio,9.38,9.39,7.29,9.09,7.69,6.69,8.35,7.42,5.70,4.34,5.17
5,PS Ratio,0.24,0.24,0.21,0.24,0.22,0.20,0.23,0.26,0.24,0.17,0.15
6,PB Ratio,1.74,1.81,1.46,1.34,1.20,1.13,1.27,1.40,1.22,1.03,0.90
7,P/TBV Ratio,1.81,1.81,1.46,1.34,1.20,1.13,1.26,1.39,1.22,1.02,0.90
8,P/FCF Ratio,-,-,9.69,-,3.47,-,6.11,-,3.31,2.05,35.26
9,P/OCF Ratio,-,-,9.61,-,3.37,-,5.82,-,3.18,1.98,24.25
10,EV/Sales Ratio,0.26,0.14,0.12,0.02,0.12,0.02,0.12,0.05,0.07,-,0.05
11,EV/EBITDA Ratio,7.28,4.27,3.03,0.44,4.19,0.64,3.26,0.95,1.29,-,1.26
12,EV/EBIT Ratio,9.76,5.16,3.60,0.57,4.57,0.62,3.47,0.99,1.34,-,1.30
13,EV/FCF Ratio,-8.43,-,5.54,-,1.95,-,3.17,-,0.90,-,10.97
14,Debt / Equity Ratio,0.73,0.73,0.11,0.04,0.06,0.06,0.11,0.09,0.04,0.02,0.04
15,Debt / FCF Ratio,-,-,0.76,-,0.17,-,0.52,-,0.10,0.05,1.48
16,Return on Capital Employed (ROCE),18.07%,18.07%,22.66%,15.38%,14.29%,16.87%,18.33%,24.99%,24.37%,22.56%,21.12%
17,Earnings Yield,11.11%,10.65%,13.72%,11.00%,13.01%,14.96%,11.97%,13.47%,17.53%,23.06%,19.34%
18,FCF Yield,-13.63%,1.97%,10.32%,40.86%,28.78%,10.20%,16.36%,2.87%,30.18%,48.85%,2.84%
19,Dividend Yield,0.00%,-,-,5.35%,9.39%,16.02%,14.53%,12.75%,16.55%,10.95%,-
20,Buyback Yield / Dilution,6.25%,9.51%,3.00%,-,-,-,-,-,-,-,-
21,Total Shareholder Return,6.25%,9.51%,3.00%,5.35%,9.39%,16.02%,14.53%,12.75%,16.55%,10.95%,-
