,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,270.72,183.28,260.69,348.42,319.31,329.22,322.19,323.71,201.73,175.96,214.21,185.13,107.95,126.13,133.61,133.61
1,Other Revenue,-,-1.46,1.46,-,2.7,-1.51,1.51,-,1.85,-1.27,1.27,-,1.02,-0.44,0.22,0.22
2,Revenue,270.72,181.82,262.15,348.42,322.01,327.71,323.7,323.71,203.58,174.69,215.47,185.13,108.97,125.69,133.83,133.83
3,Revenue Growth (YoY),-15.93%,-44.52%,-19.01%,7.63%,58.17%,87.60%,50.22%,74.86%,86.82%,38.98%,61.00%,38.33%,-,-,-,-
4,Cost of Revenue,-258.79,52.2,107.54,99.05,65.92,90.97,97.28,90.07,54.78,47.63,40.01,36.85,29.32,31.58,35.98,35.98
5,Gross Profit,529.52,129.62,154.61,249.37,256.09,236.74,226.41,233.64,148.8,127.06,175.46,148.28,79.65,94.11,97.85,97.85
6,"Selling, General & Admin",-99.67,35.99,31.11,32.57,39.44,36.69,30.6,32.26,40,32.11,31.41,20.82,24.96,24.81,19.49,19.49
7,Research & Development,-107.35,36.06,36.89,34.41,46.01,32.94,40.81,33.29,39.54,15.6,25.75,7.2,22.03,10.36,7.17,7.17
8,Other Operating Expenses,671.32,-1.38,1.2,1.29,-2.13,-7.38,-0.57,-0.6,1.53,0.05,1.64,-0.8,2.79,-1.9,0.34,0.34
9,Operating Expenses,404.37,85.33,91.3,91.43,79.42,67.8,81.84,74.28,80.87,45.48,69.89,26.64,47.43,28.46,30.74,30.74
10,Operating Income,125.14,44.28,63.31,157.94,176.67,168.93,144.57,159.35,67.93,81.58,105.58,121.64,32.22,65.65,67.12,67.12
11,Interest Expense,-29.35,-0.55,-0.4,-0.38,-0.41,-0.44,-0.46,-0.48,-0.57,-4.25,-2.61,-1.97,-1.29,-1.15,-0.89,-0.89
12,Interest & Investment Income,1.33,8.24,11.32,9.8,14.86,20.32,11.82,10.48,5.73,0.81,0.09,0.02,0.1,0.2,0.21,0.21
13,Other Non Operating Income (Expenses),0.02,-0.02,-0.45,-0.16,-0.71,-0.81,-0.18,-0.19,-1.1,1.71,0.05,-1.86,-0.51,-0.68,-0.99,-0.99
14,EBT Excluding Unusual Items,97.13,51.95,73.78,167.19,190.41,188,155.75,169.16,71.99,79.84,103.11,117.83,30.5,64.02,65.44,65.44
15,Gain (Loss) on Sale of Investments,-,-,-,-,3.6,-,-,-,-,-,-,-,-,-,-,-
16,Gain (Loss) on Sale of Assets,-0.01,-,-,0.01,-,-,-,0.03,-,-,-,-,-,-,-0.99,-0.99
17,Asset Writedown,9.41,-9.41,3.2,-3.2,7.67,-7.67,1.95,-1.95,0.37,-0.37,0.36,-0.36,1.52,-1.52,-,-
18,Other Unusual Items,0.77,-22.13,21.4,-0.04,2.96,-6.93,6.93,-,8.35,-4.39,4.39,-,-7.33,-7.39,3.69,3.69
19,Pretax Income,107.3,20.41,98.37,163.97,204.64,173.41,164.63,167.24,80.7,75.09,107.85,117.47,24.69,55.12,68.14,68.14
20,Income Tax Expense,34.67,0.19,7.81,24.84,22.42,27.2,22.38,25.48,-0.38,11.68,14.3,17.04,1.62,7.77,9.52,9.52
21,Earnings From Continuing Operations,72.62,20.22,90.56,139.13,182.22,146.22,142.24,141.76,81.08,63.41,93.55,100.44,23.08,47.35,58.62,58.62
22,Minority Interest in Earnings,1.47,-3.07,0.94,0.66,31.74,-6.12,-14.45,-13,-4.83,-2.88,-13.9,-13.85,-1.83,-3.53,-2.69,-2.69
23,Net Income,74.09,17.15,91.5,139.79,213.96,140.09,127.8,128.75,76.25,60.53,79.65,86.59,21.25,43.82,55.93,55.93
24,Net Income to Common,74.09,17.15,91.5,139.79,213.96,140.09,127.8,128.75,76.25,60.53,79.65,86.59,21.25,43.82,55.93,55.93
25,Net Income Growth,-65.37%,-87.76%,-28.40%,8.57%,180.60%,131.45%,60.45%,48.70%,258.87%,38.12%,42.42%,54.82%,-,-,-,-
26,Shares Outstanding (Basic),200,200,200,200,200,200,200,200,200,167,150,150,150,150,150,150
27,Shares Outstanding (Diluted),200,200,200,200,200,200,200,200,200,167,150,150,150,150,150,150
