,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,13640,10258,12060,13290,14032,17822,17676,21964,18362,23776,23180,-,-,-,-,-,-
1,Market Cap Growth,-42.44%,-42.44%,-31.77%,-39.49%,-23.58%,-25.04%,-23.74%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,11634,8252,9927,11039,11374,15164,15685,19181,15449,20863,23221,-,-,-,-,-,-
3,Last Close Price,68.20,51.29,60.30,66.45,69.45,88.21,87.48,108.71,90.54,117.24,114.30,-,-,-,-,-,-
4,PE Ratio,42.29,31.80,26.08,22.70,22.57,29.19,37.38,55.84,53.19,78.46,93.46,-,-,-,-,-,-
5,Forward PE,18.68,14.37,15.31,17.33,19.80,29.26,31.69,45.43,39.49,56.48,61.00,-,-,-,-,-,-
6,PS Ratio,12.83,9.65,10.82,10.55,10.62,13.74,15.00,21.41,20.01,30.53,33.88,-,-,-,-,-,-
7,PB Ratio,2.82,2.10,2.47,2.74,2.86,3.74,3.86,4.95,4.23,5.60,5.59,-,-,-,-,-,-
8,P/TBV Ratio,2.16,2.16,2.54,2.81,2.93,3.79,3.94,5.05,4.29,5.68,5.66,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-26.62,-,-,-,-72.22,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,-128.20,-,-,-,-124.34,-,-,-,-,-,-,-,-,-
11,PEG Ratio,0.38,0.38,0.38,0.41,0.47,0.69,-,-,-,-,-,-,-,-,-,-,-
12,EV/Sales Ratio,10.94,7.76,8.91,8.76,8.60,11.69,13.31,18.70,16.84,26.79,33.94,-,-,-,-,-,-
13,EV/EBITDA Ratio,27.87,19.73,21.13,18.63,16.94,22.60,27.99,40.62,35.75,53.01,65.05,-,-,-,-,-,-
14,EV/EBIT Ratio,29.78,21.12,22.45,19.48,17.55,23.35,29.00,42.30,37.28,55.38,68.10,-,-,-,-,-,-
15,EV/FCF Ratio,-,-,-,-22.11,-,-,-,-63.07,-,-,-,-,-,-,-,-,-
16,Debt / Equity Ratio,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.07,-,0.42,0.42,-,0.33,0.33
17,Debt / EBITDA Ratio,0.34,0.27,0.70,0.35,0.14,0.13,0.16,0.17,0.18,0.38,0.86,-,0.53,1.84,-,0.66,0.66
18,Debt / FCF Ratio,-,-,-,-0.21,-,-,-,-0.35,-,-,-,-,-,-,-,7.70,15.40
19,Asset Turnover,-,0.13,0.19,0.26,0.24,0.25,0.26,0.26,0.17,0.21,-,-,-,-,0.48,-,
20,Inventory Turnover,-,-,0.32,0.66,0.58,0.39,0.54,0.56,0.54,0.38,-,-,-,-,-,0.62,-
21,Quick Ratio,-,-,7.94,8.47,7.60,8.34,8.05,6.66,7.43,8.75,6.92,-,-,1.27,-,1.56,1.56
22,Current Ratio,-,-,9.30,9.94,8.95,9.89,9.42,9.68,8.88,10.43,7.92,2.13,-,1.89,-,2.04,2.04
23,Return on Equity (ROE),5.96%,1.66%,7.42%,11.51%,15.59%,12.97%,12.97%,13.21%,7.73%,10.19%,51.28%,63.50%,-,-,41.73%,-,
24,Return on Assets (ROA),-,2.03%,2.88%,7.23%,8.33%,8.20%,7.18%,8.11%,3.51%,6.27%,-,-,-,-,15.13%,-,
25,Return on Capital (ROIC),6.24%,2.22%,3.18%,8.01%,9.25%,9.15%,8.03%,9.03%,3.86%,7.74%,30.61%,33.87%,-,-,22.45%,-,
26,Return on Capital Employed (ROCE),-,-,8.85%,11.45%,12.91%,13.31%,11.44%,9.93%,9.26%,8.59%,7.98%,33.46%,-,35.19%,-,22.14%,11.07%
27,Earnings Yield,2.36%,3.14%,3.83%,4.40%,4.43%,3.43%,2.68%,1.79%,1.88%,1.27%,1.07%,-,-,-,-,-,-
28,FCF Yield,-,-4.49%,-3.76%,-3.43%,-2.07%,-1.18%,-1.38%,-1.96%,-1.56%,-1.29%,-,-,-,-,-,-,
29,Dividend Yield,1.03%,-,-,-,-,0.80%,-,-,-,0.32%,-,-,-,-,-,-,-
30,Payout Ratio,0.00%,-,3.26%,154.47%,-,0.19%,0.31%,60.06%,-,2.88%,3.84%,3.29%,47.84%,165.73%,2.62%,1.63%,1.63%
31,Buyback Yield / Dilution,0.00%,0.01%,0.00%,-0.00%,0.00%,0.00%,-20.01%,-33.35%,-33.32%,-33.36%,-11.10%,0.01%,-0.01%,-,-,-,-
32,Total Shareholder Return,1.04%,0.01%,0.00%,-0.00%,0.00%,0.80%,-20.01%,-33.35%,-33.32%,-33.04%,-11.10%,0.01%,-0.01%,-,-,-,-
