,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,586.88,1387,1386,1259,2835,2159,2949,3009,3252,-,-,237.41,-,285.42,285.42
1,Trading Asset Securities,-,1600,885,995,1289,-,-,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,2187,2187,2272,2381,2548,2835,2159,2949,3009,3252,-,237.41,237.41,-,285.42,285.42
3,Cash Growth,-14.16%,-22.86%,5.22%,-19.25%,-15.32%,-12.82%,-,1142.06%,1167.24%,-,-,-16.82%,-,-,-,-
4,Accounts Receivable,-,1844,1747,1736,1447,1311,1084,983.75,806.73,781.27,-,-,538.37,-,497.36,497.36
5,Other Receivables,-,18.71,7.27,3.84,-,2.58,3.99,3.1,0,2.73,-,-,0.9,-,1.08,1.08
6,Receivables,-,1863,1754,1740,1447,1314,1088,986.85,806.73,784,-,-,539.27,-,498.43,498.43
7,Inventory,-,664.3,640.49,669.98,696.02,656.89,679.57,701.06,643.21,513.6,-,-,350.56,-,230.44,230.44
8,Prepaid Expenses,-,-,1.25,-,1.25,-,-,-,1,-,-,-,1.25,-,0.12,0.12
9,Other Current Assets,-,29.78,54.92,62.6,46.08,50.03,795.29,62.07,88.98,69.77,1439,-,22.41,-,11.72,11.72
10,Total Current Assets,-,4744,4723,4854,4738,4855,4722,4699,4549,4619,1439,-,1151,-,1026,1026
11,"Property, Plant & Equipment",-,546.2,518.17,511.01,263.11,229.57,191.68,149.07,142.43,97.01,-,-,64.67,-,58.7,58.7
12,Goodwill,-,3.76,3.76,3.76,3.76,3.76,3.76,3.76,3.76,3.76,-,-,3.76,-,3.76,3.76
13,Other Intangible Assets,-,77.85,78.94,80.16,19.81,20,20.11,4.99,4.82,4.12,-,-,3.37,-,3.58,3.58
14,Long-Term Deferred Tax Assets,-,61.74,56.99,61.42,52.03,56.37,48.4,39.65,31.44,19.95,-,-,14.15,-,9.75,9.75
15,Long-Term Deferred Charges,-,7.76,8.27,-,9.42,10.64,11.85,12.69,13.39,6.35,-,-,1.1,-,0.61,0.61
16,Other Long-Term Assets,-,62.91,35.47,53.38,274.39,64.83,57.14,96.76,75.58,108.87,209.84,-,31.47,-,6.47,6.47
17,Total Assets,-,5504,5424,5563,5360,5241,5055,5006,4820,4859,1649,-,1269,-,1109,1109
18,Accounts Payable,-,297.3,290.66,384.88,347.93,389.63,378.46,415.99,358.75,337.27,-,-,253.52,-,196.42,196.42
19,Accrued Expenses,-,42.59,42.26,20.92,26.06,32.6,34.81,24.47,24.12,31.03,-,-,33.02,-,28.88,28.88
20,Short-Term Debt,-,40.03,15.01,-,-,-,-,-,-,161.81,-,-,210.81,-,130.27,130.27
21,Current Portion of Long-Term Debt,-,73.69,66.04,51.78,44.03,27.6,22.01,28.21,22.01,25.17,-,-,50.04,-,50,50
22,Current Portion of Leases,-,-,7.41,-,7.4,-,5.95,-,6.16,-,-,-,2.06,-,1.98,1.98
23,Current Income Taxes Payable,-,17.13,13.9,45.35,29.77,42.73,23.13,36.02,10.98,16.62,-,-,5.42,-,12.83,12.83
24,Current Unearned Revenue,-,4.05,3.9,3.98,4.77,4.37,5.28,5.04,7.64,10.5,-,-,8.94,-,2.97,2.97
25,Other Current Liabilities,-,35.54,35.98,35.55,19.23,18.35,17.97,19.7,6.35,0.78,676.96,-,46.12,-,79.32,79.32
26,Total Current Liabilities,-,510.32,475.16,542.47,479.19,515.29,487.61,529.42,436.01,583.19,676.96,-,609.93,-,502.67,502.67
27,Long-Term Debt,-,-,-,33.02,33.02,66,66,77,77,88,-,-,-,-,-,-
28,Long-Term Leases,-,28.13,14.46,9.35,11.71,14.9,11.88,13.02,14.64,18.96,-,-,2.21,-,3.14,3.14
29,Long-Term Unearned Revenue,-,15.05,15.62,13.53,13.39,13.86,14.92,15.15,9.41,5.47,-,-,6.31,-,6.05,6.05
30,Long-Term Deferred Tax Liabilities,-,25.63,22.67,22.83,19.7,24.58,14.14,8.63,8.78,5.01,-,-,4.41,-,2.28,2.28
31,Other Long-Term Liabilities,-,34.6,25.95,36.98,21.61,7.86,7.97,8.2,15.5,-6.99,144.89,-,-2.23,-,17.12,17.12
32,Total Liabilities,-,628.79,569.07,658.18,594.34,657.29,617.48,666.55,576.83,709.03,821.84,-,636.77,-,547.15,547.15
33,Common Stock,-,200,200,200,200,200,200,200,200,200,826.66,-,150,-,150,150
34,Additional Paid-In Capital,-,3584,3584,3584,3584,3584,3584,3584,3584,3572,-,-,362.12,-,361.6,361.6
35,Retained Earnings,-,1053,1036,1085,945.03,731.07,590.98,507.46,410.22,333.97,-,-,107.2,-,42.13,42.13
36,Comprehensive Income & Other,-,-0.47,-0.47,-0.47,-0.47,0.06,0.06,0.06,0.06,-0.22,-,-,-0.22,-,0.09,0.09
37,Total Common Equity,4837,4837,4820,4869,4729,4515,4375,4291,4194,4106,826.66,619.1,619.1,-,553.82,553.82
38,Minority Interest,-,38.64,35.57,36.51,37.17,68.62,62.5,48.05,49.23,44.2,-,-,13.57,-,8.03,8.03
39,Shareholders' Equity,4875,4875,4855,4905,4766,4583,4437,4339,4243,4150,826.66,632.67,632.67,-,561.85,561.85
40,Total Liabilities & Equity,-,5504,5424,5563,5360,5241,5055,5006,4820,4859,1649,-,1269,-,1109,1109
41,Total Debt,141.85,141.85,102.92,94.16,96.15,108.5,105.83,118.23,119.81,293.94,-,265.13,265.13,-,185.39,185.39
42,Net Cash (Debt),2045,2045,2169,2287,2451,2726,2053,2831,2889,2958,-,-27.72,-27.72,-,100.03,100.03
43,Net Cash Growth,-16.58%,-24.99%,5.63%,-19.20%,-15.14%,-7.82%,-,-,-,-,-,-,-,-,-,-
44,Net Cash Per Share,10.23,10.22,10.84,11.44,12.26,13.63,10.27,14.15,14.44,17.75,-,-0.18,-0.18,-,0.67,0.67
45,Filing Date Shares Outstanding,200,200,200,200,200,200,200,200,200,200,200,150.01,150,150.03,150,150
46,Total Common Shares Outstanding,200,200,200,200,200,200,200,200,200,200,200,150.01,150,150.03,150,150
47,Working Capital,-,4234,4248,4311,4259,4340,4234,4169,4112,4036,761.71,-,540.98,-,523.46,523.46
48,Book Value Per Share,24.18,24.18,24.10,24.34,23.64,22.57,21.87,21.46,20.97,20.53,4.13,4.13,4.13,-,3.69,3.69
49,Tangible Book Value,4755,4755,4737,4785,4705,4491,4351,4282,4185,4098,826.66,611.97,611.97,-,546.48,546.48
50,Tangible Book Value Per Share,23.78,23.78,23.68,23.92,23.53,22.45,21.75,21.41,20.93,20.49,4.13,4.08,4.08,-,3.64,3.64
51,Buildings,-,-,135.2,-,62.69,-,3.23,-,3.23,-,-,-,3.23,-,3.23,3.23
52,Machinery,-,-,321.37,-,279.94,-,223.76,-,166.74,-,-,-,125.83,-,102.29,102.29
53,Construction In Progress,-,-,174.66,-,16.12,-,45.24,-,39.52,-,-,-,0.97,-,10.44,10.44
