,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+1 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",+1 Quarters
0,Market Capitalization,54,75,90,49,37,36,54,1195,238,168,118,Upgrade
1,Market Cap Growth,53.60%,53.60%,142.79%,35.00%,-31.20%,-96.99%,-77.27%,609.40%,101.22%,150.71%,-7.17%,Upgrade
2,Enterprise Value,134,142,126,93,81,47,65,1202,241,166,101,Upgrade
3,Last Close Price,0.29,0.48,0.58,0.38,0.43,0.47,0.70,15.49,3.08,2.18,1.53,Upgrade
4,PE Ratio,-,-,-,-1.35,-,-,-,-,-,-,-,Upgrade
5,PS Ratio,0.47,0.81,1.22,1.32,0.77,0.66,1.35,21.13,2.74,2.45,2.20,Upgrade
6,PB Ratio,-1.30,-1.30,-2.03,-1.61,-0.69,-1.86,-4.35,-1350.51,32.68,10.98,6.18,Upgrade
7,P/TBV Ratio,-,-,-,-,-,-,-,-,32.68,10.98,6.18,Upgrade
8,P/OCF Ratio,-,-,-,-,-1.06,-,-,-,-,-,-,Upgrade
9,EV/Sales Ratio,1.45,1.53,1.71,2.52,1.68,0.86,1.61,21.25,2.79,2.41,1.88,Upgrade
10,EV/EBITDA Ratio,-,-,-,-3.70,-,-,-,-,-,-,-,Upgrade
11,EV/EBIT Ratio,-,-,-,-3.69,-,-,-,-,-,-,-,Upgrade
12,Debt / Equity Ratio,-1.50,-1.50,-1.91,-2.59,-1.44,-3.84,-2.83,-31.15,2.58,1.51,0.89,Upgrade
13,Return on Capital Employed (ROCE),-,-,-,-3679.12%,-,-,-,-,-,-,-,Upgrade
14,Earnings Yield,-60.64%,-43.96%,-14.46%,-73.86%,-144.15%,-68.53%,-40.53%,-1.36%,-4.97%,-14.44%,-23.89%,Upgrade
15,FCF Yield,-,-44.75%,-25.76%,-99.49%,-112.66%,-22.85%,-0.85%,-3.94%,-11.85%,-15.50%,Upgrade,
16,Buyback Yield / Dilution,-26.76%,-25.00%,-28.73%,-72.80%,-54.77%,-,-,-,-10.91%,-20.00%,-8.20%,Upgrade
17,Total Shareholder Return,-26.76%,-25.00%,-28.73%,-72.80%,-54.77%,-,-,-,-10.91%,-20.00%,-8.20%,Upgrade
