,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,1019,706,773,941,762,1064,1266,1926,392,254,409
1,Market Cap Growth,-25.00%,-25.00%,1.47%,-11.58%,-39.82%,-44.77%,222.86%,657.71%,-4.11%,-82.54%,-67.41%
2,Enterprise Value,504,274,390,602,426,704,821,1348,18,-69,238
3,Last Close Price,0.91,0.63,0.64,0.78,0.60,0.84,0.96,1.46,0.28,0.18,0.29
4,PE Ratio,5.47,3.79,6.65,9.38,9.44,19.27,-,110.84,-,82.63,-
5,PS Ratio,0.58,0.40,0.48,0.57,0.45,0.71,1.11,1.79,0.32,0.17,0.24
6,PB Ratio,0.81,0.56,0.66,0.83,0.69,0.97,1.16,1.78,0.35,0.23,0.39
7,P/TBV Ratio,0.56,0.56,0.66,0.83,0.69,0.97,1.16,1.79,0.35,0.23,0.39
8,P/FCF Ratio,6.17,4.27,5.94,11.76,25.25,-40.26,-,-,1.58,1.53,-13.41
9,P/OCF Ratio,3.91,3.91,5.33,9.52,15.27,-68.31,-,-,1.55,1.38,120.38
10,EV/Sales Ratio,0.29,0.16,0.24,0.37,0.25,0.47,0.72,1.25,0.02,-,0.14
11,EV/EBITDA Ratio,2.40,1.41,3.18,5.24,3.86,9.96,17.55,25.88,0.32,-,2.81
12,EV/EBIT Ratio,2.95,1.60,3.86,6.64,4.93,15.81,-,123.36,-,-,-
13,EV/FCF Ratio,3.05,1.66,3.00,7.52,14.12,-26.64,-,-,0.07,-,-7.79
14,Debt / Equity Ratio,0.02,0.02,0.02,0.03,0.04,0.04,0.05,0.05,0.05,0.06,0.07
15,Debt / FCF Ratio,0.15,0.15,0.19,0.42,1.33,-1.72,-,-,0.25,0.40,-2.44
16,Return on Capital Employed (ROCE),13.39%,13.39%,8.46%,7.78%,7.54%,3.91%,-,0.96%,-,2.25%,-
17,Earnings Yield,18.29%,26.41%,15.04%,10.66%,10.59%,5.19%,2.40%,0.90%,5.91%,1.21%,-1.08%
18,FCF Yield,16.21%,23.41%,16.83%,8.51%,3.96%,-2.48%,-6.17%,7.37%,63.37%,65.52%,-7.46%
19,Buyback Yield / Dilution,-,-,-,-,-,-,-,-,-,-1.32%,
20,Total Shareholder Return,5.47%,-,-,-,-,-,-,-,-,-,-1.32%
