,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Nov '24 Nov 30, 2024","May '24 May 31, 2024","Nov '23 Nov 30, 2023","May '23 May 31, 2023","Nov '22 Nov 30, 2022","May '22 May 31, 2022","Nov '21 Nov 30, 2021","May '21 May 31, 2021","Nov '20 Nov 30, 2020","May '20 May 31, 2020"
0,Cash & Equivalents,1706,2262,1345,1165,793.71,547.45,626.65,1520,1853,480.25
1,Short-Term Investments,1398,1079,991.45,796.9,743.47,682.59,658.68,316.65,330.44,1471
2,Trading Asset Securities,1688,1250,1151,1037,716.07,359.05,298.32,624.24,764.06,277.8
3,Cash & Short-Term Investments,4792,4592,3487,2999,2253,1589,1584,2460,2947,2229
4,Cash Growth,37.43%,53.10%,54.76%,88.75%,42.28%,-35.41%,-46.27%,10.40%,9.79%,-21.82%
5,Accounts Receivable,29.2,31.69,43.22,37.93,42.43,14.57,8.68,6.45,13.41,11.39
6,Other Receivables,212.7,851.54,213.93,164.74,164.33,15.98,30.76,10.49,27.53,10.57
7,Receivables,241.9,883.24,257.15,202.67,206.76,30.55,39.44,16.94,40.94,21.96
8,Inventory,407.05,422.34,359.75,140.95,291.59,4.63,0.79,-,-,-
9,Prepaid Expenses,-,73.1,-,47.98,-,28.4,-,51.23,-,67.16
10,Restricted Cash,116.92,-,93.29,-,-,-,7.75,-,-,-
11,Other Current Assets,140.46,192.99,161.73,45.88,60.51,38.82,59.47,18.13,48.27,23.72
12,Total Current Assets,5698,6164,4359,3437,2812,1691,1691,2547,3037,2341
13,"Property, Plant & Equipment",106.88,142.17,90.01,88.45,71.42,82.52,151.24,416.17,482.21,412.8
14,Long-Term Investments,165.07,168.11,214.29,241,276.04,277.58,281.06,297.74,403.41,265.79
15,Long-Term Deferred Tax Assets,4.96,54.72,72.42,83.27,3.16,-,-,-,-,-
16,Other Long-Term Assets,11.17,12.62,7.41,3.31,8.8,7.82,11.34,24.66,21.42,29.25
17,Total Assets,5987,6542,4743,3853,3172,2059,2135,3285,3944,3049
18,Accounts Payable,492.25,611.89,644.42,335.26,363.13,23.6,24.74,42.91,23.91,34.07
19,Accrued Expenses,365.44,534.65,361.53,300.29,173.74,132.97,203.29,353.74,345.92,313.89
20,Current Portion of Leases,31.87,36.71,24.96,33.07,30.11,27.53,47.64,104.32,93.92,77.26
21,Current Income Taxes Payable,60,122.08,79.08,43.06,52.31,1.8,1.8,-,-,-
22,Current Unearned Revenue,51.32,49.6,257.21,263.88,226.61,176.25,176.2,416.19,492.14,438.66
23,Other Current Liabilities,3.54,157.98,45.28,53.27,17.12,31.18,25.44,125.7,1381,47.8
24,Total Current Liabilities,1004,1513,1412,1029,863.01,393.33,479.11,1043,2336,911.68
25,Long-Term Leases,33.45,58.1,20.8,17.92,12.75,21.24,32.48,209.51,231.97,248.22
26,Long-Term Deferred Tax Liabilities,0.99,0.9,4.73,2.38,4.57,3.82,23.99,24.09,32.75,25.65
27,Total Liabilities,1039,1572,1438,1049,880.34,418.39,535.57,1276,2601,1186
28,Common Stock,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12
29,Additional Paid-In Capital,4517,4504,4159,4149,4074,4022,4022,4020,2500,2492
30,Retained Earnings,199.26,296.06,-1174,-1423,-1809,-2395,-2406,-2308,-1324,-649.22
31,Comprehensive Income & Other,230.34,169.12,320.31,77.62,26.79,13.93,-16.33,296.31,165.73,21.14
32,Total Common Equity,4947,4969,3305,2804,2291,1641,1599,2009,1342,1864
33,Minority Interest,0.7,0.41,-,-,-,-,-,-,-,-
34,Shareholders' Equity,4948,4970,3305,2804,2291,1641,1599,2009,1342,1864
35,Total Liabilities & Equity,5987,6542,4743,3853,3172,2059,2135,3285,3944,3049
36,Total Debt,65.32,94.81,45.75,51,42.86,48.77,80.12,313.83,325.88,325.48
37,Net Cash (Debt),4727,4497,3441,2948,2210,1540,1504,2147,2621,1903
38,Net Cash Growth,37.36%,52.54%,55.69%,91.42%,47.01%,-28.24%,-42.65%,12.80%,7.27%,-33.24%
39,Net Cash Per Share,4.58,-,3.18,-,2.08,1.54,1.50,-,2.79,2.03
40,Filing Date Shares Outstanding,1036,1031,1015,1014,1006,1001,1001,1001,999.68,939.46
41,Total Common Shares Outstanding,1036,1031,1015,1014,1006,1001,1001,1001,940.23,939.46
42,Working Capital,4694,4651,2946,2408,1949,1298,1212,1504,700.07,1430
43,Book Value Per Share,4.78,4.82,3.26,2.77,2.28,1.64,1.60,2.01,1.43,1.98
44,Tangible Book Value,4947,4969,3305,2804,2291,1641,1599,2009,1342,1864
45,Tangible Book Value Per Share,4.78,4.82,3.26,2.77,2.28,1.64,1.60,2.01,1.43,1.98
46,Machinery,-,101.72,-,89.6,-,73.89,-,156.62,-,80.13
47,Construction In Progress,-,-,-,-,-,-,-,2.18,-,19.76
48,Leasehold Improvements,-,20.4,-,18.52,-,17.45,-,101.65,-,20.52
