,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Nov '24 Nov 30, 2024","May '24 May 31, 2024","Nov '23 Nov 30, 2023","May '23 May 31, 2023","Nov '22 Nov 30, 2022","May '22 May 31, 2022","Nov '21 Nov 30, 2021","May '21 May 31, 2021","Nov '20 Nov 30, 2020","May '20 May 31, 2020"
0,Revenue,2187,-,2411,-,2080,299.17,301.36,-,676.76,512.95
1,Revenue Growth (YoY),-9.32%,-,15.92%,-,590.23%,-,-55.47%,-,19.22%,16.33%
2,Cost of Revenue,1451,-,1617,-,1098,88.32,121.36,-,523.62,336.97
3,Gross Profit,735.14,-,794.15,-,982.47,210.85,180.01,-,153.13,175.98
4,"Selling, General & Admin",851.22,-,509.24,-,290.08,209.79,274.47,-,643.41,686.64
5,Research & Development,68,-,60.75,-,48.25,33.53,30.9,-,234.1,188.4
6,Operating Expenses,919.22,-,571.58,-,338.44,246.04,305.29,-,880.66,876.4
7,Operating Income,-184.08,-,222.57,-,644.03,-35.19,-125.28,-,-727.52,-700.42
8,Interest Expense,-1.7,-,-1.07,-,-0.92,-0.92,-1.67,-,-7.37,-6.02
9,Interest & Investment Income,42.55,-,35.27,-,7.88,4.66,6.41,-,6.58,31.45
10,Earnings From Equity Investments,-0.62,-,1.87,-,-9.08,0.75,2.34,-,3.54,-5.07
11,Currency Exchange Gain (Loss),24.29,-,9.27,-,96.62,43.74,3.13,-,-97.03,27.93
12,Other Non Operating Income (Expenses),33.99,-,32.05,-,3.76,3.52,0.09,-,6.86,1.06
13,EBT Excluding Unusual Items,-85.57,-,299.96,-,742.29,16.56,-114.98,-,-814.95,-651.07
14,Gain (Loss) on Sale of Investments,20.65,-,-14.33,-,13.01,0.98,8.14,-,142.07,38.81
15,Gain (Loss) on Sale of Assets,-7.57,-,-,-,-,-,-,-,-0,-0.5
16,Other Unusual Items,-,-,-,-,-,-,-,-,5.48,-7.84
17,Pretax Income,-72.48,-,285.63,-,755.29,17.54,-106.84,-,-667.4,-620.59
18,Income Tax Expense,24.02,-,124.93,-,170,-20.16,1.85,-,7.02,50.14
19,Earnings From Continuing Operations,-96.5,-,160.7,-,585.29,37.7,-108.69,-,-674.43,-670.72
20,Earnings From Discontinued Operations,-,-,88.49,-,-,-27.66,-435.31,-,-,-
21,Net Income to Company,-96.5,-,249.19,-,585.29,10.03,-544,-,-674.43,-670.72
22,Minority Interest in Earnings,-0.3,-,-,-,-,0.01,-,-,-,-
23,Net Income,-96.8,-,249.19,-,585.29,10.04,-544,-,-674.43,-670.72
24,Net Income to Common,-96.8,-,249.19,-,585.29,10.04,-544,-,-674.43,-670.72
25,Net Income Growth,-,-,-57.42%,-,-,-,-,-,-,-
26,Shares Outstanding (Basic),1032,-,1015,-,1004,1001,1001,-,940,939
27,Shares Outstanding (Diluted),1032,-,1083,-,1063,1001,1001,-,940,939
28,Shares Change (YoY),-4.66%,-,1.85%,-,6.23%,-,6.46%,-,0.33%,31.67%
29,EPS (Basic),-0.09,-,0.25,-,0.58,0.01,-0.54,-,-0.72,-0.71
30,EPS (Diluted),-0.09,-,0.23,-,0.55,0.01,-0.55,-,-0.72,-0.71
31,EPS Growth,-,-,-58.18%,-,-,-,-,-,-,-
32,Free Cash Flow,-193.48,-,462.15,-,532.83,-54.31,-884.09,-,-462.94,-514.57
33,Free Cash Flow Per Share,-0.19,-,0.43,-,0.50,-0.05,-0.88,-,-0.49,-0.55
34,Operating Margin,-8.42%,-,9.23%,-,30.96%,-11.76%,-41.57%,-,-107.50%,-136.55%
35,Profit Margin,-4.43%,-,10.33%,-,28.14%,3.36%,-180.51%,-,-99.66%,-130.76%
36,Free Cash Flow Margin,-8.85%,-,19.17%,-,25.62%,-18.15%,-293.37%,-,-68.41%,-100.32%
37,EBITDA,-177.01,-,231.98,-,653.33,-8.44,-116.9,-,-709.73,-691.23
38,D&A For EBITDA,7.07,11.1,9.41,8.71,9.3,26.75,8.38,28.04,17.79,9.18
39,EBIT,-184.08,-,222.57,-,644.03,-35.19,-125.28,-,-727.52,-700.42
