,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Cash & Equivalents,832.09,1187,962.68,1565,1197,1365,1228,1449,1659,1726,1994,2171,-,944.14,-,959.63
1,Trading Asset Securities,1366,1409,1544,1211,1222,1015,1009,902.62,453.24,451.55,-,-,-,-,-,-
2,Cash & Short-Term Investments,2198,2597,2506,2776,2419,2379,2238,2352,2112,2177,1994,2171,-,944.14,959.63,959.63
3,Cash Growth,-9.14%,9.14%,12.00%,18.01%,14.54%,9.28%,12.22%,8.36%,-,130.60%,107.82%,126.19%,-,-,-,-
4,Accounts Receivable,876.23,424.3,710.51,405.35,818.92,594.96,766.32,487.32,757.98,398.8,629.95,316.68,-,422.38,-,317.73
5,Other Receivables,8.16,9.89,16.74,4.43,3.99,11.3,28.62,5.46,28.21,9.25,14.19,6.51,-,9.42,-,6.42
6,Receivables,884.39,434.19,727.26,409.78,822.9,606.26,794.94,492.78,786.19,408.05,644.13,323.2,-,431.8,-,324.16
7,Inventory,102.19,71.82,89.13,110.11,128.71,92.99,109.66,98.15,142.48,93.92,97.34,145.64,-,110.78,-,144.57
8,Prepaid Expenses,-,0.75,-,0.21,-,0.35,-,0,-,0.1,-,0.13,-,0.17,-,0.28
9,Other Current Assets,57,27.74,139.39,38.27,30.25,23.96,29.49,25.28,56.76,15.59,36.7,33.69,-,17.71,-,14.17
10,Total Current Assets,3242,3131,3462,3334,3401,3103,3172,2968,3098,2695,2772,2673,-,1505,-,1443
11,"Property, Plant & Equipment",1061,721.35,609.31,693.7,744.94,737.25,709.99,711.86,699.55,671.6,659.32,671.28,-,662.2,-,666.46
12,Long-Term Investments,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,-,0.52,-,0.52
13,Goodwill,6.54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Other Intangible Assets,125.49,127,131.63,115.03,122.37,120.11,121.56,120.26,123.23,121.61,121.84,120.78,-,127.64,-,113.29
15,Long-Term Accounts Receivable,-,-,-,-,-,-,-,-,-,-,-,-,-,1.66,-,1.52
16,Long-Term Deferred Tax Assets,28.58,27.15,26.14,0.04,0.01,0.01,0,0,0,0,0,0,-,0.04,-,0.01
17,Long-Term Deferred Charges,0.46,0.47,0.21,0.23,0.24,0.26,-,-,0.07,-,-,-,-,-,-,-
18,Other Long-Term Assets,252.16,255.32,257.73,260.18,198.64,201.62,225.94,225.94,141.13,142.15,147.97,145.94,-,131.82,-,126.66
19,Total Assets,4716,4263,4488,4404,4468,4163,4230,4027,4062,3631,3702,3612,-,2428,-,2351
20,Accounts Payable,1265,1036,1063,1065,1165,1035,1060,988.36,1025,826.19,843.37,842.08,-,781.24,-,760.49
