,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Market Capitalization,4210,4302,4080,5448,5480,4189,4560,4355,3899,3525,4423,4967,9146,-,-,-,-
1,Market Cap Growth,2.70%,2.70%,-10.54%,25.08%,40.53%,18.86%,3.12%,-12.31%,-57.36%,-,-,-,-,-,-,-,-
2,Enterprise Value,2017,1710,1578,3033,3065,1814,2327,2247,1791,1351,2432,4026,8205,-,-,-,-
3,Last Close Price,11.91,12.17,11.54,14.82,14.91,11.40,12.26,11.71,10.49,9.48,11.89,13.28,24.46,-,-,-,-
4,PE Ratio,14.92,15.32,-,18.10,-,13.91,15.19,14.67,-,13.72,17.96,20.97,-,-,-,-,-
5,PS Ratio,2.28,2.34,2.26,2.90,2.98,2.42,2.58,2.54,2.35,2.12,2.77,3.05,5.75,-,-,-,-
6,PB Ratio,1.55,1.59,1.61,2.01,2.13,1.62,1.89,1.77,1.69,1.51,2.04,2.28,4.42,-,-,-,-
7,P/TBV Ratio,1.67,1.67,1.69,2.12,2.23,1.70,1.99,1.87,1.78,1.59,2.16,2.42,4.70,-,-,-,-
8,P/FCF Ratio,-,-,10.66,-,12.02,10.74,23.59,-,19.36,-,13.07,-,32.10,-,-,-,-
9,P/OCF Ratio,18.71,-,8.95,-,10.31,7.58,12.08,-,10.16,-,10.61,-,24.61,-,-,-,-
10,EV/Sales Ratio,1.10,0.93,0.87,1.61,1.67,1.05,1.32,1.31,1.08,0.81,1.53,2.47,5.15,-,-,-,-
11,EV/EBITDA Ratio,6.80,5.47,5.62,10.32,-,6.67,8.55,8.64,-,5.61,11.06,18.39,-,-,-,-,-
12,EV/EBIT Ratio,8.43,6.69,-,12.64,-,8.30,10.52,10.75,-,6.95,-,22.79,-,-,-,-,-
13,EV/FCF Ratio,-10.33,-,4.12,-,6.72,4.65,12.04,-,8.89,-,7.19,-,28.80,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,-,-
15,Debt / EBITDA Ratio,0.00,0.00,0.04,0.00,-,0.00,0.01,0.00,-,0.00,0.05,0.00,-,-,0.07,-,-
16,Debt / FCF Ratio,-,-,0.00,-,0.00,0.00,0.00,-,0.00,-,0.00,-,0.00,-,0.00,-,-
17,Asset Turnover,0.61,0.21,0.50,0.33,0.60,0.29,0.50,0.26,0.71,0.28,0.51,-,-,-,-,-,
18,Inventory Turnover,9.50,17.39,7.36,13.05,8.23,13.43,8.35,10.64,5.58,14.09,6.89,8.47,-,-,-,-,-
19,Quick Ratio,1.78,1.78,2.10,2.17,2.07,2.06,2.09,2.09,2.03,2.08,2.28,2.23,2.06,-,1.31,-,1.20
20,Current Ratio,1.87,1.87,2.17,2.32,2.17,2.16,2.17,2.18,2.12,2.22,2.37,2.34,2.21,-,1.44,-,1.35
21,Return on Equity (ROE),26.53%,-0.95%,19.42%,-2.28%,27.77%,2.29%,23.88%,-4.84%,30.59%,2.01%,21.25%,-,-,0.67%,45.12%,-,
22,Return on Assets (ROA),11.36%,-0.73%,6.46%,-2.84%,10.00%,0.16%,7.99%,-5.48%,11.38%,-0.64%,7.29%,-,-,-,-,-,
23,Return on Capital (ROIC),19.42%,-1.22%,10.88%,-4.87%,17.24%,0.28%,13.82%,-9.53%,19.42%,-1.08%,12.54%,-,-,-2.26%,28.88%,-,
24,Return on Capital Employed (ROCE),8.02%,8.56%,-,8.01%,-,7.56%,8.09%,7.52%,-,7.29%,-,7.02%,-,-,-,-,-
25,Earnings Yield,6.67%,6.53%,6.88%,5.52%,5.75%,7.19%,6.58%,6.82%,6.87%,7.29%,5.57%,4.77%,2.50%,-,-,-,-
26,FCF Yield,-4.64%,-4.54%,9.38%,5.95%,8.32%,9.31%,4.24%,6.33%,5.16%,6.87%,7.65%,4.04%,3.12%,-,-,-,-
27,Dividend Yield,3.78%,-,-,-,3.02%,-,-,-,1.43%,-,-,-,0.27%,-,-,-,-
28,Payout Ratio,56.76%,-,-,-,-,23.01%,95.30%,-,-,-,216.02%,-,-,-,-,0.50%,-
29,Buyback Yield / Dilution,0.53%,4.20%,-1.91%,-0.21%,0.03%,-0.82%,-0.14%,-0.59%,-31.60%,-32.18%,-35.17%,-31.60%,-3.73%,-,-,-,-
30,Total Shareholder Return,4.31%,4.20%,-1.91%,-0.21%,3.05%,-0.82%,-0.14%,-0.59%,-30.17%,-32.18%,-35.17%,-31.60%,-3.46%,-,-,-,-
