,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Operating Revenue,704.08,206.14,559.14,323.97,669.57,281.39,517.72,218.97,705.86,230.22,462.35,218,637.65,265.35,424.15,159.8
1,Other Revenue,-24.71,24.71,-,47.06,-22.08,22.08,-,41.04,-21.97,21.97,-,46.63,-23.03,23.03,-,11.93
2,Revenue,679.36,230.85,559.14,371.02,647.49,303.47,517.72,260.01,683.9,252.19,462.35,264.64,614.62,288.38,424.15,171.73
3,Revenue Growth (YoY),4.92%,-23.93%,8.00%,42.70%,-5.32%,20.33%,11.97%,-1.75%,11.27%,-12.55%,9.01%,54.10%,-,-,-,-
4,Cost of Revenue,378.33,148.16,324.9,245.54,372.09,211.61,276.3,167.91,416.45,164.81,257.18,184.97,357.93,207.23,226.87,115.51
5,Gross Profit,301.04,82.69,234.23,125.48,275.4,91.86,241.41,92.1,267.44,87.37,205.18,79.66,256.69,81.14,197.28,56.22
6,"Selling, General & Admin",113.49,90.7,118.06,185.13,95.89,91.14,111.86,150.57,96.45,102.79,100.57,159.88,87.17,91.52,90.26,133.66
7,Other Operating Expenses,-18.7,4.59,-2.72,3.77,-3.17,-6.58,-2.34,20.12,-1.81,-11.53,-1.87,20.01,-4.08,-8.85,-0.05,0.99
8,Operating Expenses,97.06,95.53,119.31,175.83,102.78,89.11,109.52,180.81,92.27,96.76,98.6,157.66,99.72,90,90.21,116.98
