,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,836.52,802.85,914.87,949.54,-,507.32,-,391.34,134.27,134.27
1,Trading Asset Securities,-,10,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,836.52,812.85,914.87,949.54,-,507.32,391.34,391.34,134.27,134.27
3,Cash Growth,-,60.22%,133.78%,142.64%,-,277.83%,-,-,-,-
4,Accounts Receivable,125.04,124.95,116.16,103.27,-,110.28,-,103.88,136.9,136.9
5,Other Receivables,0.42,0.27,0.91,1.06,-,0.21,-,0.21,2.47,2.47
6,Receivables,125.46,125.22,117.07,104.33,-,110.49,-,104.09,139.36,139.36
7,Inventory,95.17,83.39,84.28,94.65,-,105.6,-,146.99,87.05,87.05
8,Other Current Assets,11.18,19.25,17.42,2.71,-,2.84,-,5.43,19.41,19.41
9,Total Current Assets,1068,1041,1134,1151,-,726.24,-,647.85,380.1,380.1
10,"Property, Plant & Equipment",306.11,310.14,307.59,310.98,-,303.81,-,302.48,169.64,169.64
11,Long-Term Investments,5,5,5,5,-,5,-,5,5,5
12,Other Intangible Assets,19.53,19.86,19.79,20.19,-,19.84,-,20.24,21.81,21.81
13,Long-Term Deferred Tax Assets,-,-,-,-,-,-,-,-,3.5,3.5
14,Long-Term Deferred Charges,1.36,-,-,-,-,-,-,-,3.76,3.76
15,Other Long-Term Assets,9.21,8.08,6.71,6.68,-,11.92,-,5.3,12.46,12.46
16,Total Assets,1410,1384,1473,1494,-,1067,-,980.87,596.28,596.28
17,Accounts Payable,13.09,17.99,18.45,21.61,-,7.64,-,41.68,21.84,21.84
18,Accrued Expenses,12.81,13.74,6.61,46.12,-,13.35,-,24.04,8.57,8.57
19,Current Portion of Long-Term Debt,0.89,-,50.04,49.98,-,-,-,37.56,-,-
20,Current Portion of Leases,-,0.88,-,-,-,-,-,-,-,-
21,Current Income Taxes Payable,6.99,3.5,6.94,9.65,-,8.38,-,5.09,3.9,3.9
22,Current Unearned Revenue,1.07,1.04,0.76,0.83,-,0.96,-,2.73,0.66,0.66
23,Other Current Liabilities,0.18,0.74,0.16,5.22,-,109.21,-,1.69,17.3,17.3
24,Total Current Liabilities,35.01,37.88,82.96,133.41,-,139.54,-,112.79,52.27,52.27
25,Long-Term Debt,-,-,50,50,-,99.9,-,149.9,67.1,67.1
26,Long-Term Leases,3.39,3.35,-,-,-,-,-,-,9.48,9.48
27,Long-Term Unearned Revenue,45.19,46.77,48.91,51.26,-,57.27,-,28.5,21.6,21.6
28,Long-Term Deferred Tax Liabilities,3.06,3.03,2.84,0.68,-,0.43,-,3.77,-,-
29,Total Liabilities,86.65,91.04,184.7,235.35,-,297.14,-,294.96,150.45,150.45
30,Common Stock,400.01,400.01,400.01,400.01,-,340,-,340,340,340
31,Additional Paid-In Capital,425.34,425.34,425.34,425.34,-,37.36,-,37.36,37.36,37.36
32,Retained Earnings,497.59,467.38,462.68,433.38,-,392.31,-,308.55,68.47,68.47
33,Comprehensive Income & Other,-0.04,0.01,-,-,-,-,-,-,-,-
34,Shareholders' Equity,1323,1293,1288,1259,-,769.67,685.91,685.91,445.83,445.83
35,Total Liabilities & Equity,1410,1384,1473,1494,-,1067,-,980.87,596.28,596.28
36,Total Debt,4.27,4.23,100.04,99.98,-,99.9,187.46,187.46,76.58,76.58
37,Net Cash (Debt),832.25,808.62,814.83,849.56,-,407.42,203.88,203.88,57.7,57.7
38,Net Cash Growth,-,98.47%,299.66%,316.69%,-,606.12%,-,-,-,-
39,Net Cash Per Share,2.07,2.12,1.95,2.12,-,1.27,0.58,0.60,0.17,0.17
40,Filing Date Shares Outstanding,400.01,400.01,400.01,400.01,355.73,340,349.69,400.01,340,340
41,Total Common Shares Outstanding,400.01,400.01,400.01,400.01,355.73,340,349.69,340,340,340
42,Working Capital,1033,1003,1051,1018,-,586.7,-,535.06,327.83,327.83
43,Book Value Per Share,3.31,3.23,3.22,3.15,-,2.26,2.02,2.02,1.31,1.31
44,Tangible Book Value,1303,1273,1268,1239,-,749.83,665.67,665.67,424.02,424.02
45,Tangible Book Value Per Share,3.26,3.18,3.17,3.10,-,2.21,1.96,1.96,1.25,1.25
46,Buildings,-,216.43,-,216.34,-,206.2,-,206.2,0.21,0.21
47,Machinery,-,155.97,-,142.16,-,136.81,-,135.12,60.38,60.38
48,Construction In Progress,-,2.81,-,11.48,-,9.98,-,0.15,120.49,120.49
