,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Revenue,83.66,86.93,80.47,72.76,55.57,82.63,134.76,68.86,86.5,86.5
1,Revenue Growth (YoY),50.54%,5.21%,-40.29%,5.67%,-35.75%,-4.48%,-,-,-,-
2,Cost of Revenue,28.28,38.83,34.32,147.62,23.45,35.22,49.41,199.38,40.37,40.37
3,Gross Profit,55.38,48.1,46.15,-74.86,32.12,47.4,85.35,-130.52,46.13,46.13
4,"Selling, General & Admin",14.41,14.32,12.05,57.58,8.6,15.22,14.3,64.66,13.77,13.77
5,Research & Development,6.78,5.74,3.57,18.13,5.37,4.65,4.98,19.42,3.13,3.13
6,Other Operating Expenses,-1.78,-0.35,-2.37,-163.16,-1.66,-1.67,-1.79,-209.95,-0.96,-0.96
7,Operating Expenses,19.42,19.9,13.46,-86.48,11.85,18.82,18.16,-125.89,16.5,16.5
8,Operating Income,35.96,28.2,32.69,11.62,20.27,28.58,67.19,-4.63,29.63,29.63
9,Interest Expense,-,-0.14,-0.66,-5.5,-1.51,-1.52,-1.54,-6.76,-0.06,-0.06
10,Interest & Investment Income,3.85,3.23,3,8.43,1.75,1.51,2.03,3.88,0.62,0.62
11,Currency Exchange Gain (Loss),-0.4,0.4,-,0.68,-0.85,0.85,-,9.81,-0.33,-0.33
12,Other Non Operating Income (Expenses),-0.23,-0.32,0.23,-0.09,0.88,1.13,-1.18,-0.35,-0.42,-0.42
13,EBT Excluding Unusual Items,39.17,31.37,35.26,15.15,20.55,30.55,66.5,1.95,29.43,29.43
14,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-1.24,-,-
15,Gain (Loss) on Sale of Assets,-,0.02,-0.06,0.01,-,-,-,-,-,-
16,Asset Writedown,-3.88,1.41,-1.46,-0.12,-3.28,1.4,-1.44,-,-0.01,-0.01
17,Other Unusual Items,-0.55,0.54,0.01,14.81,-,-,-,9.62,-,-
18,Pretax Income,34.74,33.34,33.75,29.85,17.27,31.95,65.06,10.33,29.42,29.42
19,Income Tax Expense,4.54,4.64,4.45,4.19,1.87,4.14,9.11,-0.76,4.01,4.01
20,Net Income,30.21,28.7,29.3,25.67,15.4,27.81,55.95,11.09,25.41,25.41
21,Net Income to Common,30.21,28.7,29.3,25.67,15.4,27.81,55.95,11.09,25.41,25.41
22,Net Income Growth,96.13%,3.20%,-47.64%,131.42%,-39.40%,9.44%,-,-,-,-
23,Shares Outstanding (Basic),403,382,419,400,356,320,350,340,340,340
24,Shares Outstanding (Diluted),403,382,419,400,356,320,350,340,340,340
25,Shares Change (YoY),13.23%,19.06%,19.68%,17.65%,4.63%,-5.76%,-,-,-,-
26,EPS (Basic),0.07,0.08,0.07,0.06,0.04,0.09,0.16,0.03,0.07,0.07
27,EPS (Diluted),0.07,0.07,0.07,0.06,0.04,0.09,0.16,0.03,0.07,0.07
28,EPS Growth,73.22%,-19.36%,-56.25%,96.70%,-42.08%,16.13%,-,-,-,-
29,Free Cash Flow,24.5,20.74,0.68,-,18.85,61.69,45.35,-,-43.49,-43.49
30,Free Cash Flow Per Share,0.06,0.05,0.00,-,0.05,0.19,0.13,-,-0.13,-0.13
31,Dividend Per Share,-,-,-,0.060,-,-,-,-,-,-
32,Gross Margin,66.20%,55.33%,57.35%,-102.88%,57.80%,57.37%,63.34%,-189.54%,53.33%,53.33%
33,Operating Margin,42.98%,32.44%,40.62%,15.98%,36.48%,34.60%,49.86%,-6.72%,34.26%,34.26%
34,Profit Margin,36.11%,33.02%,36.41%,35.27%,27.71%,33.66%,41.52%,16.11%,29.38%,29.38%
35,Free Cash Flow Margin,29.29%,23.86%,0.85%,-,33.91%,74.66%,33.66%,-,-50.27%,-50.27%
36,EBITDA,41.2,33.81,37.93,16.86,24.9,34.1,71.82,-0,31.36,31.36
37,EBITDA Margin,49.24%,38.89%,47.13%,23.17%,44.80%,41.27%,53.29%,-0.00%,36.25%,36.25%
38,D&A For EBITDA,5.24,5.61,5.24,5.24,4.62,5.52,4.62,4.62,1.73,1.73
39,EBIT,35.96,28.2,32.69,11.62,20.27,28.58,67.19,-4.63,29.63,29.63
40,EBIT Margin,42.98%,32.44%,40.62%,15.98%,36.48%,34.60%,49.86%,-6.72%,34.26%,34.26%
41,Effective Tax Rate,13.06%,13.91%,13.19%,14.03%,10.82%,12.94%,14.00%,-,13.62%,13.62%
42,Revenue as Reported,83.66,86.93,80.47,345.72,55.57,82.63,134.76,476.98,-,-
