,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 6, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,6992,7500,6788,7120,11596,-,-,-,-,-,-
1,Enterprise Value,6160,6692,5973,6713,11189,-,-,-,-,-,-
2,Last Close Price,17.48,18.75,16.97,17.74,28.90,-,-,-,-,-,-
3,PE Ratio,58.98,65.86,68.52,72.52,92.90,-,-,-,-,-,-
4,PS Ratio,20.74,23.16,22.95,24.43,33.54,-,-,-,-,-,-
5,PB Ratio,5.29,5.67,5.25,5.53,9.21,-,-,-,-,-,-
6,P/TBV Ratio,5.75,5.75,5.33,5.61,9.36,-,-,-,-,-,-
7,P/FCF Ratio,75.42,163.30,168.55,87.67,-,-,-,-,-,-,-
8,P/OCF Ratio,68.55,131.87,116.62,64.80,-,-,-,-,-,-,-
9,EV/Sales Ratio,19.02,20.66,20.20,23.03,32.36,-,-,-,-,-,-
10,EV/EBITDA Ratio,47.55,51.56,52.63,58.99,75.77,-,-,-,-,-,-
11,EV/EBIT Ratio,57.69,61.69,64.38,72.05,87.64,-,-,-,-,-,-
12,EV/FCF Ratio,66.44,145.69,148.32,82.66,-,-,-,-,-,-,-
13,Debt / Equity Ratio,0.00,0.00,0.00,0.08,0.08,-,0.13,0.27,0.27,0.17,0.17
14,Debt / EBITDA Ratio,0.03,0.03,0.03,0.66,1.48,-,0.73,0.65,-,0.60,0.60
15,Debt / FCF Ratio,0.05,0.09,0.11,1.23,-,-,1.57,-4.50,-,-,-
16,Asset Turnover,0.24,0.24,0.22,-,-,-,-,-,0.58,-,
17,Inventory Turnover,-,1.27,1.85,1.53,-,-,-,-,-,1.85,-
18,Quick Ratio,27.47,27.47,24.76,12.44,7.90,-,4.43,-,4.39,5.23,5.23
19,Current Ratio,30.51,30.51,27.47,13.67,8.63,-,5.20,-,5.74,7.27,7.27
20,Return on Equity (ROE),9.24%,8.90%,9.20%,-,-,15.29%,32.63%,-,22.80%,-,
21,Return on Assets (ROA),6.44%,4.94%,5.51%,-,-,-,-,-,12.42%,-,
22,Return on Capital (ROIC),6.85%,5.25%,5.95%,-,-,8.20%,19.23%,-,14.18%,-,
23,Return on Capital Employed (ROCE),7.77%,7.89%,6.89%,6.70%,9.38%,-,13.03%,-,-,10.89%,5.45%
24,Earnings Yield,1.63%,1.52%,1.46%,1.38%,1.08%,-,-,-,-,-,-
25,FCF Yield,1.33%,0.61%,0.59%,1.14%,-,-,-,-,-,-,-
26,Dividend Yield,0.35%,-,-,-,0.21%,-,-,-,-,-,-
27,Payout Ratio,22.73%,1.64%,82.61%,2.27%,-,9.83%,4.85%,3.15%,-,64.28%,64.28%
28,Buyback Yield / Dilution,-8.01%,-13.23%,-19.06%,-19.68%,-17.65%,-4.63%,5.76%,-,-,-,-
29,Total Shareholder Return,-7.67%,-13.23%,-19.06%,-19.68%,-17.44%,-4.63%,5.76%,-,-,-,-
