,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jan '24 Jan 1, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,16832,64780,68012,68012,25094,72166,97604,54050,20566,83408,98479,29724,1027,420,14098,9697,12849,36023,12463,22930,Upgrade
1,Revenue Growth (YoY),-32.92%,-10.23%,-30.32%,25.83%,22.01%,-13.48%,-0.89%,81.84%,1902.88%,19759.04%,598.54%,206.53%,-92.01%,-98.83%,13.12%,-57.71%,-45.47%,-38.10%,-85.33%,-56.52%,Upgrade
2,Cost of Revenue,11846,23213,25280,25280,16244,24342,31542,21129,13174,21821,31378,14039,7757,4536,8342,6189,-5423,9194,16712,12728,Upgrade
3,Gross Profit,4986,41568,42732,42732,8850,47824,66062,32921,7392,61587,67101,15685,-6730,-4116,5756,3508,18272,26829,-4249,10202,Upgrade
4,"Selling, General & Admin",4126,9469,9922,9922,5929,10218,10490,9231,4781,10107,8957,5572,2404,1747,2961,3749,5809,3434,2535,5852,Upgrade
5,Operating Expenses,4126,9469,9922,9922,5929,10218,10490,9231,4781,10107,8957,5572,2404,1747,2961,3749,5809,3434,2535,5852,Upgrade
6,Operating Income,860.14,32098,32810,32810,2921,37606,55572,23691,2611,51480,58144,10113,-9134,-5862,2795,-241.39,12464,23395,-6785,4350,Upgrade
7,Interest Expense,-,-,-,-,-1567,-,-,-1870,-,-,-,-,-89.87,-107.66,-16562,-,-101.13,-,-,-,Upgrade
8,Interest & Investment Income,8872,3986,1431,1431,13230,3924,4606,-,8329,2019,1336,385.22,4877,20743,-,888.8,6986,2654,2467,1193,Upgrade
9,Other Non Operating Income (Expenses),-816.99,186.96,341.55,341.55,120.58,0.81,1.62,31.05,-65.48,347.89,38.09,13.93,-23.57,-33.78,7.49,198.3,-16.7,174.95,5.93,0.17,Upgrade
10,EBT Excluding Unusual Items,8915,36272,34583,34583,14704,41531,60180,21851,10875,53847,59519,10512,-4370,14739,-13759,845.71,19332,26224,-4312,5543,Upgrade
11,Gain (Loss) on Sale of Investments,2018,-,-,-,2212,-633.86,-897.51,2757,864.14,-,130.04,-,13176,-,18013,-,-,-,-,-,Upgrade
12,Gain (Loss) on Sale of Assets,-,-,-,-,89.4,-,-,-,-,-,-,-,-,-,-,-,1064,-,-,-,Upgrade
