,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jan '24 Jan 1, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,71659,24803,17046,-,38768,75505,82083,75582,90551,74833,42865,43791,72454,44602,20107,41165,37750,33473,32127,15610,Upgrade
1,Short-Term Investments,224600,300800,265300,-,231050,277550,229000,158500,163000,208900,209901,128500,105850,137150,139012,114300,153100,163200,140500,156100,Upgrade
2,Trading Asset Securities,42067,42067,42067,-,42067,0.06,0.06,34726,0.06,28165,0.06,0.06,0.06,2932,7084,7084,7084,7084,7084,-,Upgrade
3,Cash & Short-Term Investments,338326,367671,324413,311885,311885,353055,311083,268808,253551,311899,252766,172291,178304,184684,166203,162549,197934,203757,179710,171710,Upgrade
4,Cash Growth,8.48%,4.14%,4.29%,16.03%,23.01%,13.20%,23.07%,56.02%,42.20%,68.88%,52.08%,5.99%,-9.92%,-9.36%,-7.52%,-5.34%,-22.93%,-20.21%,-26.09%,-10.26%,Upgrade
5,Accounts Receivable,28.08,216.63,1293,-,-,47.83,88.55,153.11,55.35,45.65,102.3,5.29,341,137.5,137.5,228.27,297.48,135.05,443.17,507.31,Upgrade
6,Other Receivables,5779,1124,1732,-,7112,1214,1649,1786,5975,1,1131,2310,3244,63.02,1618,2858,5338,453.4,540.01,3418,Upgrade
7,Receivables,5807,1341,3025,-,7112,1262,1738,1939,6030,46.65,1233,2316,3585,200.52,1756,3087,5635,588.45,983.17,3926,Upgrade
8,Inventory,1267,1127,1144,-,1218,790.25,1244,1039,1018,793.19,1064,561.64,650.95,812.91,941.97,777.7,590.58,325.07,406.19,712.61,Upgrade
9,Prepaid Expenses,599.44,1082,1820,-,309.53,2674,5177,1129,198.66,147.59,158.19,315.94,456.3,536.68,847.1,509.99,319.62,218.42,415.22,709.71,Upgrade
10,Other Current Assets,2940,2781,2774,-,6873,3901,1888,1992,2247,2139,1762,1769,1849,2168,2107,2364,3444,12323,6806,2741,Upgrade
11,Total Current Assets,348939,374001,333176,-,327399,361682,321129,274907,263045,315026,256983,177253,184845,188402,171854,169287,207923,217212,188321,179800,Upgrade
12,"Property, Plant & Equipment",21493,22740,23949,-,15312,14537,15152,10918,11259,11323,11484,11977,11970,11931,12179,12162,9145,4071,4445,4849,Upgrade
13,Long-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3000,-,-,-,7584,Upgrade
14,Other Intangible Assets,48.32,58.68,69.03,-,89.74,100.1,110.45,120.81,131.16,141.52,151.87,162.23,172.59,3183,3193,3204,3000,3000,3000,-,Upgrade
15,Other Long-Term Assets,3678,3564,3548,-,3708,3761,3574,8428,8900,3924,3917,3780,3721,3792,3931,4028,4154,964.56,988.63,1094,Upgrade
16,Total Assets,374158,400364,360743,-,346508,380080,339966,294374,283336,330413,272535,193171,200709,207308,191158,191680,224222,225248,196754,193327,Upgrade
17,Accounts Payable,748.91,1991,2470,-,718.2,2903,2642,2566,2939,1111,4228,1244,318.98,1008,672.85,840.25,354.57,505.74,853.1,213,Upgrade
18,Accrued Expenses,22803,42070,38698,-,22092,50965,45892,30851,23553,44601,37179,18459,14422,9083,7834,10529,8501,26546,28441,23290,Upgrade
19,Short-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4636,-,-,Upgrade
20,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,281.34,414.56,354.31,354.31,-,-,-,Upgrade
