,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,+9 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018","Jun '18 Jun 30, 2018",+9 Quarters
0,Cash & Equivalents,163.64,109.29,247.38,-,-,284.05,339.81,517.42,129.68,135.54,-,129.77,-,132.95,-,64.93,64.93,57.44,57.44,48.57,Upgrade
1,Trading Asset Securities,454.74,534.72,441.17,-,-,433.19,401.59,230.45,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
2,Cash & Short-Term Investments,618.38,644,688.55,-,-,717.24,741.4,747.87,129.68,135.54,129.77,129.77,-,132.95,112.44,64.93,64.93,57.44,57.44,48.57,Upgrade
3,Cash Growth,-,-10.21%,-7.13%,-,-,429.16%,471.33%,476.31%,-,1.95%,15.41%,99.85%,-,131.45%,95.75%,33.68%,33.68%,34.08%,34.08%,26.73%,Upgrade
4,Accounts Receivable,56.83,67.87,58.83,-,-,61.09,50.02,45.58,39.74,55.2,-,35.69,-,33.23,-,17.34,17.34,17.31,17.31,15.49,Upgrade
5,Other Receivables,16.8,13.06,13.74,-,-,11.4,9.16,9.92,11.6,1.17,-,12,-,5.84,-,0.04,0.04,0.05,0.05,0.11,Upgrade
6,Receivables,73.63,80.92,72.58,-,-,72.49,59.18,55.49,51.34,56.37,-,47.69,-,39.06,-,17.38,17.38,17.36,17.36,15.6,Upgrade
7,Inventory,61.5,61.51,63.81,-,-,55.4,59.67,56.36,63.55,47.22,-,37.16,-,26.65,-,15.09,15.09,13.7,13.7,14.15,Upgrade
8,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.73,1.73,1.43,0.67,0.56,Upgrade
9,Other Current Assets,11.56,11.5,13.57,-,-,15.88,17.27,11.13,8.67,6.57,-,8.21,-,8.74,-,0.84,0.84,0.84,1.6,2.1,Upgrade
10,Total Current Assets,765.08,797.93,838.51,-,-,861.02,877.52,870.86,253.24,245.7,-,222.83,-,207.39,-,99.98,99.98,90.77,90.77,80.98,Upgrade
11,"Property, Plant & Equipment",92.97,74.19,51.81,-,-,24.69,23.94,24.09,22.95,24.12,-,25.6,-,23.8,-,16.76,16.76,16.75,16.75,15.65,Upgrade
12,Long-Term Investments,64.17,71.16,61.41,-,-,45.47,45.52,45.6,37.11,37.11,-,38.16,-,38.56,-,2.84,2.84,2.84,2.84,2.84,Upgrade
13,Goodwill,9.21,9.21,9.21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
14,Other Intangible Assets,18.62,19.15,19.54,-,-,17.05,2.92,3.14,3.31,3.41,-,3.87,-,0.6,-,0.45,0.45,0.52,0.52,0.57,Upgrade
15,Long-Term Deferred Tax Assets,14.05,11.86,10.19,-,-,9.17,7.64,6.3,4.81,4.14,-,2.59,-,2.41,-,0.11,0.11,0.11,0.11,0.1,Upgrade
16,Long-Term Deferred Charges,1.2,1.53,1.86,-,-,2.9,2.97,3.33,1.55,6.24,-,4.74,-,3.4,-,0.1,0.1,0.06,0.06,0.08,Upgrade
17,Other Long-Term Assets,0.5,0.5,0.5,-,-,0.5,0.5,0.5,5.92,0.87,-,-,-,-,-,-,-,-,-,-,Upgrade
18,Total Assets,965.79,985.54,993.04,-,-,960.8,961.02,953.82,328.89,321.6,-,297.79,-,276.17,-,120.23,120.23,111.05,111.05,100.22,Upgrade
19,Accounts Payable,22.44,9.81,18.25,-,-,7.07,7.92,2.73,7.09,4.43,-,4.88,-,4.39,-,2.27,2.27,1.02,1,2.39,Upgrade
20,Accrued Expenses,9.07,11.57,6.47,-,-,10.41,6.84,14.18,7.81,11.99,-,11.7,-,12.24,-,1.61,1.61,4.4,5.74,2.31,Upgrade
21,Short-Term Debt,-,-,-,-,-,-,-,-,-,-,-,3.07,-,2.67,-,-,-,-,-,-,Upgrade
22,Current Portion of Leases,-,1.77,-,-,-,2.32,1.58,1.7,1.54,1.94,-,2.09,-,1.61,-,-,-,-,-,-,Upgrade
23,Current Income Taxes Payable,3.97,2.22,6.04,-,-,1.21,3.43,1.85,3.44,1.96,-,1.87,-,4.81,-,1.93,1.93,2.69,0.89,0.1,Upgrade
24,Current Unearned Revenue,6.64,7.54,5.9,-,-,11.01,9.99,12.93,12.3,10.83,-,9.91,-,10.32,-,-,-,-,2.95,1.38,Upgrade
25,Other Current Liabilities,10.3,22.85,8.14,-,-,2.17,2.04,3.69,3.82,2.56,-,1.31,-,0.53,-,3.36,3.36,2.95,0.49,0.46,Upgrade
26,Total Current Liabilities,52.42,55.75,44.82,-,-,34.19,31.8,37.08,35.99,33.71,-,34.83,-,36.57,-,9.16,9.16,11.07,11.07,6.64,Upgrade
27,Long-Term Leases,0.25,0.3,0.34,-,-,1.76,2.9,2.86,1.45,1.81,-,2.73,-,1.64,-,-,-,-,-,-,Upgrade
28,Long-Term Deferred Tax Liabilities,1.78,2.8,2.39,-,-,5.32,3.99,3.78,2.41,2.41,-,2.41,-,2.41,-,-,-,-,-,-,Upgrade
29,Other Long-Term Liabilities,3,3,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
30,Total Liabilities,57.45,61.86,53.55,-,-,41.27,38.69,43.72,39.85,37.92,-,39.97,-,40.62,-,9.16,9.16,11.07,11.07,6.64,Upgrade
31,Common Stock,102.67,102.67,102.67,-,-,102.67,102.67,102.67,77,77,-,77,-,77,-,69,69,46,46,46,Upgrade
32,Additional Paid-In Capital,626.63,632.6,631.46,-,-,631.11,626.63,626.63,46.08,46.08,-,46.08,-,46.08,-,3.59,3.59,3.59,3.59,3.59,Upgrade
33,Retained Earnings,197.7,187.05,187.35,-,-,163.79,171.06,158.79,151.14,145.74,-,119.86,-,97.4,-,38.48,38.48,50.4,50.4,44,Upgrade
34,Treasury Stock,-29.99,-16.71,-0.21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
35,Comprehensive Income & Other,10.83,17.41,17.41,-,-,20.91,20.91,20.91,13.67,13.67,-,13.55,-,13.67,-,-,-,-,-,-,Upgrade
36,Total Common Equity,907.83,923.02,938.68,-,-,918.49,921.26,908.99,287.89,282.49,256.49,256.49,-,234.15,193.79,111.07,111.07,99.99,99.99,93.58,Upgrade
37,Minority Interest,0.51,0.65,0.81,-,-,1.04,1.06,1.11,1.15,1.19,-,1.34,-,1.41,-,-,-,-,-,-,Upgrade
38,Shareholders' Equity,908.34,923.68,939.49,-,-,919.53,922.32,910.1,289.04,283.68,257.82,257.82,-,235.55,195.29,111.07,111.07,99.99,99.99,93.58,Upgrade
39,Total Liabilities & Equity,965.79,985.54,993.04,-,-,960.8,961.02,953.82,328.89,321.6,-,297.79,-,276.17,-,120.23,120.23,111.05,111.05,100.22,Upgrade
40,Total Debt,0.25,2.08,0.34,-,-,4.08,4.48,4.56,2.98,3.74,7.89,7.89,-,5.92,2.22,-,-,-,-,-,Upgrade
41,Net Cash (Debt),618.13,641.93,688.21,-,-,713.16,736.92,743.31,126.69,131.8,121.88,121.88,-,127.03,110.22,64.93,64.93,57.44,57.44,48.57,Upgrade
42,Net Cash Growth,-,-9.99%,-6.61%,-,-,441.08%,504.63%,509.87%,-,3.76%,10.58%,87.70%,-,121.14%,91.88%,33.68%,33.68%,34.08%,34.08%,26.73%,Upgrade
43,Net Cash Per Share,7.16,6.47,6.96,-,-,6.95,7.21,7.77,1.65,1.73,1.58,1.66,-,1.65,-,0.94,0.94,1.25,0.83,0.70,Upgrade
44,Filing Date Shares Outstanding,100.92,100.92,102.67,-,102.64,102.67,102.67,102.67,77,77,77,77,76.92,77,-,69.28,69.28,45.95,69,69,Upgrade
45,Total Common Shares Outstanding,100.92,101.75,102.67,-,102.64,102.67,102.67,102.67,77,77,77,77,76.92,77,-,69.28,69.28,45.95,69,69,Upgrade
46,Working Capital,712.66,742.18,793.69,-,-,826.83,845.72,833.78,217.24,211.99,-,188,-,170.83,-,90.82,90.82,79.71,79.71,74.34,Upgrade
47,Book Value Per Share,9.00,9.07,9.14,-,-,8.95,8.97,8.85,3.74,3.67,3.33,3.33,-,3.04,2.52,1.60,1.60,2.18,1.45,1.36,Upgrade
48,Tangible Book Value,880,894.66,909.92,-,-,901.44,918.34,905.85,284.58,279.08,252.62,252.62,-,233.55,193.46,110.62,110.62,99.47,99.47,93.01,Upgrade
49,Tangible Book Value Per Share,8.72,8.79,8.86,-,-,8.78,8.94,8.82,3.70,3.62,3.28,3.28,-,3.03,2.51,1.60,1.60,2.16,1.44,1.35,Upgrade
50,Buildings,-,20.98,-,-,-,20.98,-,20.86,-,20.86,-,20.58,-,20.58,-,-,-,-,14.66,11.42,Upgrade
51,Machinery,-,14.78,-,-,-,12.02,-,10.73,-,10.44,-,9.69,-,8.15,-,-,-,-,5.74,4.15,Upgrade
52,Construction In Progress,-,52.28,-,-,-,1.19,-,0.01,-,-,-,-,-,-,-,-,-,-,-,3.23,Upgrade
