,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,+9 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018","Jun '18 Jun 30, 2018",+9 Quarters
0,Operating Revenue,51.52,58.89,49.48,-,45.5,60.63,47.99,52.57,39.41,53.43,50.75,54.23,46.44,59.67,41.54,21.21,21.21,17.87,17.87,16.95,Upgrade
1,Other Revenue,-0.77,0.77,-,-,-0.47,0.47,-,1.76,-1.42,1.42,-,0.95,-0.74,0.74,-,-,-,-,-,-,Upgrade
2,Revenue,50.74,59.67,49.48,-,45.03,61.1,47.99,54.33,37.99,54.85,50.75,55.17,45.7,60.4,41.54,21.21,21.21,17.87,17.87,16.95,Upgrade
3,Revenue Growth (YoY),12.69%,-2.35%,3.10%,-,18.51%,11.40%,-5.44%,-1.54%,-16.86%,-9.20%,22.18%,160.14%,115.46%,238.10%,132.50%,25.13%,25.13%,3.53%,3.53%,14.25%,Upgrade
4,Cost of Revenue,22.42,24.62,20.34,-,16.73,24.74,20.01,23.68,13.17,20.84,21.82,22.99,19.92,39.02,-,7.65,7.65,5.84,5.84,5.85,Upgrade
5,Gross Profit,28.33,35.05,29.13,-,28.3,36.37,27.97,30.65,24.82,34.01,28.93,32.18,25.78,21.38,41.54,13.56,13.56,12.02,12.02,11.1,Upgrade
6,"Selling, General & Admin",8.79,15.41,13.94,-,16.44,17.42,11.39,12.83,12.06,9.29,10.23,11.16,8.74,18.67,-,4.99,4.99,5.91,5.98,4.73,Upgrade
7,Research & Development,16.04,14.72,12.79,-,14.24,13.41,10.99,13.28,10.29,10.04,8.62,9.13,7.38,10.98,-,3.26,3.26,2.97,2.9,1.52,Upgrade
8,Other Operating Expenses,-1.36,-1.1,-0.96,-,-4.03,-2.26,-4.16,0.11,-1.88,-1.65,-0.82,-0.22,-1.08,-30.66,28.24,-0.57,-0.57,-0.45,-0.44,-0.79,Upgrade
