,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,+9 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018","Jun '18 Jun 30, 2018",+9 Quarters
0,Market Capitalization,2267,1943,1768,2117,2921,3071,3250,2901,2686,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
1,Market Cap Growth,-36.74%,-36.74%,-45.61%,-27.03%,8.75%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
2,Enterprise Value,1649,1301,1081,1415,2219,2359,2515,2776,2560,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
3,Last Close Price,22.46,19.25,17.22,20.49,28.27,29.72,31.46,27.90,25.82,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
4,PE Ratio,59.14,70.69,73.59,77.14,-,75.93,84.10,71.55,68.73,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
5,Forward PE,37.43,34.68,32.34,22.41,32.99,37.16,42.35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
6,PS Ratio,9.68,12.15,11.47,13.60,-,14.73,16.14,14.87,13.57,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
7,PB Ratio,2.50,2.14,1.91,2.25,-,-,3.53,3.15,2.95,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
8,P/TBV Ratio,2.21,2.21,1.98,2.33,-,-,3.61,3.16,2.96,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
9,P/FCF Ratio,-,-,-,-,-,954.35,-,-,197.12,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
10,P/OCF Ratio,88.78,137.85,125.38,-,-,113.44,234.87,-,148.18,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
11,EV/Sales Ratio,7.31,8.14,7.01,9.10,-,11.32,12.48,14.22,12.94,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
