,Fiscal Quarter,Current,Q2 2024,Q1 2024,Q4 2023,null null,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+10 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+10 Quarters
0,Market Capitalization,28,31,32,29,62,72,82,90,93,96,100,110,108,122,134,128,138,150,152,88,114,Upgrade
1,Market Cap Growth,-56.42%,-56.42%,-61.65%,-67.56%,-33.05%,-25.73%,-17.27%,-18.18%,-13.70%,-20.98%,-25.67%,-14.06%,-21.74%,-18.67%,-11.84%,45.45%,21.05%,13.64%,5.56%,-55.56%,-49.11%,Upgrade
2,Enterprise Value,-14,-20,-16,4,37,53,64,87,90,89,93,94,92,100,112,100,111,102,101,35,60,Upgrade
3,Last Close Price,0.70,0.78,0.79,0.73,1.56,1.79,2.06,2.25,2.33,2.41,2.49,2.75,2.70,3.05,3.35,3.20,3.45,3.75,3.80,2.20,2.85,Upgrade
4,PE Ratio,1.72,1.92,2.68,-,6.28,-67.20,16.84,-,-,-7.76,-,-,-12.68,-9.78,-,-,-,57.90,-,99.97,-32.33,Upgrade
5,PS Ratio,0.07,0.08,0.10,0.11,0.27,0.32,0.37,0.47,0.65,0.84,1.07,1.19,1.20,1.82,2.78,2.31,1.71,1.49,1.38,0.74,0.94,Upgrade
6,PB Ratio,0.29,0.32,0.33,0.34,0.79,0.89,1.04,1.15,-,1.22,1.31,1.45,-,1.30,1.38,1.30,-,1.47,1.48,0.81,-,Upgrade
7,P/TBV Ratio,0.32,0.32,0.33,0.34,0.79,0.89,1.04,1.15,-,1.22,1.31,1.45,-,1.30,1.38,1.30,-,1.47,1.48,0.81,-,Upgrade
8,EV/Sales Ratio,-,-,-,0.02,0.16,0.24,0.29,0.46,0.63,0.77,1.00,1.02,1.03,1.49,2.32,1.82,1.37,1.01,0.92,0.29,0.49,Upgrade
9,EV/EBITDA Ratio,-,-,-,-,2.24,4.95,5.35,10.48,157.32,-149.00,-,-,-81.11,-12.52,-,-8.25,-,-,-,-19.58,-19.45,Upgrade
10,EV/EBIT Ratio,-,-,-,-,2.96,7.83,-,24.12,-24.65,-18.41,-,-,-24.25,-,-,-7.20,-,-,-,-11.01,-13.20,Upgrade
11,Debt / Equity Ratio,0.12,0.12,0.12,0.20,0.25,0.25,0.30,0.30,-,0.33,0.40,0.40,-,0.36,0.20,0.20,-,0.14,0.01,0.01,-,Upgrade
12,Debt / EBITDA Ratio,0.51,0.42,0.42,-,0.49,1.13,26.04,3.05,-,1.23,-,-,-,26.61,-,3.14,-,-,-,0.53,-,Upgrade
13,Asset Turnover,2.26,2.27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,
14,Inventory Turnover,24.86,17.12,27.35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
15,Quick Ratio,1.26,1.26,1.26,1.35,-,1.22,-,1.34,-,1.22,-,1.41,-,1.41,-,1.87,-,2.08,-,3.30,-,Upgrade
16,Current Ratio,1.63,1.63,1.63,1.43,-,1.54,-,1.46,-,1.58,-,1.48,-,1.84,-,2.03,-,2.28,-,3.36,-,Upgrade
17,Return on Equity (ROE),27.66%,29.74%,-29.84%,45.30%,10.69%,3.59%,-,-,40.64%,-12.70%,-,-,3.68%,-16.72%,-,-,2.99%,-12.55%,-,-,Upgrade,
18,Return on Assets (ROA),7.46%,7.50%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,
19,Return on Capital (ROIC),13.62%,14.17%,-5.44%,23.27%,7.88%,-1.81%,-,-,7.71%,-9.51%,-,-,-0.98%,-14.04%,-,-,-13.63%,-9.34%,-,-,Upgrade,
20,Return on Capital Employed (ROCE),18.92%,18.92%,16.19%,-,-,7.92%,-,4.28%,-,-5.68%,-,-,-,-,-,-13.28%,-,-,-,-2.85%,-,Upgrade
21,Earnings Yield,58.13%,52.17%,37.37%,20.25%,15.92%,-1.49%,5.94%,1.89%,-18.82%,-12.89%,-19.92%,-19.53%,-7.88%,-10.23%,-9.38%,-9.46%,-0.14%,1.73%,-0.76%,1.00%,-3.09%,Upgrade
22,FCF Yield,67.49%,-7.07%,-3.52%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
