,Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,null null,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+10 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+10 Quarters
0,Revenue,19.34,19.34,13.25,13.11,9.86,8.09,9.38,11.48,8.57,3.2,2.77,5.9,4.22,3.14,2.46,1.81,0.94,4.23,7.27,5.68,Upgrade
1,Revenue Growth (YoY),96.12%,139.11%,41.26%,14.22%,15.02%,152.47%,239.07%,94.76%,103.13%,2.20%,12.66%,226.23%,350.00%,-25.92%,-66.21%,-68.18%,-68.98%,-4.56%,-12.01%,-48.55%,Upgrade
2,Cost of Revenue,15.25,15.25,11.61,8.95,6.96,5.37,8.28,7.06,6.52,2.69,3.8,3.77,3.3,2.66,1.45,1.5,1.05,3.96,4.8,4.34,Upgrade
3,Gross Profit,4.09,4.09,1.65,4.16,2.9,2.72,1.1,4.42,2.05,0.52,-1.03,2.13,0.92,0.48,1.01,0.31,-0.11,0.27,2.47,1.34,Upgrade
4,"Selling, General & Admin",3.07,3.07,1.9,2.55,2.35,2.84,0.58,3.84,1.48,1.22,0.1,1.73,1,1.61,0.85,1.04,0.98,0.99,2.4,0.94,Upgrade
5,Operating Expenses,3.07,3.07,2.02,2.55,2.35,2.84,0.93,3.84,1.48,1.22,0.09,1.73,1,1.61,0.85,1.04,0.98,0.99,2.43,0.94,Upgrade
6,Operating Income,1.02,1.02,-0.38,1.61,0.55,-0.13,0.17,0.58,0.57,-0.7,-1.12,0.39,-0.08,-1.13,0.16,-0.73,-1.09,-0.71,0.04,0.4,Upgrade
7,Interest Expense,-0.03,-0.03,-,-0.03,-0.04,-0.03,-0.03,-0.03,-0.03,-0.02,-0.04,-0.04,-0.05,-0.01,-0.06,-0.01,-0.01,-0.01,-0,-,Upgrade
8,Interest & Investment Income,0.03,0.03,0.04,0.01,0.02,0,0.01,0.01,0.02,0.04,0.02,0.01,0.03,0,0.01,0,0.01,0.02,0.02,0.02,Upgrade
9,Other Non Operating Income (Expenses),0.38,0.38,-0.01,0.07,0.06,0.16,-0.06,-1.05,0.96,0.26,-2.93,0.71,0.34,0.35,-1.81,0.72,1.23,0.11,-0.09,0.08,Upgrade
10,EBT Excluding Unusual Items,1.4,1.4,-0.34,1.66,0.59,0.01,0.09,-0.48,1.51,-0.42,-4.07,1.08,0.24,-0.79,-1.7,-0.02,0.14,-0.59,-0.03,0.5,Upgrade
11,Gain (Loss) on Sale of Investments,-,-,-0.38,-,-0.12,0.12,-0.61,-,-,-,0.13,-0.43,-0.09,0.09,0.08,-,-,-,-,-,Upgrade
12,Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,-,0.02,-,-,-,-,-,-,-,0.32,-,Upgrade
13,Other Unusual Items,-,-,0.21,-,-,-,0.22,-,-,-,0.11,-,-,-,0.22,-,-,-,0.08,-,Upgrade
14,Pretax Income,1.4,1.4,-0.51,1.66,0.47,0.12,-0.3,-0.48,1.51,-0.42,-3.82,0.65,0.15,-0.7,-1.4,-0.02,0.14,-0.59,0.37,0.5,Upgrade
15,Income Tax Expense,0.25,0.25,0.54,0.09,0.1,-,0.02,-0.13,0.13,-,-,-,-,-,0.18,-,-,-,-0.08,0.03,Upgrade
16,Net Income,1.16,1.16,-1.05,1.57,0.37,0.12,-0.32,-0.35,1.38,-0.42,-3.82,0.65,0.15,-0.7,-1.59,-0.02,0.14,-0.59,0.44,0.48,Upgrade
17,Net Income to Common,1.16,1.16,-1.05,1.57,0.37,0.12,-0.32,-0.35,1.38,-0.42,-3.82,0.65,0.15,-0.7,-1.59,-0.02,0.14,-0.59,0.44,0.48,Upgrade
18,Net Income Growth,216.85%,855.79%,-,-,-73.51%,-,-,-,806.58%,-,-,-,9.35%,-,-,-,-,-,-,-50.47%,Upgrade
19,Shares Outstanding (Basic),40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,Upgrade
20,Shares Outstanding (Diluted),40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,Upgrade
21,EPS (Basic),0.03,0.03,-0.03,0.04,0.01,0.00,-0.01,-0.01,0.03,-0.01,-0.10,0.02,0.00,-0.02,-0.04,-0.00,0.00,-0.01,0.01,0.01,Upgrade
22,EPS (Diluted),0.03,0.03,-0.03,0.04,0.01,0.00,-0.01,-0.01,0.03,-0.01,-0.10,0.02,0.00,-0.02,-0.04,-0.00,0.00,-0.01,0.01,0.01,Upgrade
23,EPS Growth,216.84%,855.77%,-,-,-73.51%,-,-,-,806.58%,-,-,-,9.35%,-,-,-,-,-,-,-50.47%,Upgrade
24,Free Cash Flow,-0.19,-0.19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
25,Free Cash Flow Per Share,-0.00,-0.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
26,Gross Margin,21.15%,21.15%,12.43%,31.74%,29.40%,33.58%,11.70%,38.52%,23.96%,16.10%,-37.30%,36.05%,21.80%,15.31%,41.12%,16.99%,-11.94%,6.47%,33.94%,23.61%,Upgrade
27,Operating Margin,5.28%,5.28%,-2.84%,12.27%,5.57%,-1.57%,1.78%,5.05%,6.66%,-21.82%,-40.44%,6.67%,-1.97%,-36.04%,6.35%,-40.56%,-116.10%,-16.82%,0.56%,7.06%,Upgrade
28,Profit Margin,5.98%,5.98%,-7.94%,11.93%,3.70%,1.50%,-3.40%,-3.06%,16.07%,-12.98%,-137.98%,11.08%,3.60%,-22.39%,-64.62%,-1.33%,14.82%,-13.99%,6.11%,8.36%,Upgrade
29,Free Cash Flow Margin,-0.99%,-0.99%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
30,EBITDA,1.2,1.2,-0.2,1.78,0.76,0.04,0.33,0.71,0.95,-0.57,-0.99,0.5,0.06,-1.02,0.27,-0.69,-0.99,-0.67,0.09,0.47,Upgrade
31,EBITDA Margin,6.20%,6.20%,-1.50%,13.54%,7.75%,0.48%,3.55%,6.20%,11.04%,-17.70%,-35.67%,8.52%,1.31%,-32.57%,10.79%,-37.98%,-105.60%,-15.72%,1.21%,8.21%,Upgrade
32,D&A For EBITDA,0.18,0.18,0.18,0.17,0.22,0.17,0.17,0.13,0.38,0.13,0.13,0.11,0.14,0.11,0.11,0.05,0.1,0.05,0.05,0.07,Upgrade
33,EBIT,1.02,1.02,-0.38,1.61,0.55,-0.13,0.17,0.58,0.57,-0.7,-1.12,0.39,-0.08,-1.13,0.16,-0.73,-1.09,-0.71,0.04,0.4,Upgrade
34,EBIT Margin,5.28%,5.28%,-2.84%,12.27%,5.57%,-1.57%,1.78%,5.05%,6.66%,-21.82%,-40.44%,6.67%,-1.97%,-36.04%,6.35%,-40.56%,-116.10%,-16.82%,0.56%,7.06%,Upgrade
35,Effective Tax Rate,17.63%,17.63%,-,5.55%,22.17%,-,-,-,8.80%,-,-,-,-,-,-,-,-,-,-,5.19%,Upgrade
