,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H1 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,340,422,1147,1699,2378,3991,2010,2150,2130,1583,2958,Upgrade
1,Market Cap Growth,-75.17%,-75.17%,-51.79%,-57.44%,18.31%,85.66%,-5.64%,35.78%,-27.99%,-43.58%,0.97%,Upgrade
2,Enterprise Value,614,1905,1823,1712,2242,3965,2236,2935,3318,3354,-348,Upgrade
3,Last Close Price,0.12,0.15,0.41,0.60,0.84,1.41,0.71,0.76,1.07,0.80,1.49,Upgrade
4,PE Ratio,-,-,-,-,-,14.62,5.28,17.77,-,-,-,Upgrade
5,PS Ratio,0.08,0.09,0.19,0.26,0.34,0.49,0.24,0.56,-,0.16,0.51,Upgrade
6,PB Ratio,2.98,3.70,0.58,0.47,0.56,0.81,0.39,0.43,0.50,-,0.47,Upgrade
7,P/TBV Ratio,-,-,1.71,0.89,0.90,1.19,0.59,0.69,0.90,-,0.69,Upgrade
8,P/FCF Ratio,-,-1.03,-,-,-,6.25,3.90,107.50,-,6.41,27.91,Upgrade
9,P/OCF Ratio,-,-1.14,-,-,11.95,5.84,3.59,56.58,-,4.37,17.50,Upgrade
10,EV/Sales Ratio,0.14,0.43,0.31,0.26,0.32,0.49,0.27,0.76,-,0.34,-,Upgrade
11,EV/EBITDA Ratio,-,-,-,-,-,-,8.80,17.79,-,-,-,Upgrade
12,EV/EBIT Ratio,-,-,-,-,-,-,22.14,31.56,-,-,-,Upgrade
13,EV/FCF Ratio,-1.50,-4.65,-,-,-,6.21,4.34,146.75,-,13.58,-,Upgrade
14,Debt / Equity Ratio,2.99,2.99,0.99,0.56,0.48,0.45,0.51,0.58,0.72,-,0.71,Upgrade
15,Debt / FCF Ratio,-,-0.83,-,-,-,3.48,5.11,143.25,-,-,42.69,Upgrade
16,Return on Capital Employed (ROCE),-,-,-,-,-,-,1.33%,1.22%,-,-,-,Upgrade
17,Earnings Yield,-494.82%,-398.51%,-204.00%,-81.89%,-27.92%,6.84%,18.96%,5.63%,-,-252.13%,-11.19%,Upgrade
18,FCF Yield,-120.69%,-97.20%,-78.93%,-22.84%,4.75%,16.01%,25.62%,0.93%,-,15.60%,3.58%,Upgrade
19,Buyback Yield / Dilution,-,-,-,0.11%,-20.06%,-,-,-,-,-,Upgrade,
20,Total Shareholder Return,-,-,-,0.11%,-20.06%,-,-,-,-,-,Upgrade,
