,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,15247,16820,14400,15670,16154,16275,16820,17183,16880,15670,17425,19180,21418,22084,22507,23680,32428,-,-,-
1,Market Cap Growth,3.35%,3.35%,-14.39%,-8.80%,-4.30%,3.86%,-3.47%,-10.41%,-21.19%,-29.04%,-22.58%,-19.01%,-33.95%,-,-,-,-,-,-,-
2,Enterprise Value,14255,14417,12085,13986,13408,12953,14252,14509,11977,11662,16675,16362,18107,18137,19069,18600,27348,-,-,-
3,Last Close Price,2.52,2.78,2.37,2.58,2.66,2.68,2.77,2.83,2.78,2.58,2.87,3.16,3.53,3.64,3.71,4.23,5.80,-,-,-
4,PE Ratio,31.90,35.06,30.38,28.22,28.20,25.94,27.29,25.42,23.81,18.90,20.03,19.41,21.92,22.67,20.46,23.53,34.57,-,-,-
5,PS Ratio,0.38,0.41,0.34,0.35,0.35,0.34,0.34,0.33,0.31,0.27,0.29,0.31,0.36,0.40,0.44,0.51,0.73,-,-,-
6,PB Ratio,1.64,1.62,1.40,1.54,1.62,1.62,1.70,1.78,1.72,1.67,1.88,2.13,2.45,2.60,2.77,3.06,4.34,-,-,-
7,P/TBV Ratio,1.95,1.95,1.70,1.86,1.97,1.96,2.07,2.17,2.10,2.04,2.32,2.65,3.05,3.25,3.41,3.81,5.49,-,-,-
8,P/FCF Ratio,-,-,33.53,11.67,-,-,25.73,-,-,7.72,21.97,-,-132.41,-,-,-,249.56,-,-,-
9,P/OCF Ratio,50.55,-,18.59,8.65,-,42.49,16.91,-,-,7.19,15.64,-,71.41,-,-20.94,-,111.35,-,-,-
