,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,3831,5366,5624,5092,5724,6650,5785,5924,7523,8119,5731,7029,7760,7092,5691,6491,-,-,-
1,Trading Asset Securities,-,300.14,-,-,-,300.01,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,3831,5666,5624,5092,5724,6950,5785,5924,7523,8119,5731,7029,7760,7092,5691,6491,-,-,7031
3,Cash Growth,-33.07%,-18.47%,-2.79%,-14.04%,-23.92%,-14.40%,0.95%,-15.72%,-3.06%,14.48%,0.70%,8.29%,-,-,-19.05%,-,-,-,-
4,Accounts Receivable,9950,9257,10466,10336,10935,11412,11751,12556,13711,14897,15346,13678,13154,12659,10209,8327,-,-,-
5,Other Receivables,556.41,565.9,446.72,502.48,487.92,502.57,1092,951.91,826.53,890.18,1488,297.07,292.15,297.45,340.89,243.65,-,-,-
6,Receivables,10506,9823,10913,10838,11423,11915,12843,13508,14537,15788,16834,13975,13447,12957,10549,8571,-,-,-
7,Inventory,1556,1870,2343,2470,2315,2334,3020,2162,2846,2927,2868,2196,2676,3168,4000,2049,-,-,-
8,Prepaid Expenses,-,0,-,0.14,-,-,-,0.06,-,9.45,-,-,-,2.7,-,4.26,-,-,-
9,Other Current Assets,1311,1695,2196,1561,1933,1899,2407,1940,1548,2378,2599,2055,3559,3736,3354,3484,-,-,-
10,Total Current Assets,17204,19054,21075,19962,21395,23098,24056,23534,26454,29220,28032,25255,27442,26955,23594,20599,-,-,-
11,"Property, Plant & Equipment",2051,1993,2081,2129,2128,1915,1824,1809,1630,1658,1706,1754,1544,1370,1146,1197,-,-,-
12,Long-Term Investments,703.13,672.45,671.13,568.66,539.87,526.99,534.93,491.47,452.49,443.63,432.49,446.16,406.82,404.83,353.55,371.8,-,-,-
13,Goodwill,14.68,14.68,14.68,14.68,13.8,5.65,5.65,5.65,5.65,5.65,5.65,5.65,-,-,-,-,-,-,-
14,Other Intangible Assets,652.44,636.92,650.1,711.93,645.5,650.47,664.15,675.85,656.17,665.77,678.83,688.44,700.03,713.82,724.73,757.89,-,-,-
15,Long-Term Deferred Tax Assets,167.94,168.24,145.35,166.34,138.29,138.99,134.99,174.96,138.11,139.46,133.39,132.33,154.91,146.25,133.26,138.58,-,-,-
16,Long-Term Deferred Charges,79.03,76.91,78.54,82.72,80.02,80.79,84.28,89.77,72.04,72.74,76.83,79.9,9.54,10.41,10.56,12.12,-,-,-
17,Other Long-Term Assets,1379,1379,1349,1349,1353,1400,1378,1378,1374,1331,1330,1346,1361,1371,1370,1213,-,-,-
18,Total Assets,22251,23996,26065,24984,26293,27816,28682,28159,30783,33536,32395,29708,31618,30971,27332,24290,-,-,-
19,Accounts Payable,7141,8715,9865,9122,9774,10724,10674,11107,14139,15432,13700,12585,14641,14752,11683,10312,-,-,-
20,Accrued Expenses,57.39,122.3,20.8,119.97,77.64,127.83,35.48,135.46,83.15,151.66,39.94,180.53,85.44,161.63,30.61,116.88,-,-,-
21,Short-Term Debt,623.83,1049,1600,1737,1363,1768,1351,1312,1264,2520,3392,2641,2942,1841,1052,1308,-,-,-
22,Current Portion of Long-Term Debt,277.11,237,287.28,247.16,46.32,180,240.44,180,-,-,258.99,200,241.14,249,-,498.45,-,-,-
23,Current Portion of Leases,-,27.59,-,42.23,-,38.78,-,53.16,-,35.27,-,43.4,-,21.49,-,19.25,-,-,-
24,Current Income Taxes Payable,134.57,35.84,130.02,42.71,82.5,44.76,121.93,119.1,147.9,85.16,185.06,115.28,118.6,102.85,158.28,115.2,-,-,-
25,Current Unearned Revenue,616.91,554.47,1460,1027,1137,1410,2041,1395,1924,2102,1863,1658,2106,2521,2529,1532,-,-,-
26,Other Current Liabilities,1457,1453,1504,1652,2639,2426,3313,2733,2842,2780,2997,2531,2060,2346,3075,1890,-,-,-
27,Total Current Liabilities,10308,12195,14867,13990,15120,16720,17776,17034,20399,23106,22436,19955,22195,21996,18529,15792,-,-,-
28,Long-Term Debt,729.5,730,230,220,368,448,448,480,280,460,260,260,240,180,380,380,-,-,-
29,Long-Term Leases,102.05,106.96,100.89,95.71,104.76,108.32,117.43,114.92,15.57,22.23,16.27,30.88,14.3,50.52,12.29,30.2,-,-,-
30,Long-Term Unearned Revenue,13.54,13.68,13.82,13.96,14.01,14.14,14.27,14.68,14.37,14.54,14.65,14.79,14.93,15.07,15.21,15.36,-,-,-
31,Long-Term Deferred Tax Liabilities,213.45,213.24,193.05,209.34,180,178.66,178.82,213.16,180.38,180.15,178.89,178.66,179.16,178.05,176.26,153.44,-,-,-
32,Other Long-Term Liabilities,479.09,363.72,370.96,400.69,397.19,401.91,418.49,416.06,410.06,400.52,441.35,419.76,468.79,439.1,475.28,327.72,-,-,-
33,Total Liabilities,11845,13744,15905,15010,16253,17942,19026,18343,21390,24275,23409,20951,23112,22859,19588,16812,-,-,-
34,Common Stock,6050,6050,6050,6050,6050,6050,6050,6050,6050,6050,6050,6050,6050,6050,6050,6050,-,-,-
35,Additional Paid-In Capital,0.03,0.02,-,-,0.09,0.09,0.07,271.71,0.04,0.03,0.02,0.02,0.02,0.01,-,-,-,-,-
36,Retained Earnings,2778,2617,2561,2401,2436,2281,2085,1936,1823,1679,1422,1211,983.13,798.16,423.48,223.1,-,-,-
37,Comprehensive Income & Other,470.64,472.49,457.74,457.12,458.64,458.74,459.56,458.9,459.54,459.58,459.4,459.54,461.56,461.78,461.66,392.99,-,-,-
38,Total Common Equity,9299,9139,9069,8908,8945,8790,8595,8717,8333,8189,7932,7721,7495,7310,6935,6666,-,-,5223
39,Minority Interest,1107,1112,1091,1066,1095,1084,1060,1099,1060,1073,1054,1036,1011,802.42,808.88,811.48,-,-,-
40,Shareholders' Equity,10405,10252,10161,9974,10040,9874,9656,9816,9393,9262,8986,8757,8506,8113,7744,7478,-,-,5893
41,Total Liabilities & Equity,22251,23996,26065,24984,26293,27816,28682,28159,30783,33536,32395,29708,31618,30971,27332,24290,-,-,-
42,Total Debt,1732,2151,2218,2342,1882,2543,2156,2140,1560,3038,3927,3176,3438,2342,1444,2236,-,-,2632
43,Net Cash (Debt),2098,3515,3406,2750,3841,4407,3629,3784,5963,5081,1804,3853,4322,4750,4247,4255,-,-,4399
44,Net Cash Growth,-45.38%,-20.22%,-6.14%,-27.31%,-35.59%,-13.27%,101.15%,-1.80%,37.97%,6.98%,-57.52%,-9.45%,-,-,-3.45%,-,-,-,-
45,Net Cash Per Share,0.35,0.58,0.56,0.45,0.64,0.73,0.60,0.63,0.99,0.84,0.30,0.64,0.71,0.88,0.64,0.84,-,-,1.00
46,Filing Date Shares Outstanding,6050,6050,6050,6050,6050,6050,6050,6050,6050,6050,6050,6050,6050,6050,6050,6050,3975,3552,4401
47,Total Common Shares Outstanding,6050,6050,6050,6050,6050,6050,6050,6050,6050,6050,6050,6050,6050,6050,6050,6050,3975,3552,4401
48,Working Capital,6896,6860,6209,5972,6275,6378,6279,6501,6055,6114,5596,5300,5247,4959,5065,4807,-,-,-
49,Book Value Per Share,1.54,1.51,1.50,1.47,1.48,1.45,1.42,1.44,1.38,1.35,1.31,1.28,1.24,1.21,1.15,1.10,-,-,1.31
50,Tangible Book Value,8632,8488,8405,8182,8285,8134,7925,8036,7671,7517,7247,7027,6795,6596,6211,5909,-,-,4490
51,Tangible Book Value Per Share,1.43,1.40,1.39,1.35,1.37,1.34,1.31,1.33,1.27,1.24,1.20,1.16,1.12,1.09,1.03,0.98,-,-,1.13
52,Buildings,-,1306,-,1391,-,1317,-,1320,-,1323,-,1323,-,1198,-,1285,-,-,-
