,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,9620,9995,9798,11098,11211,12395,10726,12774,13673,15529,13100,15706,15265,16862,11191,12349,10800,12270,8942
1,Other Revenue,-56.39,56.39,-,179.5,-63.64,63.64,-,125.38,-62.4,62.4,-,120.48,-53.24,53.24,-,105.2,-31.16,31.16,-
2,Revenue,9564,10051,9798,11278,11148,12459,10726,12899,13611,15592,13100,15827,15211,16915,11191,12455,10769,12302,8942
3,Revenue Growth (YoY),-14.21%,-19.33%,-8.65%,-12.57%,-18.10%,-20.09%,-18.12%,-18.50%,-10.52%,-7.82%,17.06%,27.08%,41.25%,37.50%,25.16%,-,-,-,-
4,Cost of Revenue,9058,9594,9349,10774,10612,11863,10180,12319,13046,14873,12456,15138,14582,16069,10634,11823,10058,11644,8479
5,Gross Profit,506.15,457.34,448.87,503.96,535.94,596.14,546.36,579.8,565.45,718.18,644.44,688.86,629.54,846.01,556.69,631.57,710.93,657.8,462.9
6,"Selling, General & Admin",295.16,286.17,317.05,417.26,306.53,296.82,278.69,346.35,301.55,264.06,263.52,312.64,292.67,262.36,256.63,291.08,299.13,213.3,201.35
7,Research & Development,8.98,7.82,4.86,19.93,8.4,13.82,6.8,21.53,8.12,5.39,2.77,8.52,4.81,7.6,3.01,8.7,3.71,2.82,1.05
8,Other Operating Expenses,17.39,30.13,11.24,44.51,21.89,25.26,20.04,47.27,27.04,29.87,27.96,47.16,26.12,27.35,20.04,54.34,16.62,20.61,15.38
9,Operating Expenses,303.27,336.16,319.71,467.07,331.23,341.06,305.97,415.77,327.87,348,309.29,341.77,328.03,340.86,272.84,301.98,336.33,257.26,243.48
10,Operating Income,202.88,121.18,129.16,36.9,204.71,255.08,240.38,164.02,237.58,370.18,335.15,347.1,301.51,505.16,283.85,329.6,374.61,400.53,219.43
11,Interest Expense,-21.23,-12.25,-6.73,-38.34,-16.57,-21.08,-15.64,-18.1,-22.96,-24.76,-41.62,-21.89,-35.4,-27.95,-36.29,-48.87,-40.34,-34.58,-42.55
12,Interest & Investment Income,20.06,37.33,19.44,33.47,21,27.74,30.81,40.51,36.28,29.27,25.44,37.21,36.1,35.03,30.69,65.35,104.89,30.66,22.5
13,Currency Exchange Gain (Loss),-0.18,0.18,-,7.36,-0.4,0.4,-,0.93,-1.52,1.52,-,-0.04,-0,0,-,-0.19,0.04,-0.04,-
14,Other Non Operating Income (Expenses),-1.36,-9.12,-0.06,-5.85,11.05,-5.49,-3.82,-10.96,7.54,-24.88,-10.15,-15.42,-8.24,8.04,-11.92,-12.07,3.38,-8.78,-2.88
15,EBT Excluding Unusual Items,200.18,137.32,141.81,33.53,219.79,256.65,251.73,176.39,256.92,351.33,308.81,346.96,293.97,520.27,266.33,333.81,442.58,387.79,196.5
16,Gain (Loss) on Sale of Investments,-0.15,-,-,19.74,-6.43,-8.35,-9.2,-8.91,-38.77,-16.63,-4.63,-35.29,-30.73,-10.93,-,2.45,-,3.46,-3.46
17,Gain (Loss) on Sale of Assets,35.49,26.39,98.23,13.86,0.15,11.05,-0,2.3,0.07,-0.07,-,0.11,-0.42,0.03,1.18,-27.27,-0.02,8.2,-0.01
18,Asset Writedown,-1.54,-0.14,0.14,3.69,-4.02,0.91,-0.91,11.41,-11.41,1.24,-1.24,6.88,-5.72,-2.14,1.25,-3.15,-7.13,0.03,-
19,Legal Settlements,-,-,-,-0.8,-,-,-,-3.09,-,-,-,-,-,-,-,-,-,-,-
20,Other Unusual Items,-45.93,15.46,1.03,14.17,-,-,-,30.66,-5.51,5.51,-,21.6,-1.21,1.21,-,46.67,0.13,-0.13,-
21,Pretax Income,188.05,179.02,241.2,84.19,209.48,260.26,241.61,208.76,201.3,341.37,302.94,340.25,255.9,508.44,268.76,352.5,435.55,399.35,193.04
22,Income Tax Expense,30.73,42.01,55.19,38.71,38.41,31.18,46.83,100.28,43.3,65.58,70.67,94.98,51.57,101.29,58.26,117.75,102.65,81.36,52.62
23,Earnings From Continuing Operations,157.32,137.01,186.02,45.48,171.08,229.08,194.78,108.48,158,275.79,232.26,245.28,204.33,407.14,210.5,234.75,332.9,317.99,140.42
24,Minority Interest in Earnings,3.74,-21.27,-25.56,-3.04,-15.8,-31.99,-16.78,-11.52,-13.63,-19.14,-21.18,-28.09,-19.36,-32.46,-10.13,-20.71,-21.99,-36.86,-8.39
25,Net Income,161.06,115.75,160.46,42.44,155.28,197.09,177.99,96.95,144.37,256.65,211.08,217.19,184.97,374.68,200.38,214.04,310.91,281.13,132.03
26,Net Income to Common,161.06,115.75,160.46,42.44,155.28,197.09,177.99,96.95,144.37,256.65,211.08,217.19,184.97,374.68,200.38,214.04,310.91,281.13,132.03
27,Net Income Growth,3.73%,-41.27%,-9.85%,-56.23%,7.55%,-23.20%,-15.68%,-55.36%,-21.95%,-31.50%,5.34%,1.47%,-40.51%,33.28%,51.77%,-,-,-,-
28,Shares Outstanding (Basic),6056,6033,6055,6052,6043,6045,6054,6054,6045,6052,6048,6048,6053,5421,6679,5041,3975,3552,4401
29,Shares Outstanding (Diluted),6056,6033,6055,6052,6043,6045,6054,6054,6045,6052,6048,6048,6053,5421,6679,5041,3975,3552,4401
30,Shares Change (YoY),0.22%,-0.21%,0.02%,-0.03%,-0.03%,-0.12%,0.10%,0.11%,-0.14%,11.64%,-9.45%,19.97%,52.26%,52.62%,51.77%,-,-,-,-
31,EPS (Basic),0.03,0.02,0.03,0.01,0.03,0.03,0.03,0.02,0.02,0.04,0.03,0.04,0.03,0.07,0.03,0.04,0.08,0.08,0.03
32,EPS (Diluted),0.03,0.02,0.03,0.01,0.03,0.03,0.03,0.02,0.02,0.04,0.03,0.04,0.03,0.07,0.03,0.04,0.08,0.08,0.03
33,EPS Growth,3.50%,-41.15%,-9.86%,-56.22%,7.58%,-23.10%,-15.76%,-55.39%,-21.84%,-38.61%,16.33%,-15.41%,-60.93%,-12.74%,0%,-,-,-,-
34,Free Cash Flow,-605.3,87.23,769.61,-343.41,-83.93,1000,-185.8,-789.45,628.82,2444,-3009,1966,-608.53,-104.07,-1415,383.61,-288.84,1732,-1697
35,Free Cash Flow Per Share,-0.10,0.01,0.13,-0.06,-0.01,0.17,-0.03,-0.13,0.10,0.40,-0.50,0.33,-0.10,-0.02,-0.21,0.08,-0.07,0.49,-0.39
36,Dividend Per Share,-,-,-,0.010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,5.29%,4.55%,4.58%,4.47%,4.81%,4.78%,5.09%,4.49%,4.15%,4.61%,4.92%,4.35%,4.14%,5.00%,4.97%,5.07%,6.60%,5.35%,5.18%
38,Operating Margin,2.12%,1.21%,1.32%,0.33%,1.84%,2.05%,2.24%,1.27%,1.75%,2.37%,2.56%,2.19%,1.98%,2.99%,2.54%,2.65%,3.48%,3.26%,2.45%
39,Profit Margin,1.68%,1.15%,1.64%,0.38%,1.39%,1.58%,1.66%,0.75%,1.06%,1.65%,1.61%,1.37%,1.22%,2.22%,1.79%,1.72%,2.89%,2.29%,1.48%
40,Free Cash Flow Margin,-6.33%,0.87%,7.85%,-3.05%,-0.75%,8.03%,-1.73%,-6.12%,4.62%,15.68%,-22.97%,12.42%,-4.00%,-0.62%,-12.65%,3.08%,-2.68%,14.08%,-18.97%
41,EBITDA,265.37,166.94,191.65,99.39,267,308.04,302.67,226.31,289.4,431.46,386.96,398.91,363.39,560.93,345.73,391.48,428.07,456.63,272.89
42,EBITDA Margin,2.77%,1.66%,1.96%,0.88%,2.40%,2.47%,2.82%,1.75%,2.13%,2.77%,2.95%,2.52%,2.39%,3.32%,3.09%,3.14%,3.97%,3.71%,3.05%
43,D&A For EBITDA,62.49,45.76,62.49,62.49,62.29,52.96,62.29,62.29,51.81,61.28,51.81,51.81,61.88,55.77,61.88,61.88,53.46,56.09,53.46
44,EBIT,202.88,121.18,129.16,36.9,204.71,255.08,240.38,164.02,237.58,370.18,335.15,347.1,301.51,505.16,283.85,329.6,374.61,400.53,219.43
45,EBIT Margin,2.12%,1.21%,1.32%,0.33%,1.84%,2.05%,2.24%,1.27%,1.75%,2.37%,2.56%,2.19%,1.98%,2.99%,2.54%,2.65%,3.48%,3.26%,2.45%
46,Effective Tax Rate,16.34%,23.47%,22.88%,45.98%,18.34%,11.98%,19.38%,48.04%,21.51%,19.21%,23.33%,27.91%,20.15%,19.92%,21.68%,33.40%,23.57%,20.37%,27.26%
47,Revenue as Reported,9564,10051,9798,11278,11148,12459,10726,12899,13611,15592,13100,15827,15211,16915,11191,12455,10769,12302,8942
