,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,399.33,595.47,495.89,490.59,480.22,514.31,740.33,1251,656.6,763.55,1022,478.85,517.99,647.16,-,232.36,-,-,-
1,Short-Term Investments,-,109.01,108.3,87.72,143.6,126.57,184.5,-,68.57,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,-,70.05,76.72,69.68,76.66,77,94.06,89.98,114.16,118.43,139.28,17.37,16.15,0.24,-,-,-,-,-,-
3,Cash & Short-Term Investments,578.39,578.39,780.48,653.29,710.85,683.8,792.87,830.31,1433,775.03,902.83,1040,495,518.23,647.16,232.36,232.36,-,-,150.68
4,Cash Growth,-18.63%,-15.41%,-1.56%,-21.32%,-50.40%,-11.77%,-12.18%,-20.14%,189.56%,49.55%,39.51%,347.46%,113.03%,-,-,54.21%,-,-,-,-
5,Accounts Receivable,-,412.48,443.77,426.69,414.19,432.08,334.44,318.65,346.38,450.44,280.98,245.61,254.43,236.18,231.21,-,213.6,-,-,-
6,Other Receivables,-,30.58,54,34.07,48.11,32.93,50.08,29.78,66.2,34.2,23.16,13.23,21.48,11.95,9.61,-,9.43,-,-,-
7,Receivables,-,443.06,497.77,460.77,462.3,465.02,384.52,348.42,412.58,484.64,304.14,258.83,275.91,248.13,240.82,-,223.03,-,-,-
8,Inventory,-,665.22,642.7,658.62,634.5,614.71,611.81,585.99,569.54,588.75,633.25,561.41,363.81,370.33,339.67,-,298.16,-,-,-
9,Other Current Assets,-,118.56,60.99,72.92,43.08,134.03,42.21,194.6,79.72,104.74,127.2,188.09,43.34,77.64,64.42,-,40.32,-,-,-
10,Total Current Assets,-,1805,1982,1846,1851,1898,1831,1959,2495,1953,1967,2048,1178,1214,1292,-,793.88,-,-,-
11,"Property, Plant & Equipment",-,1640,1520,1447,1371,1249,1233,1078,1044,944.5,779.6,693.41,672.07,534.43,493.79,-,425.35,-,-,-
12,Long-Term Investments,-,330.06,201.94,254.29,260.91,272.55,145.71,334.03,302.82,228.93,243.01,129.74,75.42,50,-,-,-,-,-,-
13,Goodwill,-,5.48,5.29,5.29,5.29,5.29,5.29,5.29,5.29,1.69,-,-,-,-,-,-,-,-,-,-
14,Other Intangible Assets,-,187.03,192.92,197.76,188.98,192.66,207.8,206.64,210.07,180.78,103.16,102.08,103.78,96.09,95.99,-,35.75,-,-,-
15,Long-Term Accounts Receivable,-,-,-,-,-,-,-,-,-,0.33,-,3.76,3.76,3.76,3.76,-,3.99,-,-,-
16,Long-Term Deferred Tax Assets,-,45.89,45.26,45.49,47.68,57.67,50.4,47.44,50.57,38.26,26.6,31.47,16.81,16.16,16.78,-,13.53,-,-,-
17,Long-Term Deferred Charges,-,29.32,58.64,30.77,43.12,28.15,38.82,42.23,36.15,29.84,27.42,24.01,22.87,25.85,25.98,-,25.05,-,-,-
18,Other Long-Term Assets,-,45.05,34.82,36.51,37.89,65.05,69.99,70.2,69.9,49.66,148.49,84.86,65.05,14.38,15.66,-,26.09,-,-,-
19,Total Assets,-,4088,4041,3862,3806,3768,3583,3743,4214,3427,3296,3117,2138,1955,1944,-,1324,-,-,-
20,Accounts Payable,-,214.94,145.91,231.68,203.81,250.93,185.72,180.8,307.76,348.37,182.62,224.09,137.6,108.83,90.31,-,73.74,-,-,-
21,Accrued Expenses,-,66.24,98.11,104.94,145.99,58.94,88.05,96.41,211.11,127.88,267.35,112.09,54.88,28.33,47.88,-,37.06,-,-,-
22,Short-Term Debt,-,303.95,250.87,161.1,171.07,280.28,273.16,239.07,279.36,188.07,360.53,223.68,150.82,213.79,288.49,-,302,-,-,-
23,Current Portion of Leases,-,1.7,1.14,0.57,1.07,2.26,7.09,6.98,5.05,3.99,4.95,4.34,4.73,2.99,3.94,-,4.81,-,-,-
24,Current Income Taxes Payable,-,14.29,2.96,20.66,13.27,20.58,8.47,110.97,75.73,65.36,66.99,105.03,12.27,19.79,5.24,-,15.16,-,-,-
25,Current Unearned Revenue,-,186.45,184.01,176.92,183.51,170.07,179.5,197.62,528.61,148.43,141.66,145.75,111.09,65.71,57.94,-,58.94,-,-,-
26,Other Current Liabilities,-,100.09,282.81,96.24,122.56,95.6,100.84,137.36,126.24,58.62,79.29,135.37,40.79,18.55,17.24,-,28.94,-,-,-
27,Total Current Liabilities,-,887.66,965.8,792.12,841.28,878.65,842.84,969.22,1534,940.71,1103,950.35,512.17,457.98,511.04,-,520.65,-,-,-
28,Long-Term Debt,-,538.04,466.86,418.54,381.89,367.58,361.94,214.41,183.9,152.13,117.83,98.19,73.26,-,-,-,-,-,-,-
29,Long-Term Leases,-,2.8,1.98,5.27,3.57,5.96,3.32,5.15,5.24,6.15,6.91,3.85,4.89,7.74,8.21,-,8.22,-,-,-
30,Long-Term Unearned Revenue,-,53.71,47.12,48.15,36.7,37.43,36.94,29.3,29.75,28.55,31.94,29.91,33.25,27.46,28.19,-,30.8,-,-,-
31,Long-Term Deferred Tax Liabilities,-,5.47,6.33,7.81,9.06,9.56,13.2,10.79,15.88,8.37,11.35,0.09,0.02,-,-,-,-,-,-,-
32,Other Long-Term Liabilities,-,-,-,0.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,Total Liabilities,-,1488,1488,1273,1273,1299,1258,1229,1769,1136,1271,1082,623.59,493.18,547.43,-,559.67,-,-,-
34,Common Stock,-,569.28,569.28,568.31,568.13,568.13,568.13,567,567,567,567,405,405,405,405,-,364,-,-,-
35,Additional Paid-In Capital,-,462.51,454.35,438.13,432.24,427.89,408.37,392.71,389.51,384.64,378.66,534.71,525.03,513.57,513.57,-,13.24,-,-,-
