,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,9632,9010,13549,13276,13806,12993,10880,10482,10711,11142,10019,11862,16552,13993,11846,17982,-,-,-,-,-
1,Market Cap Growth,-30.65%,-30.65%,24.53%,26.65%,28.90%,16.62%,8.59%,-11.63%,-35.29%,-20.38%,-15.43%,-34.04%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,9848,9226,13445,13171,13762,12949,10732,10132,10308,10739,9590,11141,16256,13697,11499,18061,-,-,-,-,-
3,Last Close Price,16.89,15.80,23.80,23.02,23.99,22.58,18.90,18.21,18.22,18.95,17.04,20.18,27.78,23.48,19.88,30.18,-,-,-,-,-
4,PE Ratio,31.87,29.87,46.94,34.35,40.63,36.60,25.66,21.48,18.40,11.01,10.85,15.17,24.40,68.34,54.75,90.64,-,-,-,-,-
5,Forward PE,16.89,16.84,24.01,25.42,27.41,27.31,24.71,21.94,23.61,17.99,12.76,23.24,37.15,34.64,-,-,-,-,-,-,-
6,PS Ratio,4.83,4.52,7.12,6.85,7.57,6.33,4.54,3.86,3.27,2.80,2.90,4.00,7.16,11.88,10.33,16.08,-,-,-,-,-
7,PB Ratio,3.63,3.47,5.21,5.20,5.33,5.13,4.41,4.51,4.26,4.56,4.37,5.86,8.13,9.24,8.10,12.88,-,-,-,-,-
8,P/TBV Ratio,3.66,3.66,5.51,5.54,5.70,5.49,4.76,4.96,4.68,5.06,4.80,6.12,8.51,9.84,8.66,13.81,-,-,-,-,-
9,P/FCF Ratio,-,-,204.99,-,-,-17.66,-,-,-,10.95,24.33,-,33.04,-,-,-679.69,-,-,-,-,-
10,P/OCF Ratio,-,-,18.44,21.66,38.51,-177.53,37.31,-,-,7.04,10.74,14.53,20.36,53.90,46.81,78.31,-,-,-,-,-
11,EV/Sales Ratio,4.94,4.63,7.07,6.80,7.54,6.31,4.48,3.73,3.15,2.70,2.78,3.75,7.03,11.63,10.02,16.15,-,-,-,-,-
12,EV/EBITDA Ratio,20.11,18.51,30.95,29.46,39.24,34.44,20.88,14.10,13.39,8.52,8.49,12.49,19.07,47.13,35.49,57.84,-,-,-,-,-
13,EV/EBIT Ratio,32.03,30.01,55.22,49.59,76.04,-,29.57,17.50,16.02,9.37,9.35,14.01,21.24,64.96,45.69,74.76,-,-,-,-,-
14,EV/FCF Ratio,-,-,203.42,-,-,-17.60,-,-,-,10.55,23.28,-,32.45,-,-,-682.66,-,-,-,-,-
15,Debt / Equity Ratio,0.33,0.33,0.33,0.28,0.23,0.22,0.27,0.28,0.19,0.19,0.15,0.24,0.16,0.15,0.15,0.22,0.41,0.41,-,-,0.49
16,Debt / EBITDA Ratio,1.73,2.00,1.79,1.10,1.29,2.55,1.25,2.32,0.84,0.66,0.26,1.03,0.13,1.22,0.57,0.94,1.16,0.97,-,-,0.89
17,Debt / FCF Ratio,-,-,12.81,-,-,-0.76,-,-,-,0.47,0.85,-,0.66,-,-,-11.36,-,3.40,-,-,42.62
18,Asset Turnover,-,0.43,0.54,0.45,0.54,0.51,0.45,0.66,0.89,0.94,1.21,2.09,0.63,0.63,-,-,-,-,-,-,
19,Inventory Turnover,-,-,0.91,1.20,1.00,1.46,0.95,1.39,2.54,3.95,1.92,3.91,4.22,1.73,1.33,-,-,-,-,-,-
20,Quick Ratio,-,-,1.15,1.32,1.41,1.39,1.31,1.40,1.22,1.20,1.34,1.09,1.37,1.51,1.67,1.74,-,0.87,-,-,-
21,Current Ratio,-,-,2.03,2.05,2.33,2.20,2.16,2.17,2.02,1.63,2.08,1.78,2.16,2.30,2.65,2.53,-,1.52,-,-,-
22,Return on Equity (ROE),16.75%,5.81%,15.48%,8.73%,5.92%,21.49%,7.55%,10.93%,21.21%,44.35%,29.22%,114.54%,12.71%,18.26%,20.15%,19.32%,-,-,-,-,
23,Return on Assets (ROA),-,4.46%,6.76%,4.41%,-0.24%,6.44%,1.52%,6.43%,9.40%,23.10%,6.77%,57.53%,2.84%,10.31%,-,-,-,-,-,-,
24,Return on Capital (ROIC),4.38%,5.40%,8.29%,5.40%,-0.29%,7.77%,1.87%,8.67%,12.92%,30.12%,8.90%,73.51%,3.39%,11.88%,10.24%,11.66%,-,-,-,-,
25,Return on Capital Employed (ROCE),-,-,7.61%,8.64%,5.89%,-,12.56%,21.13%,23.20%,42.76%,41.24%,36.28%,35.31%,12.97%,16.81%,16.86%,-,32.78%,-,-,-
26,Earnings Yield,3.13%,3.35%,2.13%,2.91%,2.46%,2.73%,3.90%,4.65%,5.43%,9.08%,9.21%,6.59%,4.10%,1.46%,1.83%,1.10%,-,-,-,-,-
27,FCF Yield,-,0.49%,-0.27%,-2.45%,-5.66%,-3.06%,-2.04%,0.62%,9.14%,4.11%,3.21%,3.03%,-0.81%,-0.38%,-0.15%,-,-,-,-,-,
28,Dividend Yield,1.62%,-,-,-,-,1.21%,-,-,-,2.37%,-,-,-,1.22%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,354.28%,1.57%,1.67%,45.18%,0.81%,412.62%,1.17%,0.75%,0.98%,106.50%,0.31%,4.38%,3.29%,6.69%,8.31%,4.15%,52.63%,8.15%,8.15%
30,Buyback Yield / Dilution,0.60%,5.11%,0.91%,-9.28%,5.17%,-1.22%,-2.62%,3.12%,-2.12%,-3.81%,-0.37%,-10.76%,-7.72%,-9.25%,-7.86%,-2.17%,-4.77%,-,-,-,-
31,Total Shareholder Return,2.21%,5.11%,0.91%,-9.28%,5.17%,-0.01%,-2.62%,3.12%,-2.12%,-1.43%,-0.37%,-10.76%,-7.72%,-8.04%,-7.86%,-2.17%,-4.77%,-,-,-,-
