,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2018,Q1 2018,+16 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018",+16 Quarters
0,Cash & Equivalents,409536,405862,375341,-,264620,326975,370635,277242,362019,-,233777,-,194941,180311,-,-,238709,-,128095,223702,Upgrade
1,Short-Term Investments,57081,56000,40071,-,25000,5000,5000,12000,10000,-,35000,-,25000,50000,-,-,-,-,40000,50000,Upgrade
2,Cash & Short-Term Investments,466616,461862,415412,289620,289620,331975,375635,289242,372019,-,268777,-,219941,230311,-,238709,238709,-,168095,273702,Upgrade
3,Cash Growth,61.11%,39.13%,10.59%,0.13%,-22.15%,-,39.76%,-,69.14%,-,-,-,-7.86%,-,-,-12.79%,11.48%,-,-34.98%,65.89%,Upgrade
4,Accounts Receivable,1014817,1002482,1473641,-,420896,643512,459932,411125,677374,-,118626,-,236899,612329,-,-,572826,-,461452,729246,Upgrade
5,Other Receivables,32400,45260,42474,-,82006,95381,147341,113344,56878,-,65151,-,130602,136919,-,-,111450,-,43991,143501,Upgrade
6,Receivables,1047217,1047742,1516115,-,502901,738893,607274,524469,734252,-,183777,-,367501,749248,-,-,684275,-,505443,872747,Upgrade
7,Inventory,2825675,2928767,2896091,-,2298458,2934995,3628051,3959507,2833481,-,4370810,-,3926934,2918892,-,-,1625565,-,1602806,1147303,Upgrade
8,Prepaid Expenses,65712,22760,127920,-,125343,137212,144384,173620,162264,-,246282,-,269763,148645,-,-,183536,-,48861,57566,Upgrade
9,Other Current Assets,102331,81955,53357,-,182655,136843,96695,179662,74994,-,186987,-,258480,207857,-,-,225621,-,168936,77213,Upgrade
10,Total Current Assets,4507552,4543086,5008895,-,3398977,4279918,4852038,5126500,4177010,-,5256634,-,5042619,4254953,-,-,2957706,-,2494140,2428530,Upgrade
11,"Property, Plant & Equipment",4322581,4626735,4799643,-,5232226,5755409,5772046,5679567,5723941,-,5349830,-,5589402,5409681,-,-,5131990,-,4379673,4201553,Upgrade
12,Long-Term Investments,46173,46173,44944,-,44799,42224,42224,42224,42224,-,42224,-,42224,42224,-,-,42329,-,49347,49347,Upgrade
13,Goodwill,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2759,3764,Upgrade
14,Other Intangible Assets,9866,10078,10375,-,11425,11300,11754,12208,12662,-,13294,-,14160,14601,-,-,16770,-,11992,13084,Upgrade
15,Long-Term Deferred Tax Assets,16261,1285,1336,-,1439,1491,1542,1593,1645,-,1902,-,2004,2056,-,-,153.88,-,2570,-,Upgrade
16,Other Long-Term Assets,648628,649573,617391,-,643476,594394,650607,591840,490220,-,399331,-,540587,414908,-,-,422321,-,567132,619826,Upgrade
17,Total Assets,9551060,9876929,10482585,-,9332343,10684736,11330212,11453932,10447702,-,11063214,-,11230997,10138422,-,-,8571269,-,7507612,7316103,Upgrade
18,Accounts Payable,1100009,991142,896514,-,997992,1302583,1477623,1848421,1930611,-,1440819,-,2130823,1278438,-,-,906725,-,704774,676986,Upgrade
19,Accrued Expenses,443057,989053,968025,-,386488,775178,859559,712612,345358,-,605860,-,290352,292224,-,-,234080,-,245412,307541,Upgrade
20,Short-Term Debt,1591508,1937130,2363744,-,1875551,1921910,1927984,2213851,1984013,-,1640709,-,2349327,1739100,-,-,1698887,-,1164312,989076,Upgrade
21,Current Portion of Long-Term Debt,595021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
22,Current Income Taxes Payable,434736,457396,507740,-,225971,265865,273486,361484,362786,-,466449,-,342461,405391,-,-,269656,-,177219,164048,Upgrade
23,Current Unearned Revenue,626.81,412.65,756.71,-,1115,665.5,687.13,1093,974.13,-,297.69,-,497.01,172.88,-,-,571.82,-,343.74,16009,Upgrade
24,Other Current Liabilities,143596,309681,409878,-,399512,480144,734054,331895,130184,-,1504067,-,704713,940108,-,-,578815,-,225103,448033,Upgrade
25,Total Current Liabilities,4308553,4684813,5146658,-,3886629,4746346,5273393,5469356,4753927,-,5658201,-,5818173,4655433,-,-,3688735,-,2517164,2601693,Upgrade
26,Long-Term Debt,1242263,1522106,1531613,-,2171252,2125669,2118928,2038580,2187629,-,2196682,-,1824460,2238173,-,-,2123822,-,2385355,2246333,Upgrade
27,Long-Term Unearned Revenue,372.73,720.03,720.03,-,238.21,851.12,851.12,701.45,649.91,-,507.27,-,507.27,919.39,-,-,919.39,-,1083,973.25,Upgrade
28,Other Long-Term Liabilities,51264,103346,504003,-,366294,939470,1104621,750313,540459,-,41625,-,403535,308100,-,-,296581,-,16078,17734,Upgrade
29,Total Liabilities,5602453,6310985,7182994,-,6424413,7812336,8497793,8258951,7482665,-,7897014,-,8046676,7202626,-,-,6110057,-,4919680,4866734,Upgrade
30,Common Stock,2000000,2000000,2000000,-,2000000,2000000,2000000,2000000,2000000,-,2000000,-,2000000,2000000,-,-,2000000,-,2000000,2000000,Upgrade
31,Retained Earnings,1512608,1090553,798702,-,400004,374806,335012,648052,448644,-,640283,-,705071,475441,-,-,163175,-,183576,82551,Upgrade
32,Comprehensive Income & Other,-11778,-11572,-11026,-,-9413,-7522,-7776,-5757,-7480,-,-4501,-,-3477,-1413,-,-,-1789,-,17137,19784,Upgrade
