,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,51.03,77.82,62.32,125.51,52.47,59.64,43.87,82.6,57.81,74.77,32.78
1,Other Revenue,-0.02,0.02,-,0.07,-0.05,0.05,-,0.06,-,-,-
2,Revenue,51.01,77.84,62.32,125.58,52.42,59.68,43.87,82.66,57.81,74.77,32.78
3,Revenue Growth (YoY),-2.70%,30.42%,42.03%,51.93%,-9.31%,-20.18%,33.83%,-,-,-,-
4,Cost of Revenue,32.44,58.34,40.24,70.13,35.93,42.26,25.51,39.46,33.04,42.64,20.17
5,Gross Profit,18.57,19.5,22.08,55.45,16.49,17.43,18.36,43.19,24.76,32.13,12.61
6,"Selling, General & Admin",9.06,8.48,11.56,16.18,10.62,10.49,9.93,10.13,8.69,7.68,6.96
7,Research & Development,6.38,6.16,6.46,7.41,6.05,5.05,4.33,4.76,4.13,3.67,3.12
8,Other Operating Expenses,-2.31,-0.83,-0.57,-3.18,-0.19,-1.46,-0.09,1.68,-1.52,-4.3,-0.37
9,Operating Expenses,13.58,16.01,14.95,37.69,15.83,16.69,13.63,17.86,16.27,12.37,7.97
10,Operating Income,4.99,3.49,7.12,17.76,0.67,0.73,4.73,25.34,8.49,19.75,4.64
11,Interest Expense,-,-0.09,-0.3,-0.54,-0.29,-0.51,-0.64,-0.2,-0.12,-0.1,-0.06
12,Interest & Investment Income,4.12,3.18,4.39,2.95,5.72,4.86,1.02,-,0.23,0.29,0.3
13,Currency Exchange Gain (Loss),-0.16,0.16,-,0.47,-0.99,0.99,-,2.37,-1.1,1.1,-
14,Other Non Operating Income (Expenses),-0.78,0.2,-0.04,0.23,2.68,1.78,-0.45,-5.08,2.72,1.04,-0.15
15,EBT Excluding Unusual Items,8.17,6.95,11.18,20.88,7.79,7.85,4.66,22.43,10.22,22.08,4.73
16,Gain (Loss) on Sale of Assets,-,0,-0.31,-0.78,-,0.78,-,-0,0,0,-
17,Asset Writedown,-2.53,0.93,-0.93,0.44,-0.46,0.01,-0.01,0.47,-0.47,-0.02,0.02
18,Other Unusual Items,-0.94,0.94,0,0.19,0.2,-0.2,-,5.54,-,-,-
19,Pretax Income,4.69,8.83,9.93,20.74,7.53,8.43,4.65,28.44,9.75,22.06,4.75
20,Income Tax Expense,0.17,0.72,0.69,2.41,0.54,0.42,0.17,3.83,0.82,2.89,0.34
21,Net Income,4.52,8.11,9.25,18.32,6.99,8.01,4.48,24.61,8.94,19.17,4.41
22,Net Income to Common,4.52,8.11,9.25,18.32,6.99,8.01,4.48,24.61,8.94,19.17,4.41
23,Net Income Growth,-35.29%,1.26%,106.20%,-25.55%,-21.78%,-58.21%,1.59%,-,-,-,-
24,Shares Outstanding (Basic),60,58,62,61,60,60,45,45,45,46,44
25,Shares Outstanding (Diluted),60,58,62,61,60,60,45,45,45,46,44
26,Shares Change (YoY),-0.07%,-2.99%,37.47%,35.08%,33.41%,31.13%,1.59%,-,-,-,-
27,EPS (Basic),0.08,0.14,0.15,0.30,0.12,0.13,0.10,0.55,0.20,0.42,0.10
28,EPS (Diluted),0.08,0.14,0.15,0.30,0.12,0.13,0.10,0.55,0.20,0.42,0.10
29,EPS Growth,-35.24%,4.38%,50.00%,-44.88%,-41.37%,-68.13%,0%,-,-,-,-
30,Free Cash Flow,12.25,9.44,-26.19,-14.75,-29.7,-7.66,-65.02,-4.2,-6.66,7.3,0.53
31,Free Cash Flow Per Share,0.20,0.16,-0.42,-0.24,-0.49,-0.13,-1.45,-0.09,-0.15,0.16,0.01
32,Dividend Per Share,-,-,-,0.150,-,-,-,0.200,-,-,-
33,Dividend Growth,-,-,-,-25.00%,-,-,-,-,-,-,-
34,Gross Margin,36.40%,25.05%,35.43%,44.16%,31.46%,29.20%,41.85%,52.26%,42.84%,42.97%,38.47%
35,Operating Margin,9.78%,4.49%,11.43%,14.14%,1.28%,1.23%,10.78%,30.65%,14.69%,26.42%,14.17%
36,Profit Margin,8.87%,10.42%,14.84%,14.59%,13.33%,13.42%,10.22%,29.77%,15.46%,25.64%,13.46%
37,Free Cash Flow Margin,24.02%,12.13%,-42.02%,-11.74%,-56.66%,-12.83%,-148.19%,-5.08%,-11.52%,9.77%,1.63%
38,EBITDA,6.33,5.07,8.47,19.1,1.65,2,5.71,26.32,9.27,20.71,5.42
39,EBITDA Margin,12.41%,6.51%,13.59%,15.21%,3.15%,3.36%,13.02%,31.84%,16.03%,27.70%,16.54%
40,D&A For EBITDA,1.34,1.57,1.34,1.34,0.98,1.27,0.98,0.98,0.78,0.96,0.78
41,EBIT,4.99,3.49,7.12,17.76,0.67,0.73,4.73,25.34,8.49,19.75,4.64
42,EBIT Margin,9.78%,4.49%,11.43%,14.14%,1.28%,1.23%,10.78%,30.65%,14.69%,26.42%,14.17%
43,Effective Tax Rate,3.61%,8.11%,6.92%,11.64%,7.17%,5.00%,3.60%,13.47%,8.36%,13.12%,7.12%
44,Revenue as Reported,51.01,77.84,62.32,125.58,52.42,59.68,43.87,82.66,57.81,74.77,32.78
