,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,3602,2196,1956,2146,2568,2943,3362,3904,-,-,-,-
1,Market Cap Growth,-25.38%,-25.38%,-41.83%,-45.04%,-,-,-,-,-,-,-,-
2,Enterprise Value,2904,1512,1276,1425,1848,2202,2597,3829,-,-,-,-
3,Last Close Price,60.04,36.60,32.60,35.61,42.62,48.85,55.81,64.55,-,-,-,-
4,PE Ratio,89.86,54.62,45.84,50.40,67.92,66.74,73.03,68.25,-,-,-,-
5,PS Ratio,11.40,6.93,6.15,7.15,9.12,12.33,13.78,15.07,-,-,-,-
6,PB Ratio,3.36,2.05,1.83,2.01,2.42,2.82,3.25,3.76,-,-,-,-
7,P/TBV Ratio,2.05,2.05,1.83,2.01,2.42,2.83,3.25,3.76,-,-,-,-
8,P/FCF Ratio,-,-114.12,-31.96,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-166.08,-37.39,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,9.17,4.77,4.01,4.75,6.56,9.23,10.64,14.78,-,-,-,-
11,EV/EBITDA Ratio,72.46,38.81,37.23,45.65,64.90,61.71,59.96,61.74,-,-,-,-
12,EV/EBIT Ratio,90.82,45.33,43.94,54.23,77.34,69.99,66.09,65.66,-,-,-,-
13,EV/FCF Ratio,-150.92,-78.59,-20.86,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.01,0.01,0.04,0.03,0.03,0.05,0.03,-,0.03,0.03
15,Debt / EBITDA Ratio,0.11,0.18,0.25,0.29,0.47,5.18,3.14,2.09,0.07,-,0.08,0.27
16,Debt / FCF Ratio,-,-0.24,-0.10,-,-,-,-,-,-,-,0.91,10.87
17,Asset Turnover,0.17,0.26,0.20,0.41,0.17,0.20,0.22,-,-,-,-,
18,Inventory Turnover,1.80,1.18,2.08,1.49,2.67,1.51,2.41,1.73,-,-,-,-
19,Quick Ratio,8.64,8.64,8.21,7.18,6.34,7.12,8.43,8.52,2.43,-,3.09,-
20,Current Ratio,9.72,9.72,9.11,8.12,7.01,7.99,9.12,9.04,2.89,-,3.52,-
21,Return on Equity (ROE),1.69%,3.03%,3.47%,6.97%,2.69%,3.09%,2.71%,-,-,32.05%,-,
22,Return on Assets (ROA),1.04%,0.72%,1.44%,3.58%,0.14%,0.15%,1.47%,-,-,-,-,
23,Return on Capital (ROIC),1.16%,0.81%,1.63%,4.08%,0.16%,0.17%,1.71%,-,-,20.10%,-,
24,Return on Capital Employed (ROCE),2.97%,3.09%,2.70%,2.45%,2.19%,2.93%,3.68%,5.46%,20.09%,-,9.46%,-
25,Earnings Yield,1.12%,1.83%,2.18%,1.98%,1.47%,1.50%,1.37%,1.47%,-,-,-,-
26,FCF Yield,-0.53%,-0.88%,-3.13%,-3.65%,-4.56%,-3.62%,-2.48%,-1.76%,-,-,-,-
27,Dividend Yield,0.24%,-,-,-,0.35%,-,-,-,-,-,-,-
28,Payout Ratio,24.16%,0.07%,110.97%,3.73%,2.00%,5.34%,155.45%,12.82%,-,-,-,-
29,Buyback Yield / Dilution,-14.63%,0.07%,2.99%,-37.47%,-35.08%,-33.41%,-31.13%,-1.59%,-,-,-,-
30,Total Shareholder Return,-14.39%,0.07%,2.99%,-37.47%,-34.73%,-33.41%,-31.13%,-1.59%,-,-,-,-
