,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,189.39,165.87,380.72,371.15,300.01,474.16,800.34,51.52,-,44.62,-
1,Trading Asset Securities,513.49,523.94,308.82,373.7,454.53,301.17,13.34,24.16,-,41.06,-
2,Cash & Short-Term Investments,702.88,689.81,689.54,744.85,754.53,775.33,813.69,75.68,-,85.68,92.11
3,Cash Growth,-6.85%,-11.03%,-15.26%,884.21%,-,804.95%,783.40%,-,-,-,-
4,Accounts Receivable,285.38,302.32,310.04,314.85,254.54,242.99,230.87,218.47,-,178.95,-
5,Other Receivables,5.84,17.71,5.15,6.11,5.68,10.48,11.94,16.47,-,9.45,-
6,Receivables,291.23,320.03,315.19,320.96,260.21,253.47,242.81,234.94,-,188.4,-
7,Inventory,110.51,109.1,115.74,99.81,110.06,80.7,59.82,58.42,-,37.34,-
8,Other Current Assets,13.9,1.76,15.38,12.36,15.03,3.4,5.34,1,-,0.48,-
9,Total Current Assets,1119,1121,1136,1178,1140,1113,1122,370.04,-,311.9,-
10,"Property, Plant & Equipment",61.73,63.44,63.18,66.6,67.63,67.79,63.2,24.94,-,27.6,-
11,Long-Term Investments,2,2,2,2,-,-,-,-,-,-,-
12,Other Intangible Assets,0.91,0.86,0.89,0.97,1.05,1.09,1.22,1.35,-,0.74,-
13,Long-Term Deferred Tax Assets,7.29,7.15,6.8,7.12,4.9,4.6,3.8,3.84,-,2.92,-
14,Long-Term Deferred Charges,2.86,3.13,3.44,3.75,3.9,3.27,2.68,2.96,-,3.43,-
15,Other Long-Term Assets,0.1,0.16,1.64,1.61,-,0.56,-,14.65,-,-,-
16,Total Assets,1193,1197,1214,1260,1217,1190,1193,417.78,-,346.59,-
17,Accounts Payable,92.83,103.17,121.14,140.01,128.52,109.84,86.67,94.55,-,63.2,-
18,Accrued Expenses,6.81,7.25,6.4,10.03,4.84,4.58,4.88,18.03,-,13.86,-
19,Short-Term Debt,2.34,3.85,6.72,6.72,-,-,19,-,-,1,-
20,Current Portion of Long-Term Debt,-,-,1.94,2.64,-,3.24,-,-,-,-,-
21,Current Portion of Leases,1.57,1.55,-,1.82,5.02,1.76,-,4.72,-,-,-
22,Current Income Taxes Payable,1.17,0.05,1.09,3.71,1.01,0.7,3.14,9.24,-,5.88,-
23,Current Unearned Revenue,8.11,5.44,2.23,2.45,2.56,1.05,1.07,0.86,-,0.64,-
24,Other Current Liabilities,2.2,1.66,0.33,0.68,0.62,0.9,9.26,0.63,-,4.1,-
25,Total Current Liabilities,115.03,122.97,139.85,168.06,142.59,122.08,124.01,128.03,-,88.68,-
26,Long-Term Debt,-,-,-,26.93,26.96,27.58,28.19,-,-,-,-
27,Long-Term Leases,0.65,0.65,1.2,1.28,2.23,2.2,0.64,4.15,-,6.12,-
28,Long-Term Unearned Revenue,1.74,1.92,2.12,2.33,2.55,2.79,-,-,-,-,-
29,Long-Term Deferred Tax Liabilities,0.26,0.38,0.35,0.55,1.14,0.67,0.65,0.77,-,0.52,-
30,Other Long-Term Liabilities,2.74,3.07,0.93,0.79,0.08,0.09,0.23,0.42,-,0.24,-
31,Total Liabilities,120.43,128.99,144.46,199.94,175.54,155.41,153.72,133.38,-,95.56,-
32,Common Stock,60,60,60,60,60,60,60,45,-,45,-
33,Additional Paid-In Capital,820.33,820.33,820.33,820.33,820.33,820.33,820.33,85.48,-,85.48,-
34,Retained Earnings,192.58,188.06,188.94,179.7,161.38,154.39,158.44,153.89,-,120.54,-
35,Comprehensive Income & Other,0.08,0.07,0.07,0.07,0.07,0.08,0.06,0.03,-,0,-
36,Shareholders' Equity,1073,1068,1069,1060,1042,1035,1039,284.41,-,251.03,227.41
37,Total Liabilities & Equity,1193,1197,1214,1260,1217,1190,1193,417.78,-,346.59,-
38,Total Debt,4.57,6.05,9.86,39.39,34.21,34.78,47.83,8.87,-,7.12,5.81
39,Net Cash (Debt),698.31,683.77,679.68,705.46,720.33,740.55,765.86,66.81,-,78.55,86.29
40,Net Cash Growth,-3.06%,-7.67%,-11.25%,955.93%,-,842.72%,787.50%,-,-,-,-
41,Net Cash Per Share,11.64,11.72,11.03,11.62,12.00,12.31,17.08,1.49,-,1.71,1.96
42,Filing Date Shares Outstanding,60,60,60,60,60,60,60,60,45,45,44.14
43,Total Common Shares Outstanding,60,60,60,60,60,60,60,45,45,45,44.14
44,Working Capital,1003,997.74,996,1010,997.26,990.82,997.64,242.01,-,223.22,-
45,Book Value Per Share,17.88,17.81,17.82,17.67,17.36,17.25,17.31,6.32,-,5.58,5.05
46,Tangible Book Value,1072,1068,1068,1059,1041,1034,1038,283.06,-,250.29,226.49
47,Tangible Book Value Per Share,17.87,17.79,17.81,17.65,17.35,17.23,17.29,6.29,-,5.56,5.03
48,Buildings,-,44.94,-,44.94,-,45.72,-,-,-,-,-
49,Machinery,-,32.91,-,32.23,-,28.47,-,22.42,-,21.17,-
50,Construction In Progress,-,-,-,0,-,0.3,-,2.14,-,2.36,-
