,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q2 2017,Q1 2017,Q2 2016,Q1 2016
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016"
0,Cash & Equivalents,350.2,379.68,498.96,459.29,396.55,516.54,590.54,269.32,-,179,-,198.39,198.39,90.98,90.98,22.14,22.14,-,-
1,Short-Term Investments,-,65,-,-,-,-,-,60,-,80,-,-,-,-,-,23,23,-,-
2,Trading Asset Securities,281.05,230.86,257.94,265.77,570,490,530,-,-,50,-,-,-,105,105,-,-,-,-
3,Cash & Short-Term Investments,631.26,675.53,756.89,725.06,966.55,1007,1121,329.32,-,309,301.6,198.39,198.39,195.98,195.98,45.14,45.14,-,28.95
4,Cash Growth,-34.69%,-32.89%,-32.45%,120.17%,-,225.75%,271.53%,65.99%,-,57.67%,53.90%,339.48%,339.48%,-,576.83%,-,-,-,-
5,Accounts Receivable,133.15,133.56,123.41,127.42,126.92,123.42,108.11,107.74,-,107.7,-,109.01,109.01,82.14,82.14,54.17,54.17,-,-
6,Other Receivables,3.11,3.07,2.48,3.22,2.75,3.77,3.21,1.75,-,1.19,-,0.36,0.36,0.21,0.21,1.15,1.15,-,-
7,Receivables,136.26,136.64,125.89,130.64,129.66,127.19,111.32,109.48,-,108.89,-,109.36,109.36,82.35,82.35,55.33,55.33,-,-
8,Inventory,34.54,35.99,31.55,32.94,30.34,40.96,46.79,44.25,-,41.55,-,28.51,28.51,33.74,33.74,33.15,33.15,-,-
9,Other Current Assets,349.37,289.75,236.31,279.54,22.78,18.71,15.64,11.26,-,9.6,-,4.51,4.51,6.8,6.8,7.54,7.54,-,-
10,Total Current Assets,1151,1138,1151,1168,1149,1193,1294,494.31,-,469.03,-,340.77,340.77,318.87,318.87,141.15,141.15,-,-
11,"Property, Plant & Equipment",379.42,345.12,330.35,301.07,243.62,199.3,133.8,110.23,-,75.68,-,61.02,61.02,61.7,61.7,45.94,45.94,-,-
12,Long-Term Investments,103.97,82.79,146.27,145.45,120,120,65,65,-,65,-,50,50,30,30,-,-,-,-
13,Goodwill,0.36,0.36,0.36,0.36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Other Intangible Assets,41.67,42.99,38.29,38.48,38.7,38.92,39.14,39.36,-,39.33,-,21.39,21.39,21.62,21.62,3.46,3.46,-,-
15,Long-Term Deferred Tax Assets,1.86,1.82,1.49,1.6,1.39,1.4,1.14,1.38,-,1.45,-,1.65,1.65,1.43,1.43,1.93,1.93,-,-
16,Long-Term Deferred Charges,0.89,0.88,0.95,1.03,0.27,0.3,0.34,0.38,-,0.45,-,3.7,3.7,-,-,-,-,-,-
17,Other Long-Term Assets,20.19,25.93,24.38,32.66,8.57,6.4,16.72,10.63,-,9.02,-,19.81,19.81,1.34,1.34,2.08,2.08,-,-
18,Total Assets,1700,1638,1693,1689,1562,1560,1550,721.29,-,659.97,-,498.35,498.35,434.96,434.96,194.57,194.57,-,-
19,Accounts Payable,89.35,67.73,70.58,89.2,59.81,67.01,56.23,54.2,-,49.64,-,21.69,21.69,23.84,23.84,26.39,26.39,-,-
20,Accrued Expenses,7.59,8.04,5.2,12.9,7.77,8.14,3.71,19.12,-,14.12,-,15.58,15.58,8.44,8.44,4.38,4.38,-,-
21,Short-Term Debt,-,-,50,50,1.14,3.69,0.35,2.91,-,-,-,-,-,-,-,16.78,16.78,-,-
22,Current Portion of Leases,3.04,3.23,2.67,3.46,1.8,1.99,1.99,1.96,-,1.64,-,-,-,-,-,-,-,-,-
23,Current Income Taxes Payable,10.68,7.95,13.33,10.2,14.46,6.64,13,9.94,-,9.04,-,9.45,9.45,4.72,4.72,2.53,2.53,-,-
24,Current Unearned Revenue,6.54,0.9,0.81,2.72,3.29,1.09,0.93,4.01,-,2.75,-,0.74,0.74,1.76,1.76,-,-,-,-
25,Other Current Liabilities,1.54,2.54,1.14,0.65,1.45,1.34,0.88,0.89,-,0.59,-,2.44,2.44,0.62,0.62,1.09,1.09,-,-
26,Total Current Liabilities,118.74,90.38,143.74,169.14,89.71,89.91,77.08,93.03,-,77.79,-,49.9,49.9,39.38,39.38,51.18,51.18,-,-
27,Long-Term Leases,13.21,13.87,14.6,14.84,3.95,3.98,4.48,4.98,-,5.44,-,-,-,-,-,-,-,-,-
28,Long-Term Unearned Revenue,4.16,4.25,4.31,4.49,4.65,4.83,4.89,5.06,-,5.39,-,6.37,6.37,6.72,6.72,4.44,4.44,-,-
29,Long-Term Deferred Tax Liabilities,2.28,2.19,2.12,1.97,0.46,0.44,0.45,0.47,-,-,-,-,-,-,-,-,-,-,-
30,Total Liabilities,138.39,110.7,164.77,190.43,98.76,99.15,86.89,103.54,-,88.62,-,56.27,56.27,46.1,46.1,55.62,55.62,-,-
31,Common Stock,108.47,108.47,108.47,108.47,108.47,108.47,108.47,81.35,-,81.35,-,81.35,81.35,81.35,81.35,70,70,-,-
32,Additional Paid-In Capital,917.4,917.4,917.4,917.4,917.4,917.4,917.4,123.79,-,123.79,-,104.65,104.65,104.65,104.65,20.42,20.42,-,-
33,Retained Earnings,534.77,500.52,501.41,471.88,436.63,434.1,437.11,412.09,-,365.73,-,253.55,253.55,200.76,200.76,47.38,47.38,-,-
34,Total Common Equity,1561,1526,1527,1498,1463,1460,1463,617.23,-,570.87,526.24,439.56,439.56,386.76,386.76,137.8,137.8,-,79.3
35,Minority Interest,0.75,0.72,0.69,0.64,0.62,0.58,0.56,0.52,-,0.47,-,2.52,2.52,2.1,2.1,1.15,1.15,-,-
36,Shareholders' Equity,1561,1527,1528,1498,1463,1461,1464,617.75,-,571.34,526.68,442.08,442.08,388.86,388.86,138.95,138.95,-,82.79
37,Total Liabilities & Equity,1700,1638,1693,1689,1562,1560,1550,721.29,-,659.97,-,498.35,498.35,434.96,434.96,194.57,194.57,-,-
38,Total Debt,16.25,17.1,67.27,68.29,6.88,9.66,6.81,9.85,-,7.08,7.32,-,-,-,-,16.78,16.78,-,15
39,Net Cash (Debt),615.01,658.44,689.62,656.76,959.67,996.88,1114,319.47,-,301.91,294.28,198.39,198.39,195.98,195.98,28.36,28.36,-,13.95
40,Net Cash Growth,-35.91%,-33.95%,-38.08%,105.58%,-,230.19%,278.45%,61.03%,-,54.06%,50.16%,599.50%,599.50%,-,1304.34%,-,-,-,-
41,Net Cash Per Share,5.76,6.03,6.30,5.75,8.67,9.14,12.46,3.95,-,3.68,3.64,2.44,2.44,2.41,2.41,0.40,0.40,-,0.21
42,Filing Date Shares Outstanding,108.47,108.47,108.47,108.47,108.47,108.47,108.47,81.35,81.43,81.35,80.77,81.35,81.35,81.35,81.35,70,70,66.08,66.08
43,Total Common Shares Outstanding,108.47,108.47,108.47,108.47,108.47,108.47,108.47,81.35,81.43,81.35,80.77,81.35,81.35,81.35,81.35,70,70,66.08,66.08
44,Working Capital,1033,1048,1007,999.04,1060,1103,1217,401.28,-,391.24,-,290.88,290.88,279.49,279.49,89.98,89.98,-,-
45,Book Value Per Share,14.39,14.07,14.08,13.81,13.48,13.46,13.49,7.59,-,7.02,6.47,5.40,5.40,4.75,4.75,1.97,1.97,-,1.26
46,Tangible Book Value,1519,1483,1489,1459,1424,1421,1424,577.87,-,531.54,486.49,418.17,418.17,365.14,365.14,134.34,134.34,-,75.9
47,Tangible Book Value Per Share,14.00,13.67,13.72,13.45,13.13,13.10,13.13,7.10,-,6.53,5.98,5.14,5.14,4.49,4.49,1.92,1.92,-,1.20
48,Buildings,-,138.86,-,43.7,-,43.08,-,42.88,-,43.02,-,41.1,41.1,41.16,41.16,26.95,26.95,-,-
49,Machinery,-,125.12,-,101.13,-,89.34,-,88.53,-,87.61,-,78.14,78.14,76.81,76.81,53.24,53.24,-,-
50,Construction In Progress,-,151.14,-,217.25,-,133.91,-,43.81,-,10.5,-,0.68,0.68,0.17,0.17,1.81,1.81,-,-
