,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q2 2017,Q1 2017,Q2 2016,Q1 2016
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016"
0,Operating Revenue,128.29,115.6,101.15,114.37,136.44,115.63,99.12,105.44,103.89,102.9,88.49,107.12,107.12,67.83,67.83,60.06,60.06,47.96,47.96
1,Other Revenue,-0.06,0.06,-,0.35,-0.27,0.27,-,0.52,-0.27,0.27,-,0.11,0.11,0.03,0.03,-,-,-,-
2,Revenue,128.23,115.66,101.15,114.71,136.17,115.9,99.12,105.96,103.62,103.17,88.49,107.23,107.23,67.86,67.86,60.06,60.06,47.96,47.96
3,Revenue Growth (YoY),-5.83%,-0.21%,2.05%,8.26%,31.41%,12.34%,12.01%,-1.19%,-3.37%,52.03%,30.40%,78.53%,78.53%,41.50%,41.50%,-,-,-,-
4,Cost of Revenue,71.03,66.16,53.27,62.96,79.77,71.9,59.9,66.12,63.63,64.62,55.23,72.63,72.63,37.48,37.48,34.65,34.65,27.68,27.68
5,Gross Profit,57.2,49.49,47.89,51.75,56.4,43.99,39.22,39.84,39.99,38.55,33.26,34.61,34.61,30.38,30.38,25.42,25.42,20.28,20.28
6,"Selling, General & Admin",12.52,11.93,10.92,12.31,11.34,11.5,10.55,11.1,9.84,9.21,7.07,1.9,1.9,12.21,12.21,13.1,13.1,11.09,11.09
7,Research & Development,6.43,6.2,7.09,8.83,6.92,4.26,4.07,5.32,3.32,3.37,3.69,3.05,3.05,1.94,1.94,-,-,-,-
8,Other Operating Expenses,0.89,0.77,0.02,-0.44,0.29,0.67,0.32,4.27,0.52,-1.66,0.05,0.88,0.88,0.59,0.59,0.71,0.71,0.56,0.56
