,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q2 2017,Q1 2017,Q2 2016,Q1 2016
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016"
0,Market Capitalization,3227,2750,2473,2777,3216,3270,3513,3800,-,-,-,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-15.92%,-15.92%,-29.61%,-26.92%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2613,2092,1784,1818,2257,2274,2400,3498,-,-,-,-,-,-,-,-,-,-,-,-
3,Last Close Price,29.75,25.35,22.80,25.29,29.30,29.79,31.69,33.95,-,-,-,-,-,-,-,-,-,-,-,-
4,PE Ratio,25.02,21.04,18.81,21.46,25.76,29.13,34.81,39.32,-,-,-,-,-,-,-,-,-,-,-,-
5,Forward PE,24.19,20.61,15.72,17.33,21.56,23.83,27.45,30.26,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,7.11,5.98,5.29,5.93,6.90,7.15,8.27,9.23,-,-,-,-,-,-,-,-,-,-,-,-
7,PB Ratio,2.07,1.76,1.62,1.82,2.15,2.24,2.41,2.60,-,-,-,-,-,-,-,-,-,-,-,-
8,P/TBV Ratio,1.81,1.81,1.67,1.87,2.20,2.30,2.47,2.67,-,-,-,-,-,-,-,-,-,-,-,-
9,P/FCF Ratio,2126.31,1811.83,-,-,-,-46.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,18.85,18.85,18.53,22.51,30.91,42.96,64.97,49.49,-,-,-,-,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,5.68,4.55,3.81,3.88,4.84,4.97,5.65,8.49,-,-,-,-,-,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,18.58,14.92,12.73,13.40,17.32,19.34,22.58,32.52,-,-,-,-,-,-,-,-,-,-,-,-
13,EV/EBIT Ratio,20.49,16.24,13.87,14.43,18.72,21.09,24.85,35.79,-,-,-,-,-,-,-,-,-,-,-,-
14,EV/FCF Ratio,1721.58,1378.46,-,-,-,-32.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.01,0.01,0.01,0.04,0.05,0.00,0.01,0.00,0.02,-,0.01,0.01,-,-,-,-,0.12,0.12,-,0.18
