,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,1214,1849,2098,1275,2396,2216,2916,3073,4241,538.6,269.8,257.39,476.99,188.23,-,128.09,99.47,-,90.01
1,Trading Asset Securities,2503,2091,1674,2516,1632,1813,1122,1263,100,16.21,108.8,149.4,-,-,-,-,6.3,-,-
2,Cash & Short-Term Investments,3717,3940,3772,3791,4028,4029,4038,4336,4341,554.81,378.6,406.79,476.99,188.23,128.09,128.09,105.77,90.01,90.01
3,Cash Growth,-7.71%,-2.21%,-6.59%,-12.55%,-7.23%,626.14%,966.55%,965.82%,810.18%,194.75%,195.57%,217.58%,350.97%,109.12%,42.31%,-,-,-,-
4,Accounts Receivable,172.78,204.64,245.44,315.93,387.61,400.96,344,335.63,268.44,204.05,137.09,150.85,119.88,144.69,-,141.47,135.88,-,78.17
5,Other Receivables,4.08,109.02,2.72,84.81,4.42,4.25,2.11,10.55,2.13,0.28,0.19,10.93,0.19,0.16,-,0.23,0.13,-,0.11
6,Receivables,176.86,313.66,248.16,400.74,392.03,405.21,346.12,346.18,270.57,204.33,137.28,161.78,120.06,144.85,-,141.7,136.01,-,78.27
7,Inventory,437.26,406.27,345.1,321.17,271.14,229.06,234.54,205.4,161.76,142.33,140.04,129.81,120.36,127.33,-,97.12,104.34,-,119.9
8,Other Current Assets,120.66,10.52,94.24,12.18,60.02,37.5,246.06,11.21,24.04,19.53,20.03,3.91,35.73,19.14,-,9.06,2.8,-,3.03
9,Total Current Assets,4452,4670,4459,4525,4751,4700,4865,4898,4798,921.01,675.95,702.29,753.15,479.55,-,375.97,348.92,-,291.22
10,"Property, Plant & Equipment",1826,1869,1911,1882,1702,1472,1306,1203,1097,901.7,748.41,642.04,578.9,510.93,-,369.19,286.04,-,241.75
11,Long-Term Investments,5.05,5.13,5.4,5.62,6.02,6.15,6.42,6.65,2.93,2.93,2.94,2.95,2.87,2.87,-,2.88,2.88,-,2.9
