,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,8890,7608,7051,8809,8359,8666,11452,14060,17264,21643,18731,18107,17309,12248,-,-,-,-,-,-
1,Market Cap Growth,-12.20%,-12.20%,-38.43%,-37.35%,-51.58%,-59.96%,-38.86%,-22.35%,-0.26%,76.70%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,5775,4283,3690,5100,4650,4855,7685,9996,13201,21416,18411,17766,16925,12140,-,-,-,-,-,-
3,Last Close Price,34.94,29.73,27.04,33.21,31.52,32.57,42.93,51.92,63.75,79.92,83.01,79.93,76.41,54.07,-,-,-,-,-,-
4,PE Ratio,32.69,27.40,20.76,22.29,22.98,23.22,29.11,32.42,37.51,50.52,50.54,60.38,72.25,64.24,-,-,-,-,-,-
5,Forward PE,23.29,17.15,14.86,22.58,18.07,13.80,17.99,18.09,20.48,27.79,34.62,36.88,45.58,-,-,-,-,-,-,-
6,PS Ratio,12.45,10.44,9.13,10.67,11.12,10.92,13.98,16.00,19.05,26.12,25.74,29.90,34.73,28.98,-,-,-,-,-,-
7,PB Ratio,1.67,1.43,1.33,1.64,1.57,1.64,2.19,2.64,3.28,4.21,16.44,17.10,18.06,13.92,-,-,-,-,-,-
8,P/TBV Ratio,1.48,1.48,1.38,1.68,1.60,1.66,2.23,2.67,3.33,4.27,16.86,17.58,18.62,14.39,-,-,-,-,-,-
