,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,177.2,123.03,238.32,166.86,213.18,183.95,164.37,204.99,234.86,247.86,191.6,146.13,129.09,130.55,84.45,71.18,72.73,52.63,40.96
1,Other Revenue,-19.2,19.2,-,23.62,-12.29,12.29,-,26.96,-8.15,8.15,-,8.13,-3.21,3.21,-,7.39,-3.23,2.46,0.76
2,Revenue,158,142.23,238.32,190.47,200.89,196.23,164.37,231.95,226.71,256.01,191.6,154.27,125.88,133.75,84.45,78.58,69.5,55.09,41.72
3,Revenue Growth (YoY),-21.35%,-27.52%,44.99%,-17.88%,-11.39%,-23.35%,-14.22%,50.36%,80.09%,91.40%,126.88%,96.33%,81.13%,142.79%,102.40%,-,-,-,-
4,Cost of Revenue,122.57,107.93,121.85,99.17,77.45,115.25,77.29,98.51,92.18,84.67,59.08,52.85,49.07,47.48,30.58,41.95,40.83,32.22,26.21
5,Gross Profit,35.43,34.3,116.46,91.31,123.44,80.98,87.08,133.44,134.52,171.34,132.53,101.41,76.81,86.27,53.87,36.62,28.66,22.87,15.51
6,"Selling, General & Admin",8.01,9.75,7.56,11.01,8.02,8.36,5.35,6.62,5.61,3.34,7.13,7.94,5.07,3.6,4.33,3.41,3.6,2.78,2.73
7,Research & Development,7.15,8.43,11.28,11.12,11.09,12.68,8.96,13.1,10.28,10.05,10.62,9.83,9.26,3.79,3.57,2.83,2.29,2.7,2.14
8,Other Operating Expenses,-6.1,-4.42,-3.25,-11.55,-4.33,-2.76,-3.39,10.74,-3.91,0.41,-2.11,7.7,-1.9,-0.56,-1.4,5.07,-1.69,-2.62,0.1
