,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,53.45,60.7,73.95,111.5,90.48,48.93,78.95,104,133.9,139.17
1,Short-Term Investments,17.34,17.22,17.83,17.27,16.79,16.08,-,-,-,-
2,Trading Asset Securities,-,-,-,-,-,-,-,5,0,-
3,Cash & Short-Term Investments,70.79,77.91,91.78,128.78,107.27,65.01,78.95,109.01,133.9,139.17
4,Cash Growth,-22.87%,-39.50%,-14.44%,98.10%,35.88%,-40.36%,-41.04%,-21.68%,-,-
5,Accounts Receivable,135.42,92.78,94.16,76.01,74.76,108.03,95.32,70.48,60.11,65.16
6,Other Receivables,1.68,0.92,1.99,1.12,1.49,1.95,4.14,3.25,0.01,0.01
7,Receivables,137.1,93.7,96.15,77.13,76.25,109.98,99.46,73.72,60.12,65.16
8,Inventory,20.53,17.99,22.86,17.84,17.7,30.46,42.93,25.15,20.82,24.24
9,Other Current Assets,3.32,3.71,3.53,4.24,3.44,3.03,2.08,18.54,1.57,3.73
10,Total Current Assets,231.73,193.31,214.31,227.99,204.66,208.47,223.41,226.41,216.4,232.3
11,"Property, Plant & Equipment",119.74,129.1,136.22,145.74,161.04,177.74,188.13,154.22,114.94,120.26
12,Long-Term Investments,9.95,8.66,9.43,9.84,8.34,8.37,14.74,-,-,-
13,Other Intangible Assets,0.75,0.95,1.1,17.1,0.88,1.28,1.5,1.48,-,-
14,Long-Term Deferred Tax Assets,3.81,2.92,3.49,7.97,2.5,2.4,2.88,0.67,1.35,0.73
15,Other Long-Term Assets,1.44,5.87,5.1,2.79,3.7,3.19,1.59,1.53,2.42,1.17
16,Total Assets,371.82,340.81,369.64,411.42,381.12,401.45,432.25,384.31,335.1,354.45
17,Accounts Payable,24.31,14.88,22.16,23.82,11.75,17.5,38.07,18.48,9.51,16.19
18,Accrued Expenses,24.98,21.08,17.84,35.18,24.83,33.03,24,25.46,13.24,24.3
19,Short-Term Debt,-,-,5.32,-,-,12.61,-,-,-,-
20,Current Portion of Long-Term Debt,3.5,3.75,-,8.02,5.26,-,4.86,5.89,3.38,6.6
21,Current Portion of Leases,9.3,6.12,7.04,4.39,5.38,5.14,5.28,4.73,4,3.85
22,Current Income Taxes Payable,0.09,0.76,5.76,3.75,5.05,1.75,2.14,2.77,2.38,3.71
23,Current Unearned Revenue,7.85,6.19,6.34,8.27,4.9,5.78,11.62,4.59,3.45,3.37
24,Other Current Liabilities,1.37,0.58,7.28,0.3,1.39,2.12,18.05,10.65,2.31,0.87
25,Total Current Liabilities,71.39,53.36,71.74,83.73,58.56,77.93,104.01,72.56,38.27,58.88
26,Long-Term Debt,-,-,-,-,5.23,-,10.26,8.05,-,1.6
27,Long-Term Leases,1.78,2.13,4.56,5.29,5.76,7.55,0.78,1.77,2.74,4.78
28,Long-Term Unearned Revenue,11.12,11.48,14.57,14.92,14.23,16,15.61,10,10.37,10.52
29,Long-Term Deferred Tax Liabilities,1.12,0.35,0.02,1.22,0.72,2.11,-,-,-,-
30,Total Liabilities,85.41,67.32,90.88,105.15,84.5,103.59,130.66,92.38,51.37,75.78
31,Common Stock,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25
32,Additional Paid-In Capital,98.68,98.68,98.68,98.68,98.68,98.68,98.68,98.68,98.68,98.68
33,Retained Earnings,62.76,53.8,63.64,77.64,82.83,86.72,86.01,78.36,69.76,66.63
34,Comprehensive Income & Other,110.15,107.82,108.18,109.46,101.71,100.08,106.54,106.84,113.05,111.12
35,Total Common Equity,273.83,262.54,272.74,288.02,285.47,287.73,293.48,286.13,283.73,278.67
36,Minority Interest,12.57,10.95,6.01,18.25,11.15,10.14,8.11,5.8,-,-
37,Shareholders' Equity,286.4,273.5,278.75,306.27,296.62,297.86,301.59,291.93,283.73,278.67
38,Total Liabilities & Equity,371.82,340.81,369.64,411.42,381.12,401.45,432.25,384.31,335.1,354.45
39,Total Debt,14.58,12,16.92,17.7,21.63,25.31,21.18,20.43,10.12,16.84
40,Net Cash (Debt),56.21,65.91,74.85,111.08,85.64,39.7,57.77,88.58,123.78,122.34
41,Net Cash Growth,-24.91%,-40.66%,-12.60%,179.80%,48.25%,-55.18%,-53.33%,-27.60%,-,-
42,Net Cash Per Share,0.22,-,0.30,-,0.34,0.16,0.23,0.35,0.50,0.57
43,Filing Date Shares Outstanding,250,250,250,250,250,250,250,250,250,250
44,Total Common Shares Outstanding,250,250,250,250,250,250,250,250,250,250
45,Working Capital,160.34,139.94,142.57,144.25,146.09,130.54,119.4,153.85,178.14,173.42
46,Book Value Per Share,1.10,1.05,1.09,1.15,1.14,1.15,1.17,1.14,1.13,1.11
47,Tangible Book Value,273.08,261.59,271.65,270.93,284.58,286.45,291.99,284.65,283.73,278.67
48,Tangible Book Value Per Share,1.09,1.05,1.09,1.08,1.14,1.15,1.17,1.14,1.13,1.11
49,Buildings,-,9.95,-,9.95,-,9.95,-,-,-,-
50,Machinery,-,252.2,-,250.15,-,246.83,-,219.66,171.49,179.08
51,Leasehold Improvements,-,14,-,11.06,-,10.12,-,7.63,5.75,2.55
