,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,98,69,90,4420,9000,7125,6000,4000,2450,2000,1320
1,Market Cap Growth,-98.83%,-98.44%,-99.00%,-37.96%,50.00%,78.13%,144.90%,100.00%,85.61%,-,-
2,Enterprise Value,51,8,16,4315,8913,7089,5940,3902,2314,1863,1306
3,Last Close Price,0.39,0.28,0.36,17.68,36.00,28.50,24.00,16.00,9.80,8.00,5.28
4,PE Ratio,-,7.14,-,-,-,-,675.05,218.72,175.78,100.23,42.58
5,PS Ratio,0.32,0.41,-,29.88,-,20.51,13.81,10.17,8.37,7.03,4.15
6,PB Ratio,0.33,0.22,0.30,14.67,25.99,20.51,16.41,11.03,7.07,6.42,4.23
7,P/TBV Ratio,0.23,0.23,0.31,15.06,29.38,21.37,17.06,11.39,7.25,6.42,4.23
8,P/FCF Ratio,-,27.58,-,-,-,167.37,-,-,-,-,43.43
9,P/OCF Ratio,6.31,14.74,-,-,-,101.71,299.24,67.14,40.08,32.63,18.72
10,EV/Sales Ratio,0.17,0.05,-,29.17,-,20.40,13.67,9.92,7.90,6.55,4.10
11,EV/EBITDA Ratio,1.61,0.23,-,271.40,-,251.37,128.67,70.31,52.63,34.98,21.22
12,EV/EBIT Ratio,-,0.61,-,-,-,-,-,170.99,122.02,60.21,30.17
13,EV/FCF Ratio,-9.00,3.29,-,-,-,166.52,-,-,-,-,42.96
14,Debt / Equity Ratio,0.05,0.05,0.04,0.06,0.06,0.07,0.08,0.07,0.07,0.04,0.06
15,Debt / FCF Ratio,-,6.28,-,-,-,0.60,-,-,-,-,0.62
16,Return on Capital Employed (ROCE),-,4.17%,-,-,-,-,-,5.78%,5.12%,9.50%,13.09%
17,Earnings Yield,-0.97%,14.00%,-,-0.34%,-,-0.05%,0.15%,0.46%,0.57%,1.00%,2.35%
18,FCF Yield,-5.77%,3.63%,-,-0.73%,-,0.60%,-0.95%,-1.58%,-0.95%,0.75%,2.30%
19,Buyback Yield / Dilution,-,-,-,-,-,-,-,-17.26%,-35.48%,-,
20,Total Shareholder Return,-,-,-,-,-,-,-,-17.26%,-35.48%,-,
