,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,22701531,21486895,20134396,18854898,20781920,20154911,18608561,18706227,20642781,19523055,17834053,18189336,23827803,23604809,21219294,19976861,21599531,20214308,17766382,17637587,Upgrade
1,Revenue Growth (YoY),9.24%,6.61%,8.20%,0.79%,0.67%,3.24%,4.34%,2.84%,-13.37%,-17.29%,-15.95%,-8.95%,10.32%,16.77%,19.44%,13.26%,96.79%,125.41%,92.06%,116.14%,Upgrade
2,Cost of Revenue,15638991,15066285,14216646,13600060,15014087,14215276,13281084,13620060,15088612,14098747,12866613,13100229,16950557,17508621,16372047,15662741,16384772,15396469,13871798,13676072,Upgrade
3,Gross Profit,7062540,6420610,5917750,5254838,5767833,5939635,5327477,5086167,5554169,5424308,4967440,5089107,6877246,6096188,4847247,4314120,5214759,4817839,3894584,3961515,Upgrade
4,"Selling, General & Admin",4510406,4807528,4613001,4551414,4850439,4580418,4335017,4176483,4172758,4269317,3958459,3965319,4390166,4253667,3576557,3630917,4056854,4165831,4076194,3908104,Upgrade
5,Operating Expenses,4510406,4807528,4613001,4551414,4850439,4580418,4335017,4176483,4172758,4269317,3958459,3965319,4390166,4253667,3576557,3630917,4056854,4165831,4076194,3908104,Upgrade
6,Operating Income,2552134,1613082,1304749,703424,917394,1359217,992460,909684,1381411,1154991,1008981,1123788,2487080,1842521,1270690,683203,1157905,652008,-181610,53411,Upgrade
7,Interest Expense,-1526425,-1707361,-1549022,-1713341,-1801006,-1744521,-1785953,-1842271,-1691809,-1126241,-1274183,-1161355,-1425359,-1157486,-1279579,-1300810,-1232043,-1090959,-957904,-678460,Upgrade
8,Interest & Investment Income,1967701,854509,647309,414174,743559,420977,689805,373174,353315,330194,211114,197625,199735,326610,165261,107679,104191,158539,493990,81171,Upgrade
9,Earnings From Equity Investments,763709,1158157,1273366,1248537,945882,1048977,923588,977535,749326,1144826,1251638,1193860,991807,933881,1024394,946559,831300,676550,604480,527738,Upgrade
10,Currency Exchange Gain (Loss),-,-,-,-7008,262442,-,-,121688,79990,-,-108563,17713,28176,-,20659,69209,-41598,-,-15171,-780,Upgrade
11,Other Non Operating Income (Expenses),-1100489,-352637,-507642,-74072,-105600,-501745,-369009,-1419,103252,-594878,-56663,378162,-46231,-82460,-63755,-17537,-183501,704264,401185,-35758,Upgrade
12,EBT Excluding Unusual Items,2656630,1565750,1168760,571714,962671,582905,450891,538391,975485,908892,1032324,1749793,2235208,1863066,1137670,488303,636254,1100402,344970,-52678,Upgrade
13,Gain (Loss) on Sale of Investments,-,-,-,61949,-115680,-,-,42954,-32035,-,251507,283327,5693993,-,6723,-,-,-,-,-,Upgrade
14,Gain (Loss) on Sale of Assets,-,-,-,-,-16442,-,-,-,-82865,-,-23160,282,-19725,-,-2530,-1250,-123772,-,-33575,-7577,Upgrade
