,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,18617866,13225024,18158242,8492733,10124515,9477078,8829035,16203728,13853100,6045500,9714354,12349418,22304822,12300031,11544161,7117888,7721442,5608241,4695511,3711237,Upgrade
1,Short-Term Investments,19408614,8253248,8798229,8365547,8350041,3656293,1925687,1473819,355139,584582,692938,682602,365971,425276,3262671,629742,538587,2291321,2255181,11075610,Upgrade
2,Trading Asset Securities,-,1720333,1510501,3218841,4183054,1216544,2643381,3316274,3302172,1200864,-,-,-,-,-,-,-,-,-,488208,Upgrade
3,Cash & Short-Term Investments,38026480,23198605,28466972,20077121,22657610,14349915,13398103,20993821,17510411,7830946,10407292,13032020,22670793,12725307,14806832,7747630,8260029,7899562,6950692,15275055,Upgrade
4,Cash Growth,67.83%,61.66%,112.47%,-4.37%,29.40%,83.25%,28.74%,61.09%,-22.76%,-38.46%,-29.71%,68.21%,174.46%,61.09%,113.03%,-49.28%,4.55%,1.75%,37.92%,339.07%,Upgrade
5,Accounts Receivable,1217797,2113914,2058038,2462387,2274867,2319459,2342932,2627842,2688447,2552671,2593968,2677812,2446855,2883037,2408021,2426015,1954059,1821332,1851109,1469202,Upgrade
6,Other Receivables,1368811,2694295,3126467,3410595,3292792,1690920,1902148,1226091,1027943,775587,654194,680188,841932,722297,686709,1317792,566241,744270,458550,434707,Upgrade
7,Receivables,2667758,4889359,5542115,7464132,5648809,4010379,4245080,3853933,3716390,3328258,3248162,5810812,5741599,4833634,4234730,4883807,3660300,3705602,3449659,2943909,Upgrade
8,Inventory,10787396,12858904,12602125,12766285,13174868,14026398,13902175,13657155,14445345,14328856,13763243,13150989,12813391,13732231,13007276,12630593,12497917,11426294,11733669,9698878,Upgrade
9,Prepaid Expenses,342284,412844,376629,385774,327933,455797,402975,477323,374120,470003,347822,406629,256766,396994,434077,361645,303201,280891,291960,301260,Upgrade
10,Other Current Assets,1745745,2170256,1994528,1935798,1954257,15003171,13935488,12601030,11628358,10843539,9048814,5945732,2147627,5200376,1915818,5704213,5039238,2262595,2290065,2678822,Upgrade
11,Total Current Assets,53569663,43529968,48982369,42629110,43763477,47845660,45883821,51583262,47674624,36801602,36815333,38346182,43630176,36888542,34398733,31327888,29760685,25574944,24716045,30897924,Upgrade
12,"Property, Plant & Equipment",29015063,33026491,33069336,33396267,33906816,33769493,33986211,34060982,34285687,33762617,33705152,33395407,33383006,34807907,36493482,36238983,36618801,36761376,34391146,32666414,Upgrade
13,Long-Term Investments,35318781,35621711,34554138,34441875,33219467,34299735,33247320,32317714,31333885,30037195,28077986,25344367,24538803,23592295,22649697,21292099,20353099,19507428,18656186,18038980,Upgrade
14,Goodwill,3591237,3752156,3916710,4206817,4379408,4689310,4723074,4896598,5077881,5244550,6174313,6154663,3369358,3557700,3593783,3720477,3847173,3826623,6811873,4072773,Upgrade
15,Other Intangible Assets,9606300,12162918,11278294,11402341,11559745,11591476,11739078,11873141,12020521,11983010,10272447,10505231,10692758,13903701,14238882,14191686,14542833,14172466,11670560,11784066,Upgrade
16,Long-Term Deferred Tax Assets,687989,706667,680348,714664,676669,686965,551465,326655,302220,305004,274817,595651,609690,908239,846169,955398,1794136,1260600,1163947,224807,Upgrade
17,Long-Term Deferred Charges,7267129,7757033,7842370,6342306,7958265,8043054,7881456,7890994,7804472,7548347,7136298,7219952,7181145,7221759,6892696,6977589,7213309,6572139,5995769,5783932,Upgrade
18,Other Long-Term Assets,8449356,17536061,17142290,13389037,11919625,4065787,2764784,2753123,2762375,2667640,2722453,2641499,2607385,2435159,1583460,1562409,1606526,1588984,1598336,1606855,Upgrade
19,Total Assets,147584718,154291445,157465855,146522417,147383472,145072630,140858359,145783619,141342815,128431115,125259949,124284102,126093471,123396452,120696902,116266529,115736562,109264560,105003862,105075751,Upgrade
