,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Feb '25 Feb 26, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,2485,2157,1896,2374,2482,2848,2764,2906,2598,2330,2874,3069,-,-,-,-
1,Market Cap Growth,-24.26%,-24.26%,-31.40%,-18.28%,-4.46%,22.22%,-3.81%,-5.32%,-,-,-,-,-,-,-,-
2,Enterprise Value,1407,1042,808,1299,1407,1740,1723,1873,1565,1319,1859,2662,-,-,-,-
3,Last Close Price,39.45,34.25,30.11,36.28,37.92,43.52,42.23,43.79,39.15,35.12,43.31,45.66,-,-,-,-
4,PE Ratio,16.10,13.74,12.27,14.92,14.68,17.81,16.89,19.18,18.85,17.04,19.05,20.91,-,-,-,-
5,PS Ratio,2.99,2.55,2.27,2.87,2.85,3.40,3.27,3.58,3.58,3.28,4.20,4.63,-,-,-,-
6,PB Ratio,1.57,1.36,1.22,1.53,1.64,1.88,1.87,1.98,1.83,1.68,2.12,2.28,-,-,-,-
7,P/TBV Ratio,1.41,1.41,1.26,1.58,1.69,1.94,1.93,2.02,1.86,1.71,2.16,2.33,-,-,-,-
8,P/FCF Ratio,32.21,27.96,23.78,22.19,25.50,28.98,23.14,-,25.63,29.13,96.33,-,-,-,-,-
9,P/OCF Ratio,14.17,14.17,12.09,11.29,12.80,14.20,13.50,19.42,16.99,17.52,22.69,22.14,-,-,-,-
10,EV/Sales Ratio,1.66,1.23,0.97,1.57,1.61,2.08,2.04,2.31,2.16,1.85,2.72,4.01,-,-,-,-
11,EV/EBITDA Ratio,7.28,5.23,4.08,6.47,6.57,8.82,8.73,10.19,9.46,8.15,10.62,15.20,-,-,-,-
12,EV/EBIT Ratio,9.20,6.42,4.97,7.83,7.80,10.58,10.33,12.14,11.32,9.64,12.35,17.40,-,-,-,-
13,EV/FCF Ratio,18.24,13.51,10.13,12.14,14.46,17.71,14.42,-,15.44,16.49,62.31,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-
15,Debt / EBITDA Ratio,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,-,-,-
16,Debt / FCF Ratio,0.02,0.02,0.03,0.02,0.02,0.02,0.02,-,0.03,0.05,0.10,-,0.08,-,-,-
17,Asset Turnover,0.44,0.51,0.43,0.55,0.43,0.51,0.55,0.51,0.49,0.47,0.48,-,-,-,-,
18,Inventory Turnover,4.80,4.55,5.18,3.92,5.36,3.31,3.80,3.82,4.33,3.99,3.96,3.05,-,-,-,-
19,Quick Ratio,7.13,7.13,6.44,6.53,5.85,6.25,5.64,5.55,5.31,6.33,6.40,6.74,2.52,-,3.18,-
20,Current Ratio,8.20,8.20,7.19,7.51,6.51,7.28,6.36,6.59,6.02,7.18,7.22,7.47,3.18,-,3.79,-
21,Return on Equity (ROE),8.60%,12.42%,9.10%,10.67%,8.35%,14.30%,12.40%,8.87%,10.19%,12.01%,12.07%,-,-,24.03%,-,
22,Return on Assets (ROA),5.23%,6.49%,5.78%,5.83%,5.35%,7.18%,8.14%,3.76%,6.22%,5.90%,7.88%,-,-,-,-,
23,Return on Capital (ROIC),5.85%,7.30%,6.55%,6.64%,6.11%,8.27%,9.44%,4.33%,7.07%,6.70%,9.31%,-,-,15.97%,-,
24,Return on Capital Employed (ROCE),9.56%,10.14%,10.37%,10.59%,11.76%,10.73%,11.10%,10.37%,9.57%,9.67%,10.90%,11.15%,20.88%,-,11.91%,-
25,Earnings Yield,6.32%,7.28%,8.15%,6.70%,6.81%,5.61%,5.92%,5.21%,5.31%,5.87%,5.25%,4.78%,-,-,-,-
26,FCF Yield,3.10%,3.58%,4.20%,4.51%,3.92%,3.45%,4.32%,3.27%,3.90%,3.43%,1.04%,0.86%,-,-,-,-
27,Dividend Yield,2.09%,-,-,-,1.98%,-,-,-,1.53%,-,-,-,-,-,-,-
28,Payout Ratio,30.57%,-,99.75%,-,-,-,72.89%,-,-,-,78.89%,-,-,-,-,44.45%
29,Buyback Yield / Dilution,-0.29%,-1.26%,1.80%,-0.88%,-0.85%,1.14%,-0.69%,-9.02%,-31.21%,-34.09%,-34.87%,-21.36%,-,-,-,-
30,Total Shareholder Return,1.80%,-1.26%,1.80%,-0.88%,1.12%,1.14%,-0.69%,-9.02%,-29.68%,-34.09%,-34.87%,-21.36%,-,-,-,-
