,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,196.81,220.88,188.64,231.74,186.79,213.76,231.97,200.09,193.66,179.43,146.14,185.31,166.05,159.45,144.52
1,Other Revenue,-2.36,2.36,-,7,-2.2,2.2,-,6.01,-2.47,2.47,-,6.55,-2.29,2.29,-
2,Revenue,194.44,223.24,188.64,238.74,184.59,215.95,231.97,206.1,191.19,181.9,146.14,191.85,163.76,161.74,144.52
3,Revenue Growth (YoY),5.34%,3.38%,-18.68%,15.84%,-3.45%,18.72%,58.73%,7.43%,16.75%,12.46%,1.12%,-,-,-,-
4,Cost of Revenue,122.26,141.1,112.9,166.56,107.99,135.46,140.89,142.37,121.26,118.21,85.09,135.31,81.72,92.91,80.45
5,Gross Profit,72.18,82.14,75.74,72.19,76.61,80.49,91.07,63.73,69.93,63.69,61.05,56.54,82.04,68.83,64.07
6,"Selling, General & Admin",27.39,29.13,28.27,29.22,31.04,30.8,27.91,26.44,25.23,22.41,18.4,18.49,23.22,23.5,22.21
7,Research & Development,7.99,7.28,7.38,8.76,7.95,7.48,6.77,7.22,5.31,5.2,4.77,5.03,6.27,6.85,5.91
8,Other Operating Expenses,-0.03,0.11,-0.66,-5.57,0.74,-5.37,0.22,6.27,0.05,-0.38,-0.84,10.23,-0.25,-1.37,-3.51
9,Operating Expenses,35.49,36.85,35.56,31.96,39.96,31.68,36.46,39.3,30.97,27.38,22.54,33.51,29.42,30.03,24.55
10,Operating Income,36.69,45.29,40.19,40.22,36.64,48.81,54.61,24.43,38.96,36.31,38.51,23.03,52.62,38.8,39.52
11,Interest Expense,-,-0.02,-0.02,-0.1,-,-0.03,-0.03,-0.13,-,-0.07,-,-0.15,-,-,-
12,Interest & Investment Income,3.4,3.61,3.75,3.85,3.86,5.72,2.14,2.18,3.22,2.52,1.07,0.61,0.48,0.31,0.31
13,Currency Exchange Gain (Loss),-0.31,0.31,-,0.85,-1.15,1.15,-,6.75,-4.73,4.73,-,-1.16,0.41,-0.41,-
14,Other Non Operating Income (Expenses),-1.1,-0.16,0.03,-0.96,1.37,-0.29,0.05,-7.43,7.23,0.41,-0.58,-5.69,4.4,0.6,0.5
15,EBT Excluding Unusual Items,38.69,49.03,43.94,43.86,40.72,55.36,56.77,25.8,44.68,43.89,39,16.65,57.9,39.3,40.32
16,Gain (Loss) on Sale of Assets,-,-0.01,-,0,0.03,0.01,0.01,-0.01,0.28,0,-,-0,-,-,-
