,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,1080,1067,1091,1136,1077,1060,1044,1100,1036,994.2,1018,414.17,-,407.12,-
1,Short-Term Investments,-,50.59,-,-,-,50.48,-,-,-,20.13,-,-,-,-,-
2,Cash & Short-Term Investments,1080,1117,1091,1136,1077,1110,1044,1100,1036,1014,1018,414.17,-,407.12,384.7
3,Cash Growth,0.24%,0.65%,4.47%,3.27%,3.92%,9.44%,2.53%,165.51%,-,149.15%,164.67%,-,-,-,-
4,Accounts Receivable,63.81,61.04,55.66,54.05,45.18,49.84,71.07,47.05,56.27,45.57,42.11,34.63,-,36.01,-
5,Other Receivables,1.34,1.32,1.15,1.25,0.98,0.92,9.17,5.83,0.73,0.71,0.67,1.48,-,0.02,-
6,Receivables,65.15,62.36,56.82,55.3,46.16,50.76,80.24,52.88,57.01,46.28,42.78,36.12,-,36.02,-
7,Inventory,102.57,112.27,105.72,124.61,123.83,137.05,148.31,147.08,115.81,127.06,111.69,111.7,-,82.04,-
8,Other Current Assets,70.16,25.65,68.28,10.49,61.58,10.68,62.97,7.82,30.25,8.61,4.57,5.25,-,2.92,-
9,Total Current Assets,1318,1318,1321,1326,1309,1309,1335,1307,1239,1196,1177,567.25,-,528.1,-
10,"Property, Plant & Equipment",373.86,362.74,353.78,353.48,331.44,332.95,315.96,315.85,306.12,302.41,309.88,311.89,-,216.74,-
11,Goodwill,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,-,0.52,-
12,Other Intangible Assets,48.45,48.76,46.4,44.74,45.03,45.36,26.88,27.15,27.41,27.64,27.79,22.41,-,22.77,-
13,Long-Term Deferred Tax Assets,2.21,2.21,2.06,1.97,2.46,2.4,2.36,1.89,1.91,1.71,1.78,1.64,-,2.02,-
14,Other Long-Term Assets,18.97,17.51,17.61,9.44,24.89,19.07,10.11,9.12,12.56,17.39,11.64,12.2,-,26.89,-
15,Total Assets,1762,1749,1742,1736,1713,1709,1691,1662,1588,1546,1529,915.92,-,797.04,-
16,Accounts Payable,80.79,89.39,82.34,92.47,76.65,72.99,94.97,82.34,86.66,69.19,89.69,72.04,-,66.64,-
17,Accrued Expenses,15.38,14.52,13.34,18.87,17.51,16.18,12.17,18.49,13.16,12.17,8.85,14.95,-,10.99,-
18,Current Portion of Leases,1.78,1.91,1.79,1.95,0.59,0.61,0.63,0.62,1.01,1.18,1.17,1.14,-,-,-
19,Current Income Taxes Payable,6.54,6.57,9.55,5.43,6.02,6.5,6.02,4.42,9.72,6.28,1.13,0.44,-,4.93,-
20,Current Unearned Revenue,34.35,40.2,41.7,45.35,54.96,63.06,57.75,68.72,41.8,42.61,33.23,41.41,-,38.62,-
21,Other Current Liabilities,21.76,30.59,27.12,39.53,23.91,46.41,31.08,42.49,20.35,34.34,23.45,48.47,-,18.28,-
22,Total Current Liabilities,160.61,183.18,175.84,203.6,179.64,205.76,202.62,217.09,172.7,165.77,157.52,178.45,-,139.46,-
23,Long-Term Leases,0.11,0.18,-,-,1.52,1.65,1.79,1.95,2.66,1.71,2.15,2.32,-,-,-
24,Long-Term Unearned Revenue,17.51,16.36,17.23,18.1,18.99,19.88,20.03,20.9,21.78,22.65,21.91,21.43,-,23.01,-
25,Long-Term Deferred Tax Liabilities,-,-,-,-,0.41,0.46,-,-,-,-,-,-,-,-,-
26,Total Liabilities,178.24,199.72,193.07,221.7,200.56,227.75,224.44,239.93,197.14,190.13,181.58,202.2,-,162.47,-
27,Common Stock,64,64,64,64,64,64,64,64,64,64,64,48,-,48,-
28,Additional Paid-In Capital,654.95,654.95,654.95,654.95,654.95,654.95,654.95,654.95,654.89,654.89,654.89,68.46,-,68.46,-
29,Retained Earnings,902.43,868.74,868.62,833.77,793.42,762.17,747.88,703.1,671.91,636.93,628.36,597.26,-,518.11,-
30,Treasury Stock,-38.09,-38.09,-38.86,-38.25,-,-,-,-,-,-,-,-,-,-,-
31,Shareholders' Equity,1583,1550,1549,1514,1512,1481,1467,1422,1391,1356,1347,713.72,-,634.56,580.08
32,Total Liabilities & Equity,1762,1749,1742,1736,1713,1709,1691,1662,1588,1546,1529,915.92,-,797.04,-
33,Total Debt,1.9,2.09,1.79,1.95,2.11,2.26,2.42,2.57,3.67,2.89,3.32,3.46,-,-,-
34,Net Cash (Debt),1078,1115,1089,1134,1075,1108,1041,1097,1033,1011,1015,410.71,-,407.12,384.7
35,Net Cash Growth,0.26%,0.66%,4.54%,3.33%,4.09%,9.53%,2.63%,167.12%,-,148.44%,163.80%,-,-,-,-
36,Net Cash Per Share,16.67,17.67,16.87,17.70,16.83,17.24,16.28,17.27,15.99,15.85,17.29,8.48,-,8.60,7.96
37,Filing Date Shares Outstanding,62.98,62.98,64.54,62.98,64,64,64,64,64,64,64,48,48.17,64,48.35
38,Total Common Shares Outstanding,62.98,62.98,64.54,63,64,64,64,64,64,64,64,48,48.17,48,48.35
39,Working Capital,1157,1134,1146,1122,1129,1103,1133,1090,1067,1031,1020,388.8,-,388.63,-
40,Book Value Per Share,25.14,24.60,24.00,24.04,23.63,23.14,22.92,22.22,21.73,21.18,21.05,14.87,-,13.22,12.08
41,Tangible Book Value,1534,1500,1502,1469,1467,1435,1439,1394,1363,1328,1319,690.79,-,611.27,560.08
42,Tangible Book Value Per Share,24.36,23.82,23.27,23.32,22.92,22.43,22.49,21.79,21.29,20.74,20.61,14.39,-,12.73,11.67
43,Buildings,-,229.11,-,228.89,-,218.67,-,207.62,-,204.83,-,204.83,-,-,-
44,Machinery,-,294.03,-,273.45,-,275,-,241.23,-,220.48,-,215.17,-,-,-
45,Construction In Progress,-,38.12,-,30.7,-,6.69,-,17.07,-,15.36,-,14.56,-,-,-
