,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022"
0,Cash & Equivalents,590.78,686.91,1193,1195,319.14,-,-,273.25,-
1,Trading Asset Securities,329.21,300.2,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,919.99,987.12,1193,1195,319.14,-,273.25,273.25,-
3,Cash Growth,188.27%,-,336.44%,337.34%,-,-,-,-,-
4,Accounts Receivable,112.21,133.23,145.69,137.96,108.44,-,-,152.23,-
5,Other Receivables,8.99,4.96,8.05,8.1,5.77,-,-,7.11,-
6,Receivables,121.21,138.19,153.73,146.06,114.21,-,-,159.34,-
7,Inventory,291.54,263.62,264.88,251.5,261.42,-,-,216.76,-
8,Other Current Assets,7.3,9.21,8.55,8.18,9.28,-,-,10.85,-
9,Total Current Assets,1340,1398,1620,1601,704.04,-,-,660.2,-
10,"Property, Plant & Equipment",469.67,452.95,463.71,431.94,398.14,-,-,356.36,-
11,Other Intangible Assets,68.17,68.57,68.86,69.39,69.8,-,-,71.08,-
12,Long-Term Deferred Tax Assets,25.33,24.82,21.79,21.51,23.95,-,-,21.68,-
13,Long-Term Deferred Charges,3.84,3.75,9.41,4.12,4.27,-,-,4.65,-
14,Other Long-Term Assets,210.83,169.27,0.06,1.81,8.98,-,-,3.76,-
15,Total Assets,2118,2117,2184,2130,1209,-,-,1118,-
16,Accounts Payable,128.74,112.04,140.97,98.01,86.89,-,-,115.56,-
17,Accrued Expenses,15.52,14.87,15.95,19.9,14.84,-,-,22.87,-
18,Short-Term Debt,1,1,6,7.01,21,-,-,53.6,-
19,Current Portion of Long-Term Debt,3.31,-,1.71,1.13,-,-,-,-,-
20,Current Portion of Leases,-,3.34,-,1.47,-,-,-,0.63,-
21,Current Income Taxes Payable,12.52,10.26,16.81,11.97,14.46,-,-,13.66,-
22,Current Unearned Revenue,1.81,4.23,2.87,3.48,4.14,-,-,7.93,-
23,Other Current Liabilities,6.2,59.19,13.29,16.15,36.94,-,-,31.65,-
24,Total Current Liabilities,169.1,204.92,197.6,159.11,178.26,-,-,245.9,-
25,Long-Term Debt,-,-,52.4,52.46,34.24,-,-,-,-
26,Long-Term Leases,2.78,3.98,1.55,0.96,1.45,-,-,0.52,-
27,Long-Term Unearned Revenue,6.66,6.77,6.88,6.98,7.09,-,-,4.26,-
28,Total Liabilities,178.54,215.67,258.42,219.52,221.04,-,-,250.67,-
29,Common Stock,235.52,235.52,235.52,235.52,176.64,-,-,176.64,-
30,Additional Paid-In Capital,1218,1217,1218,1233,423.68,-,-,421.61,-
31,Retained Earnings,475.1,438.74,461.69,419.36,366.45,-,-,245.29,-
32,Comprehensive Income & Other,10.19,9.01,9.59,8.95,8.82,-,-,7.76,-
33,Total Common Equity,1939,1900,1925,1897,975.59,-,851.31,851.31,-
34,Minority Interest,0.64,1.38,0.02,13.01,12.54,-,-,15.75,-
35,Shareholders' Equity,1939,1902,1925,1910,988.13,-,867.06,867.06,-
36,Total Liabilities & Equity,2118,2117,2184,2130,1209,-,-,1118,-
37,Total Debt,7.09,8.32,61.66,63.02,56.69,-,54.74,54.74,-
38,Net Cash (Debt),912.89,978.8,1131,1132,262.44,-,218.51,218.51,-
39,Net Cash Growth,247.84%,-,417.57%,418.07%,-,-,-,-,-
40,Net Cash Per Share,4.03,4.03,4.81,6.41,1.48,-,1.22,1.20,-
41,Filing Date Shares Outstanding,235.52,235.52,235.52,235.52,176.82,170.98,178.96,176.64,178.42
42,Total Common Shares Outstanding,235.52,235.52,235.52,235.52,176.82,170.98,178.96,176.64,178.42
43,Working Capital,1171,1193,1422,1442,525.78,-,-,414.31,-
44,Book Value Per Share,8.23,8.07,8.17,8.05,5.51,-,4.82,4.82,-
45,Tangible Book Value,1871,1832,1856,1828,905.79,-,780.23,780.23,-
46,Tangible Book Value Per Share,7.94,7.78,7.88,7.76,5.11,-,4.42,4.42,-
47,Buildings,-,143.99,-,143.99,-,-,-,143.16,-
48,Machinery,-,300.54,-,295.26,-,-,-,287.29,-
49,Construction In Progress,-,192.73,-,164.79,-,-,-,69.48,-
