,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022"
0,Market Capitalization,5325,4644,3992,3990,6359,-,-,-,-,-
1,Enterprise Value,4413,3667,2861,3740,6109,-,-,-,-,-
2,Last Close Price,22.61,19.72,16.73,22.29,35.53,-,-,-,-,-
3,PE Ratio,30.94,28.86,25.23,23.74,36.53,-,-,-,-,-
4,PS Ratio,7.10,6.62,5.83,5.73,8.58,-,-,-,-,-
5,PB Ratio,2.75,2.39,2.10,2.07,3.33,-,-,-,-,-
6,P/TBV Ratio,2.48,2.48,2.18,2.15,3.48,-,-,-,-,-
7,P/FCF Ratio,50.10,43.70,55.01,38.54,78.42,-,-,-,-,-
8,P/OCF Ratio,20.94,20.94,19.99,18.44,31.74,-,-,-,-,-
9,EV/Sales Ratio,6.29,5.23,4.18,5.37,8.24,-,-,-,-,-
10,EV/EBITDA Ratio,20.91,17.58,13.66,16.74,26.04,-,-,-,-,-
11,EV/EBIT Ratio,25.49,21.18,16.39,19.79,30.45,-,-,-,-,-
12,EV/FCF Ratio,41.52,34.50,39.43,36.12,75.33,-,-,-,-,-
13,Debt / Equity Ratio,0.00,0.00,0.00,0.03,0.03,0.06,-,0.06,0.06,-
14,Debt / EBITDA Ratio,0.03,0.03,0.06,0.28,0.25,0.24,-,0.21,0.21,-
15,Debt / FCF Ratio,0.07,0.07,0.11,0.60,0.78,-,-,0.53,0.60,-
16,Asset Turnover,0.31,0.32,0.27,0.52,-,-,-,-,-,
17,Inventory Turnover,1.55,1.36,1.82,1.23,2.10,-,-,-,-,-
18,Quick Ratio,6.16,6.16,5.49,6.81,8.43,2.43,-,-,1.76,-
19,Current Ratio,7.92,7.92,6.82,8.20,10.06,3.95,-,-,2.68,-
20,Return on Equity (ROE),7.55%,6.01%,9.15%,14.69%,-,-,22.78%,-,-,
21,Return on Assets (ROA),5.82%,2.90%,5.34%,7.89%,-,-,-,-,-,
22,Return on Capital (ROIC),6.40%,3.20%,5.82%,8.73%,-,-,15.65%,-,-,
23,Return on Capital Employed (ROCE),8.88%,8.88%,9.13%,9.52%,10.18%,19.69%,-,-,10.95%,-
24,Earnings Yield,3.02%,3.47%,3.96%,4.21%,2.74%,-,-,-,-,-
25,FCF Yield,2.00%,2.29%,1.82%,2.59%,1.28%,-,-,-,-,-
26,Dividend Yield,0.94%,-,-,-,0.62%,-,-,-,-,-
27,Payout Ratio,32.87%,143.77%,0.81%,0.02%,0.70%,0.51%,0.47%,0.33%,0.79%,2.49%
28,Buyback Yield / Dilution,-24.21%,-28.26%,-41.87%,-31.42%,3.32%,0.90%,-,-,-,-
29,Total Shareholder Return,-23.27%,-28.26%,-41.87%,-31.42%,3.94%,0.90%,-,-,-,-
