,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022"
0,Operating Revenue,174.07,163.92,147.14,210.83,151.5,182.11,191.94,211.36,233.32
1,Other Revenue,-8.84,8.84,-,5.18,-2.32,2.32,-,4.34,-
2,Revenue,165.23,172.76,147.14,216,149.18,184.43,191.94,215.7,233.32
3,Revenue Growth (YoY),10.76%,-6.33%,-23.34%,0.14%,-36.06%,-,-,-,-
4,Cost of Revenue,94.51,120.05,79.5,134.32,75.32,122.32,112.55,136.84,163.81
5,Gross Profit,70.72,52.72,67.64,81.68,73.85,62.11,79.38,78.87,69.51
6,"Selling, General & Admin",9.05,17.57,13.98,15.35,13.49,15.75,13.22,12.4,14.96
7,Research & Development,15.44,7.85,8.03,7.37,9.21,7.88,7.93,8.99,11.66
8,Other Operating Expenses,-2.38,1.2,0.78,4.1,1.68,-0.06,1.49,4.03,1.53
9,Operating Expenses,21.39,27.76,21.53,28.97,23.1,22.66,21.66,23.76,29.18
10,Operating Income,49.33,24.95,46.11,52.71,50.75,39.45,57.72,55.1,40.33
11,Interest Expense,-0.31,-,-0.73,-0.4,-0.46,-0.56,-0.66,-1.28,-1.52
12,Interest & Investment Income,4.14,10.99,-,1.88,0.78,1.03,0.85,1.51,0.65
13,Currency Exchange Gain (Loss),-1.25,1.25,-,10.78,-12.83,12.83,-,17.55,-
14,Other Non Operating Income (Expenses),-4.75,-5.42,4.68,-7.46,7.13,2.58,-1.78,-17.05,12.02
15,EBT Excluding Unusual Items,47.15,31.78,50.06,57.51,45.37,55.34,56.13,55.84,51.48
16,Gain (Loss) on Sale of Investments,0.95,1.52,-1.58,2.33,-1.48,-5.86,0.89,-0.22,-
17,Gain (Loss) on Sale of Assets,-0.18,-0.02,-,-2.1,0.29,-0.29,-,-3.35,-
18,Asset Writedown,-3.89,-0.1,0.1,1.67,-1.67,0.46,-0.46,1.34,0.39
19,Other Unusual Items,-0.82,1.39,0.02,2.25,-,-,-,5.57,-
20,Pretax Income,43.22,34.56,48.59,61.66,42.5,49.64,56.56,59.18,51.87
21,Income Tax Expense,6.98,5.83,4.72,8.43,9.27,11.64,7.19,0.15,11.7
22,Earnings From Continuing Operations,36.24,28.74,43.88,53.22,33.23,38.01,49.37,59.03,40.17
23,Minority Interest in Earnings,0.12,0.6,-1.54,-0.31,0.44,1.16,-1.05,-3.12,0.87
24,Net Income,36.37,29.33,42.34,52.91,33.67,39.17,48.32,55.91,41.04
25,Net Income to Common,36.37,29.33,42.34,52.91,33.67,39.17,48.32,55.91,41.04
26,Net Income Growth,8.01%,-25.11%,-12.39%,-5.36%,-17.95%,-,-,-,-
27,Shares Outstanding (Basic),227,243,235,177,177,171,179,183,178
28,Shares Outstanding (Diluted),227,243,235,177,177,171,179,183,178
29,Shares Change (YoY),28.26%,41.87%,31.42%,-3.32%,-0.90%,-,-,-,-
30,EPS (Basic),0.16,0.12,0.18,0.30,0.19,0.23,0.27,0.31,0.23
31,EPS (Diluted),0.16,0.12,0.18,0.30,0.19,0.23,0.27,0.31,0.23
32,EPS Growth,-15.79%,-47.21%,-33.33%,-2.11%,-17.21%,-,-,-,-
33,Free Cash Flow,30.66,11.96,34.89,28.78,-3.07,42.94,12.44,73.83,17.64
34,Free Cash Flow Per Share,0.14,0.05,0.15,0.16,-0.02,0.25,0.07,0.40,0.10
35,Dividend Per Share,-,-,-,0.222,-,-,-,-,-
36,Gross Margin,42.80%,30.51%,45.97%,37.81%,49.51%,33.68%,41.36%,36.56%,29.79%
37,Operating Margin,29.85%,14.44%,31.34%,24.40%,34.02%,21.39%,30.07%,25.55%,17.29%
38,Profit Margin,22.01%,16.98%,28.77%,24.50%,22.57%,21.24%,25.18%,25.92%,17.59%
39,Free Cash Flow Margin,18.56%,6.93%,23.71%,13.32%,-2.06%,23.28%,6.48%,34.23%,7.56%
40,EBITDA,58.06,34.2,54.84,61.44,59,48.16,65.97,63.35,46.3
41,EBITDA Margin,35.14%,19.79%,37.27%,28.45%,39.55%,26.11%,34.37%,29.37%,19.84%
42,D&A For EBITDA,8.73,9.24,8.73,8.73,8.25,8.71,8.25,8.25,5.97
43,EBIT,49.33,24.95,46.11,52.71,50.75,39.45,57.72,55.1,40.33
44,EBIT Margin,29.85%,14.44%,31.34%,24.40%,34.02%,21.39%,30.07%,25.55%,17.29%
45,Effective Tax Rate,16.15%,16.86%,9.71%,13.68%,21.81%,23.44%,12.71%,0.25%,22.56%
46,Revenue as Reported,165.23,172.76,147.14,216,149.18,184.43,191.94,215.7,233.32
