,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,1202043,1070044,1013831,1003459,1010576,783833,793721,955836,992424,955265,1086534,980135,988514,752327,786617,835453,809201,678008,578060,759411,Upgrade
1,Revenue Growth (YoY),18.95%,36.51%,27.73%,4.98%,1.83%,-17.95%,-26.95%,-2.48%,0.40%,26.97%,38.13%,17.32%,22.16%,10.96%,36.08%,10.01%,-4.71%,-8.63%,-26.87%,-3.64%,Upgrade
2,Cost of Revenue,987456,888689,837332,836227,809258,630401,651665,792864,816014,805656,944142,838769,833957,645013,627106,685121,601102,533538,422826,634011,Upgrade
3,Gross Profit,214587,181355,176499,167232,201318,153432,142056,162972,176411,149609,142393,141366,154557,107313,159511,150333,208099,144471,155234,125399,Upgrade
4,"Selling, General & Admin",195814,156595,141150,138915,179034,130218,109056,125608,141303,113597,109328,110146,127626,102067,102957,109592,179799,102492,109292,104095,Upgrade
5,Operating Expenses,195814,156595,141150,138915,179034,130218,109056,125608,141303,113597,109328,110146,127626,102067,102957,109592,179799,102492,109292,104095,Upgrade
6,Operating Income,18773,24760,35349,28316,22285,23214,33000,37364,35108,36012,33064,31221,26930,5247,56554,40741,28300,41979,45941,21305,Upgrade
7,Interest Expense,-12010,-11818,-9850,-10205,-12599,-16586,-21796,-17192,-17193,-15423,-12792,-10575,-7977,-8180,-8759,-7453,-6073,-6954,-9409,-9453,Upgrade
8,Interest & Investment Income,20928,28403,14738,21054,20122,23890,24927,17924,18688,20023,18688,16529,13851,13982,11614,11031,9742,10503,10467,12489,Upgrade
