,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,92173,111465,111619,75819,69347,56922,137812,43627,51143,51615,70253,53387,58900,56379,42261,44987,53562,39285,51610,45476,Upgrade
1,Short-Term Investments,1087221,892421,913057,1141900,1204200,1196200,1296400,1262600,1255800,1438100,1238500,1197200,1151500,941900,1028800,960300,739100,624000,553800,796700,Upgrade
2,Trading Asset Securities,514.7,595.41,625.83,701.48,658.62,692.12,695.64,705.81,734.28,1354,1980,1794,1588,1073,950.59,1020,990,920,900,1130,Upgrade
3,Cash & Short-Term Investments,1179908,1004482,1025302,1218420,1274205,1253814,1434907,1306933,1307677,1491070,1310734,1252381,1211988,999352,1072012,1006307,793652,664205,606310,843306,Upgrade
4,Cash Growth,-7.40%,-19.89%,-28.55%,-6.77%,-2.56%,-15.91%,9.47%,4.36%,7.90%,49.20%,22.27%,24.45%,52.71%,50.46%,76.81%,19.33%,4.80%,-19.61%,-17.39%,5.86%,Upgrade
5,Accounts Receivable,454533,409014,384065,392418,368873,331260,281566,391317,354728,339395,357769,387482,357210,324426,310868,337161,311278,285212,269779,297423,Upgrade
6,Other Receivables,49142,55515,58573,60599,42569,38533,43089,42110,61523,46728,31890,32987,25250,27456,27342,35006,20586,15535,21876,24800,Upgrade
7,Receivables,503674,464529,442638,453018,411442,369792,324654,433426,416277,386123,389659,420469,382459,351883,338209,372168,331864,300746,291656,322224,Upgrade
8,Inventory,210436,166918,162359,157715,175752,169417,110651,150424,150778,171567,203397,137337,195056,128405,124016,140045,120780,138340,113721,133468,Upgrade
9,Prepaid Expenses,4087,6969,6870,7644,5145,6291,7636,6863,5996,5791,7684,7823,4271,3453,4715,4719,2724,2657,4375,5836,Upgrade
10,Other Current Assets,22822,35714,34203,33216,28993,37795,34032,40043,31828,38797,39933,49596,47959,50234,36206,32451,31307,40862,37440,46480,Upgrade
