,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,3436,2269,1957,2089,2640,2620,2624,2819,3728,-,-,-,-,-,-
1,Market Cap Growth,-13.39%,-13.39%,-25.43%,-25.90%,-29.19%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3221,1863,1727,1332,1883,1903,1921,2557,3465,-,-,-,-,-,-
3,Last Close Price,24.22,15.91,13.72,14.45,18.26,18.12,18.15,19.32,25.54,-,-,-,-,-,-
4,PE Ratio,35.62,23.33,20.05,23.90,31.70,31.39,30.56,34.10,46.05,-,-,-,-,-,-
5,PS Ratio,7.10,4.65,4.13,4.66,6.34,6.78,6.89,7.36,9.58,-,-,-,-,-,-
6,PB Ratio,3.04,2.01,1.76,1.88,2.37,2.40,2.46,2.63,3.57,-,-,-,-,-,-
7,P/TBV Ratio,2.08,2.08,1.83,1.96,2.47,2.49,2.56,2.74,3.72,-,-,-,-,-,-
8,P/FCF Ratio,43.18,28.52,21.80,-,22.47,33.21,42.58,44.91,-,-,-,-,-,-,-
9,P/OCF Ratio,18.61,18.61,13.22,-,15.62,19.41,24.83,28.38,40.38,-,-,-,-,-,-
10,EV/Sales Ratio,6.60,3.82,3.65,2.97,4.52,4.92,5.04,6.68,8.91,-,-,-,-,-,-
11,EV/EBITDA Ratio,34.63,20.65,20.55,17.25,25.79,23.57,21.57,29.43,39.31,-,-,-,-,-,-
12,EV/EBIT Ratio,45.70,26.44,26.42,22.58,-,29.83,26.91,35.95,46.46,-,-,-,-,-,-
13,EV/FCF Ratio,40.48,23.42,19.24,-,16.03,24.12,31.18,40.73,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.08,0.08,0.04,0.06,0.04,-,0.00,-,0.00,0.00,0.00,0.00,0.00,-,-
15,Debt / EBITDA Ratio,0.96,0.75,0.33,0.77,6.37,-,0.00,-,0.00,0.00,0.00,0.00,0.00,-,-
16,Debt / FCF Ratio,1.12,1.12,0.53,-,0.40,-,0.00,-,-,0.00,0.01,-,-0.56,-,-
17,Asset Turnover,0.40,0.41,0.30,0.32,0.41,0.39,0.24,0.33,0.68,-,-,-,-,-,
18,Inventory Turnover,2.09,2.25,2.15,1.70,1.92,2.23,2.22,1.48,1.63,2.37,-,-,-,-,-
19,Quick Ratio,1.47,1.47,2.06,1.54,2.20,5.02,6.32,7.74,7.76,2.93,2.27,-,1.92,-,1.65
20,Current Ratio,2.59,2.59,2.85,2.98,2.92,6.13,7.64,9.31,9.18,4.22,3.63,-,3.20,-,2.75
21,Return on Equity (ROE),7.85%,12.74%,8.21%,6.20%,8.27%,9.43%,7.05%,8.44%,17.03%,15.97%,12.63%,-,-,-,
22,Return on Assets (ROA),4.50%,5.60%,3.34%,-0.58%,4.04%,5.09%,3.23%,1.33%,9.82%,-,-,-,-,-,
23,Return on Capital (ROIC),5.24%,6.51%,3.87%,-0.67%,4.58%,5.63%,3.54%,1.50%,11.80%,10.79%,8.60%,-,-,-,
24,Return on Capital Employed (ROCE),6.15%,6.15%,5.82%,5.26%,-,5.79%,6.63%,6.61%,7.08%,14.40%,16.62%,-,13.87%,-,4.67%
25,Earnings Yield,2.83%,4.29%,4.99%,4.18%,3.15%,3.19%,3.27%,2.93%,2.17%,-,-,-,-,-,-
26,FCF Yield,2.32%,3.51%,4.59%,4.98%,4.45%,3.01%,2.35%,2.23%,0.78%,-,-,-,-,-,-
27,Dividend Yield,0.85%,-,-,-,1.10%,-,-,-,0.67%,-,-,-,-,-,-
28,Payout Ratio,28.26%,-,78.58%,-,-,-,96.17%,-,-,-,-,63.20%,-,-,9.40%
29,Buyback Yield / Dilution,-3.85%,2.02%,-1.24%,0.69%,-19.66%,-45.81%,-26.07%,-35.62%,-9.99%,3.64%,-8.03%,-,-,-,-
30,Total Shareholder Return,-2.99%,2.02%,-1.24%,0.69%,-18.57%,-45.81%,-26.07%,-35.62%,-9.32%,3.64%,-8.03%,-,-,-,-
