,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,304.29,271.5,300.03,368.78,741.76,707.29,702.74,699.75,262.61,241.05,-,242.77,-,172.36
1,Short-Term Investments,-,94.8,-,71.28,-,-,-,1.38,-,-,-,-,-,-
2,Trading Asset Securities,-,86.71,-,50.5,15.12,10,-,-,-,-,-,-,-,35.12
3,Cash & Short-Term Investments,304.29,453.01,300.03,490.56,756.88,717.29,702.74,701.13,262.61,241.05,242.77,242.77,-,207.48
4,Cash Growth,-59.80%,-36.84%,-57.31%,-30.03%,188.21%,197.57%,189.47%,188.81%,-,16.18%,-,-,-,-
5,Accounts Receivable,82.89,17.68,59.17,11.19,17,8.75,12.69,12.31,28.48,16.56,-,8.12,-,24.43
6,Other Receivables,7.68,5.94,6.69,5,7.22,12.26,13.4,6.1,2.22,2.26,-,4.17,-,5.97
7,Receivables,90.57,23.62,65.87,16.2,24.23,21.01,26.09,18.4,30.7,18.82,-,12.44,-,32.84
8,Inventory,164.63,169.85,170.5,155.67,148.56,147.79,136.02,123.08,121.45,149.03,-,161.59,-,151.07
9,Other Current Assets,135.59,15.06,174.28,11,22.87,7.05,11.85,7.83,7.03,6.31,-,9.23,-,5.21
10,Total Current Assets,695.08,661.54,710.67,673.42,952.54,893.13,876.69,850.44,421.79,415.22,-,426.03,-,396.6
11,"Property, Plant & Equipment",279.93,280.71,270.96,273.58,262.66,258.77,250.95,253.38,238.92,232.54,-,201.82,-,141.81
12,Long-Term Investments,-,369.14,-,361.3,-,-,-,-,-,-,-,-,-,6.47
13,Other Intangible Assets,41.9,42.02,41.33,41.57,41.85,42.14,41.97,42.2,42.46,42.72,-,43.25,-,44.12
14,Long-Term Deferred Tax Assets,0.48,0.76,0.11,0.19,-,-,0.9,-,1.29,1.21,-,0.9,-,0.75
15,Other Long-Term Assets,396.61,1.58,337.26,3.6,0.1,0.07,-,0.43,-,-,-,1.55,-,10.9
16,Total Assets,1414,1356,1360,1354,1257,1194,1171,1146,704.45,691.69,-,673.54,-,600.64
17,Accounts Payable,90.15,91.91,97.05,103.47,86.8,59.16,42.74,42.84,33.45,44.55,-,50.81,-,46.55
18,Accrued Expenses,8.46,12.21,6.12,13.43,10.7,8.96,4.72,14.7,13.59,11.82,-,9.96,-,6.31
19,Short-Term Debt,88.99,47.4,70.42,47.35,-,-,-,-,-,-,-,-,-,-
20,Current Portion of Leases,-,-,-,-,-,0.14,-,0.14,-,-,-,-,-,-
21,Current Income Taxes Payable,9.74,4.15,7.28,2.84,7.7,3.72,2.72,1.49,2.03,3.6,-,3.25,-,5.87
22,Current Unearned Revenue,45.92,48.41,51.17,57.47,46.5,40.7,42.31,29.96,37.77,49.4,-,61.91,-,72.38
23,Other Current Liabilities,25.61,27.83,6.25,6.24,3.75,4.18,1.71,3.54,13.2,5.16,-,7.01,-,12.92
24,Total Current Liabilities,268.88,231.91,238.29,230.8,155.45,116.86,94.19,92.68,100.03,114.53,-,132.94,-,144.02
25,Long-Term Leases,-,-,-,-,-,0.05,-,0.06,0.19,0.19,-,0.19,-,-
26,Long-Term Unearned Revenue,1.87,1.94,2.02,2.09,2.68,2.69,0.11,2.7,2.71,2.71,-,0.14,-,0.16
27,Long-Term Deferred Tax Liabilities,10.57,10.37,9.11,8.1,5.59,5.59,3.21,6.1,6.44,5.58,-,3.21,-,1.41
28,Other Long-Term Liabilities,1.27,1.22,1.02,1.04,1.13,1.13,1.13,1.13,1.13,1.13,-,1.13,-,1.03
29,Total Liabilities,282.6,245.44,250.44,242.03,164.86,126.32,98.64,102.66,110.5,124.14,-,137.62,-,146.62
30,Common Stock,142.61,142.61,142.61,142.61,142.61,142.61,142.61,142.61,106.96,106.96,-,106.96,-,106.96
31,Additional Paid-In Capital,686,682.43,693.28,692.02,690.34,688.66,686.97,685.29,288.58,286.9,-,283.53,-,278.36
32,Retained Earnings,326.85,304.86,301.2,274.73,257.64,235.31,241.77,215.7,198.41,173.7,-,145.43,-,68.7
33,Treasury Stock,-27.9,-22.9,-30,-,-,-,-,-,-,-,-,-,-,-
34,Comprehensive Income & Other,3.84,3.32,2.79,2.27,1.72,1.21,0.51,0.19,-,-,-,-,-,-
35,Shareholders' Equity,1131,1110,1110,1112,1092,1068,1072,1044,593.96,567.55,535.93,535.93,-,454.02
36,Total Liabilities & Equity,1414,1356,1360,1354,1257,1194,1171,1146,704.45,691.69,-,673.54,-,600.64
37,Total Debt,88.99,47.4,70.42,47.35,-,0.19,-,0.19,0.19,0.19,0.19,0.19,-,-
38,Net Cash (Debt),215.3,405.6,229.62,443.21,756.88,717.1,702.74,700.94,262.42,240.85,242.58,242.58,-,207.48
39,Net Cash Growth,-71.55%,-43.44%,-67.33%,-36.77%,188.42%,197.73%,189.70%,188.96%,-,16.09%,-,-,-,-
40,Net Cash Per Share,1.48,2.87,1.61,3.11,5.09,5.14,4.90,5.88,2.57,2.18,2.29,2.24,-,2.03
41,Filing Date Shares Outstanding,141.86,141.24,140.14,142.61,142.61,142.61,142.61,142.61,106.96,106.96,105.77,106.96,105.81,106.96
42,Total Common Shares Outstanding,141.86,141.24,140.14,142.61,142.61,142.61,142.61,142.61,106.96,106.96,105.77,106.96,105.81,106.96
43,Working Capital,426.2,429.63,472.39,442.62,797.09,776.27,782.5,757.77,321.76,300.69,-,293.09,-,252.58
44,Book Value Per Share,7.98,7.86,7.92,7.79,7.66,7.49,7.52,7.32,5.55,5.31,5.01,5.01,-,4.24
45,Tangible Book Value,1090,1068,1069,1070,1050,1026,1030,1002,551.5,524.83,492.68,492.68,-,409.91
46,Tangible Book Value Per Share,7.68,7.56,7.62,7.50,7.37,7.19,7.22,7.02,5.16,4.91,4.61,4.61,-,3.83
47,Buildings,-,248.84,-,248.84,-,192.77,-,192.77,193.98,192.69,-,36.79,-,36.79
48,Machinery,-,114.28,-,88.57,-,84.3,-,82.75,75.81,73.9,-,58.17,-,34.42
49,Construction In Progress,-,0.36,-,8.3,-,45.15,-,32.11,19.02,11.58,-,147.46,-,107.77
