,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,140.61,139.29,102.22,103.81,125.31,115.02,70.33,74.74,119.2,117.45,76.52,134.67,121.4,88.9
1,Other Revenue,-1.56,1.56,-,2.09,-0.88,0.88,-,1.2,-0.41,0.41,-,0.23,0.4,0.47
2,Revenue,139.05,140.85,102.22,105.9,124.43,115.89,70.33,75.94,118.79,117.86,76.52,134.9,121.8,89.37
3,Revenue Growth (YoY),11.75%,21.53%,45.35%,39.46%,4.74%,-1.67%,-8.09%,-43.71%,-2.47%,31.87%,-,-,-,-
4,Cost of Revenue,94.17,91.64,69.24,72.94,82.48,78.74,48.04,49.92,80.24,80.14,48.1,92.21,83.11,56.51
5,Gross Profit,44.88,49.2,32.98,32.96,41.95,37.15,22.29,26.02,38.55,37.72,28.42,42.69,38.68,32.86
6,"Selling, General & Admin",13.26,14.76,11.64,14.46,12.39,12.52,9.31,12.49,9.61,9.14,7.36,9.66,12.19,8.36
7,Research & Development,12.9,7.08,4.73,7.79,13.49,6.91,5.27,4.98,4.63,7.52,3.58,4.71,5.5,4.02
8,Other Operating Expenses,-6.3,-2.8,-1.81,13.98,-4.18,-6.09,-7.59,4.45,-3.7,-2.49,-0.87,11.18,-15.45,-0.83
9,Operating Expenses,19.96,18.77,14.86,35.97,22.15,13.06,7.31,21.1,11.14,13.9,9.97,25.36,2.34,11.55
10,Operating Income,24.92,30.44,18.13,-3.01,19.8,24.09,14.98,4.92,27.41,23.82,18.44,17.34,36.34,21.32
11,Interest Expense,-,-0.46,-0.02,-0.34,-,-,-,-,-,-,-,-,-,-
12,Interest & Investment Income,5.23,6.65,6.32,6.93,6.01,5.82,6.16,3.4,1.71,1.56,1.36,2.89,1.31,1.19
13,Currency Exchange Gain (Loss),-0.59,0.59,-,0.4,0.13,-0.13,-,-0.16,0.25,-0.25,-,-0.04,0.05,-0.12
14,Other Non Operating Income (Expenses),-0.05,-0.33,0.05,-0.16,-0.83,-0.97,0.39,-0.06,0.16,-0.6,0.28,0.1,0.22,0.33
15,EBT Excluding Unusual Items,29.51,36.88,24.47,3.83,25.11,28.81,21.53,8.09,29.53,24.53,20.08,20.3,37.92,22.72
16,Gain (Loss) on Sale of Investments,0.37,0.68,0.55,0.38,0.12,-,-,-,-,-,-,-,-0.55,0.06
17,Gain (Loss) on Sale of Assets,-,-,-,-0.02,-,-,-,-,-,0.05,-,-0.24,-,-
