,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,57,260,307,652,671,1077,1676,3117,2928,3211,3920,Upgrade
1,Market Cap Growth,-60.14%,-60.14%,-54.23%,-39.47%,-60.00%,-65.45%,-42.74%,-2.94%,-25.30%,-26.88%,-12.63%,Upgrade
2,Enterprise Value,3315,10328,10192,10840,10934,9140,8074,5922,7928,8074,9238,Upgrade
3,Last Close Price,0.01,0.06,0.07,0.14,0.14,0.23,0.35,0.63,0.59,0.65,0.71,Upgrade
4,PE Ratio,-,-,-,-,-,-,-,-,-,20.62,-,Upgrade
5,PS Ratio,0.01,0.04,0.03,0.05,0.04,0.09,0.17,0.27,0.27,1.03,-,Upgrade
6,PB Ratio,-0.34,-0.34,0.13,0.21,0.22,0.19,0.24,0.43,0.45,0.53,0.57,Upgrade
7,P/TBV Ratio,-,-,-,-,2.48,0.38,0.36,0.64,0.51,0.60,0.67,Upgrade
8,P/FCF Ratio,-,-,-,-,-1.20,-,-,-,1.44,12.73,-,Upgrade
9,P/OCF Ratio,-,-,-,-,-1.22,-,-,-,1.42,11.85,-,Upgrade
10,EV/Sales Ratio,0.48,1.50,1.02,0.82,0.69,0.76,0.81,0.51,0.74,2.58,-,Upgrade
11,EV/EBITDA Ratio,-,-,-,-11.71,-,14.58,34.40,-,17.66,-,-,Upgrade
12,EV/EBIT Ratio,-,-,-,-11.27,-,15.68,44.03,-,19.24,-,-,Upgrade
13,EV/FCF Ratio,-2.97,-,-,-,-19.60,-,-,-,3.91,32.01,-,Upgrade
14,Debt / Equity Ratio,-4.63,-4.63,3.88,2.69,3.09,1.73,1.61,1.20,1.27,1.44,1.32,Upgrade
15,Debt / FCF Ratio,-,-,-,-,-16.86,-,-,-,4.09,34.42,-,Upgrade
16,Return on Capital Employed (ROCE),-,-,-,-9.22%,-,4.67%,1.38%,-,2.63%,-,-,Upgrade
17,Earnings Yield,-2846.00%,-620.95%,-308.95%,-350.97%,-436.42%,-91.29%,-56.93%,-26.56%,-4.08%,4.85%,-,Upgrade
18,FCF Yield,-1970.55%,-429.94%,-136.36%,34.74%,-83.19%,-133.37%,-235.52%,-51.15%,69.23%,7.86%,-,Upgrade
19,Buyback Yield / Dilution,-0.02%,-0.07%,0.04%,0.08%,0.48%,1.46%,1.41%,0.37%,-,1.91%,-,Upgrade
20,Total Shareholder Return,-0.02%,-0.07%,0.04%,0.08%,0.48%,1.46%,1.41%,0.37%,-,1.91%,-,Upgrade
