,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,1323,5076,3964,8267,5751,4539,3537,6139,2853,-,Upgrade
1,Revenue Growth (YoY),-66.62%,-38.60%,-31.08%,82.12%,62.62%,-26.06%,23.98%,-,36.42%,-,Upgrade
2,Cost of Revenue,1108,4693,3236,8084,4581,3669,2738,4936,2347,-,Upgrade
3,Gross Profit,214.61,382.67,727.95,183,1171,870.72,798.95,1203,505.21,-,Upgrade
4,"Selling, General & Admin",316.83,837.67,682.35,812.31,775.71,364.8,1027,839.75,475.99,-,Upgrade
5,Other Operating Expenses,455.12,164.32,-46.09,274.8,239.07,73.14,-36.07,-114.11,57.16,-,Upgrade
6,Operating Expenses,771.96,1324,636.26,1165,1015,529.18,991.1,828.12,533.15,-,Upgrade
7,Operating Income,-557.35,-940.93,91.69,-981.97,156.06,341.53,-192.15,374.87,-27.94,-,Upgrade
8,Interest Expense,-90.82,-96.81,-99.48,-250.2,-133.05,-89.47,-160.07,-219.06,-251.17,-,Upgrade
9,Interest & Investment Income,19.59,17.01,15.23,12.2,9.71,41.4,48.83,46.62,109.95,-,Upgrade
10,Earnings From Equity Investments,750.18,9.13,49.07,27.21,-299.47,15.2,83.41,320.81,374.86,-,Upgrade
11,Currency Exchange Gain (Loss),17.22,-61.18,11.73,132.87,56.54,-52.9,-67.21,-254.49,61.11,-,Upgrade
12,Other Non Operating Income (Expenses),4.28,-38.46,-16.43,0.69,-34.84,61.04,-51.48,-5.4,-4.98,-,Upgrade
13,EBT Excluding Unusual Items,143.09,-1111,51.82,-1059,-245.05,316.8,-338.68,263.35,261.83,-,Upgrade
14,Gain (Loss) on Sale of Investments,-,-12.88,-8.44,-29.24,-31.24,50,25,-,-,-,Upgrade
15,Gain (Loss) on Sale of Assets,-814.24,-1.89,-2.95,-83.67,-0.01,-0,-0.02,193.22,0.67,-,Upgrade
16,Asset Writedown,-,182.81,-,-25.09,-8.51,-24.1,4.5,36.29,44.5,-,Upgrade
17,Other Unusual Items,-,76.64,2.81,-264.42,-,-540.42,-,-278.12,-,-,Upgrade
18,Pretax Income,-671.15,-866.56,43.24,-1462,-284.8,-197.72,-309.19,214.74,307,-,Upgrade
19,Income Tax Expense,1.56,-6.9,46.9,601.81,105.52,56.84,132.45,370.2,118.95,-,Upgrade
20,Earnings From Continuing Operations,-672.71,-859.66,-3.66,-2063,-390.32,-254.55,-441.64,-155.46,188.05,-,Upgrade
21,Net Income to Company,-672.71,-859.66,-3.66,-2063,-390.32,-254.55,-441.64,-155.46,188.05,-,Upgrade
22,Minority Interest in Earnings,-2.81,34.24,-31.71,-17.9,-116.99,-77.27,-4.04,-87.05,-46.12,-,Upgrade
23,Net Income,-675.52,-825.43,-35.37,-2081,-507.32,-331.83,-445.68,-242.51,141.94,-,Upgrade
24,Net Income to Common,-675.52,-825.43,-35.37,-2081,-507.32,-331.83,-445.68,-242.51,141.94,-,Upgrade
25,Net Income Growth,-,-,-,-,-,-,-,-,-46.17%,-,Upgrade
26,Shares Outstanding (Basic),4547,4542,4544,4544,4548,4566,4615,4631,4632,-,Upgrade
27,Shares Outstanding (Diluted),4547,4542,4544,4544,4548,4566,4615,4631,4632,-,Upgrade
28,Shares Change (YoY),0.07%,-0.04%,-0.08%,-0.48%,-1.46%,-1.41%,-0.37%,-,-1.91%,-,Upgrade
29,EPS (Basic),-0.15,-0.18,-0.01,-0.46,-0.11,-0.07,-0.10,-0.05,0.03,-,Upgrade
30,EPS (Diluted),-0.15,-0.18,-0.01,-0.46,-0.11,-0.07,-0.10,-0.05,0.03,-,Upgrade
31,EPS Growth,-,-,-,-,-,-,-,-,-45.12%,-,Upgrade
32,Free Cash Flow,-767.95,-271.3,-108.62,318.14,-811.56,-414.28,-2802,1477,229.91,-,Upgrade
33,Free Cash Flow Per Share,-0.17,-0.06,-0.02,0.07,-0.18,-0.09,-0.61,0.32,0.05,-,Upgrade
34,Operating Margin,-42.13%,-18.54%,2.31%,-11.88%,2.71%,7.52%,-5.43%,6.11%,-0.98%,-,Upgrade
35,Profit Margin,-51.06%,-16.26%,-0.89%,-25.18%,-8.82%,-7.31%,-12.60%,-3.95%,4.98%,-,Upgrade
36,Free Cash Flow Margin,-58.05%,-5.34%,-2.74%,3.85%,-14.11%,-9.13%,-79.23%,24.06%,8.06%,-,Upgrade
37,EBITDA,-545.7,-908.31,104.99,-961.87,171.48,363.58,-172.36,392.24,-14.21,-,Upgrade
38,D&A For EBITDA,11.65,32.62,13.3,20.1,15.42,22.04,19.79,17.37,13.73,12.17,Upgrade
39,EBIT,-557.35,-940.93,91.69,-981.97,156.06,341.53,-192.15,374.87,-27.94,-,Upgrade
40,Advertising Expenses,67.24,-,209.84,-,256.56,-,-,-,106.25,-,Upgrade
