,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,1826114,1201375,1680360,948714,1350554,1301196,1224315,1299799,1561674,1321374,1717075,1084989,1467595,1062897,1231944,1061088,1161850,1192302,1178853,953107,Upgrade
1,Revenue Growth (YoY),35.21%,-7.67%,37.25%,-27.01%,-13.52%,-1.53%,-28.70%,19.80%,6.41%,24.32%,39.38%,2.25%,26.32%,-10.85%,4.50%,11.33%,-9.64%,32.64%,-20.76%,-4.84%,Upgrade
2,Cost of Revenue,1226266,858875,1127190,674283,901342,909833,885505,922964,1219795,1052436,1212880,809424,1191923,793700,985235,711752,825654,813496,809169,649625,Upgrade
3,Gross Profit,599848,342499,553170,274431,449211,391362,338810,376834,341880,268939,504196,275564,275672,269198,246709,349336,336195,378805,369683,303482,Upgrade
4,"Selling, General & Admin",319374,141510,256990,142177,226006,208514,186034,201908,223973,156736,272917,121119,138759,157088,93286,185484,205749,194067,206714,191258,Upgrade
5,Operating Expenses,319374,141510,256990,142177,226006,208514,186034,201908,223973,156736,272917,121119,138759,157088,93286,185484,205749,194067,206714,191258,Upgrade
6,Operating Income,280474,200990,296180,132255,223205,182848,152776,174926,117906,112203,231278,154445,136913,112110,153423,163852,130446,184739,162970,112224,Upgrade
7,Interest Expense,-,-17283,-43023,-13001,-16313,-28221,-30538,-31864,-27487,-29645,-6009,-15499,-10771,-23565,-13248,-8183,-9632,-26312,-4843,-25968,Upgrade
8,Interest & Investment Income,30929,24705,20418,14920,10903,27531,21558,3533,11910,16997,14283,12195,12748,9084,18587,3316,5575,389.73,6535,5879,Upgrade
9,Earnings From Equity Investments,9138,2947,7717,2987,14369,-5477,6054,-63.09,-11774,-52.57,4115,32097,22506,-5754,4869,953.42,5071,2859,5136,4792,Upgrade
10,Currency Exchange Gain (Loss),-,-,-,438.37,-2604,-,-,1442,2624,-,-5227,-848.49,-326.05,-,-,227.55,2100,-,-92.01,646.86,Upgrade
11,Other Non Operating Income (Expenses),-56204,-2354,3275,-7057,-34921,826.94,1866,-12556,-11982,478.51,-26606,-10923,-19838,223.28,719.78,-6811,-10369,842,-16850,-12719,Upgrade
12,EBT Excluding Unusual Items,264337,209003,284567,130543,194640,177509,151716,135419,81197,99981,211835,171466,141231,92097,164351,153355,123191,162518,152856,84854,Upgrade
13,Pretax Income,264337,209003,284567,130543,194640,177509,151716,135419,81197,99981,211835,171466,141231,92097,164351,153355,123191,162518,152856,84854,Upgrade
14,Income Tax Expense,47799,37114,46337,21540,29978,29325,23528,17036,11961,16147,34829,22003,21132,14379,24451,23314,18007,24637,24372,9213,Upgrade
15,Net Income,216538,171889,238229,109003,164662,148183,128187,118383,69236,83834,177006,149463,120100,77718,139900,130041,105183,137880,128484,75642,Upgrade
16,Preferred Dividends & Other Adjustments,-,-,-,-,55209,-,-,-,45582,-,-,-,44174,-,-,-,48174,-,-,-,Upgrade
17,Net Income to Common,216538,171889,238229,109003,109452,148183,128187,118383,23654,83834,177006,149463,75926,77718,139900,130041,57010,137880,128484,75642,Upgrade
18,Net Income Growth,31.50%,16.00%,85.84%,-7.92%,137.83%,76.76%,-27.58%,-20.79%,-42.35%,7.87%,26.52%,14.93%,14.18%,-43.63%,8.89%,71.92%,-2.51%,67.52%,-12.72%,5.61%,Upgrade
19,Shares Outstanding (Basic),143,143,142,143,143,142,143,143,143,143,143,143,142,142,142,143,143,142,143,143,Upgrade
20,Shares Outstanding (Diluted),143,143,142,143,143,142,143,143,143,143,143,143,142,142,142,143,143,142,143,143,Upgrade
21,Shares Change (YoY),0.03%,0.03%,-0.05%,-,-0.08%,-0.03%,0.03%,-,0.09%,0.03%,0.03%,-0.00%,-0.02%,0.01%,-0.02%,-,-0.01%,-0.10%,0.01%,-0.00%,Upgrade
22,EPS (Basic),1519.00,1206.00,1671.82,764.76,768.04,1040.00,899.09,830.56,165.85,588.18,1241.85,1048.62,532.84,545.45,981.82,912.36,400.01,967.77,901.52,530.69,Upgrade
23,EPS (Diluted),1519.00,1206.00,1671.82,764.76,768.04,1040.00,899.09,830.56,165.85,588.18,1241.85,1048.62,532.84,545.45,981.82,912.36,400.01,967.77,901.52,530.69,Upgrade
