,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,9293105,9122066,8737265,7411709,5571739,5118226,4716542,4859075,4042750,4146411,4910905,4370238,6867517,7067771,5972266,5984046,4240663,4240663,3851935,3658073,2606040,Upgrade
1,Market Cap Growth,78.23%,78.23%,85.25%,52.53%,37.82%,23.44%,-3.96%,11.19%,-41.13%,-41.33%,-17.77%,-26.97%,61.94%,66.67%,55.05%,63.58%,62.72%,33.75%,11.25%,20.56%,-23.15%,Upgrade
2,Enterprise Value,7750006,8540273,7558829,7569410,5839155,4921460,5177073,5048302,5141276,5305728,5109267,5376985,7633280,8032694,6681682,5625795,4973669,5123673,5189841,4699523,3790252,Upgrade
3,Last Close Price,65200.00,62523.08,59885.38,50800.00,37540.44,34484.83,30510.67,31432.69,25780.52,26441.56,29947.19,26650.05,40989.51,42184.74,34709.70,34778.16,23983.41,23983.41,20851.29,20213.64,14002.56,Upgrade
4,PE Ratio,12.63,12.40,13.90,12.25,11.26,10.15,11.27,13.72,10.03,9.55,10.10,9.10,15.50,16.69,14.76,12.87,9.35,10.63,8.56,9.28,6.31,Upgrade
5,PS Ratio,1.64,1.61,1.69,1.40,1.15,0.99,0.88,0.90,0.69,0.73,0.88,0.82,1.42,1.47,1.32,1.29,0.92,0.95,0.84,0.85,0.56,Upgrade
6,PB Ratio,2.53,2.49,2.53,2.26,1.73,1.64,1.50,1.62,1.37,1.46,1.66,1.51,2.40,2.61,2.14,2.20,1.56,1.64,1.44,1.44,1.02,Upgrade
7,P/TBV Ratio,2.49,2.49,2.54,2.27,1.73,1.65,1.50,1.63,1.37,1.47,1.67,1.51,2.41,2.62,2.14,2.21,1.57,1.69,1.48,1.48,1.06,Upgrade
8,P/FCF Ratio,4.68,4.59,-,3.85,22.06,-,3.34,-,4.36,-18.57,-,5.76,-,31.71,-,-,3.12,5.26,4.80,-,2.68,Upgrade
9,P/OCF Ratio,4.42,4.42,-,3.69,17.00,-,3.06,-,3.87,-35.76,-,5.07,-,22.43,-,-,2.87,4.59,4.42,-,2.37,Upgrade
10,EV/Sales Ratio,1.37,1.51,1.46,1.43,1.21,0.95,0.96,0.93,0.87,0.93,0.91,1.01,1.57,1.67,1.48,1.21,1.08,1.14,1.13,1.09,0.82,Upgrade
11,EV/EBITDA Ratio,7.16,8.06,7.56,7.70,6.91,5.54,6.57,7.03,6.47,6.85,6.25,6.80,10.55,11.17,9.73,7.18,6.36,6.94,6.98,6.97,5.34,Upgrade
