,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,532865,226691,275921,252505,485324,546006,455770,988532,167927,1026226,1376681,693652,142542,772323,176706,664983,212170,159157,198415,278752,Upgrade
1,Short-Term Investments,2492000,1650000,1850000,1000000,950000,950000,580000,282858,432858,-,-,-,700000,-,602710,300000,2308,-,-,2679,Upgrade
2,Cash & Short-Term Investments,3024865,1876691,2125921,1252505,1435324,1496006,1035770,1271389,600784,1026226,1376681,693652,842542,772323,779416,964983,214478,159157,198415,281431,Upgrade
3,Cash Growth,110.74%,25.45%,105.25%,-1.49%,138.91%,45.78%,-24.76%,83.29%,-28.69%,32.88%,76.63%,-28.12%,292.83%,385.26%,292.82%,242.88%,-30.63%,-22.57%,-3.70%,409.63%,Upgrade
4,Accounts Receivable,332776,540639,478027,604895,814346,610115,762105,728084,804337,773641,681021,938199,710167,808473,679550,527839,758148,852068,780251,719399,Upgrade
5,Other Receivables,27443,29489,21014,16975,21817,32918,12756,9065,7704,29986,16233,17052,11555,20161,18009,6095,2284,8441,16889,8444,Upgrade
6,Receivables,360219,570128,499041,621869,836163,643033,774861,737149,812041,819089,712716,970712,737184,844096,713021,549396,775893,875971,812602,743304,Upgrade
7,Inventory,1005127,1122688,969533,1300814,1158635,985742,1098267,1228991,1535149,1661388,1126687,1133984,1081530,1291763,1017361,572869,644122,870375,1172338,970463,Upgrade
8,Prepaid Expenses,12467,15282,18055,17137,16899,12514,12414,8617,12681,10283,10978,4510,5135,3844,5672,4207,8318,6969,5608,7231,Upgrade
9,Other Current Assets,70204,70610,65306,71117,54170,80598,58610,83135,115140,94085,46203,38939,55348,59370,41651,54611,35994,77690,44954,72333,Upgrade
10,Total Current Assets,4472882,3655399,3677855,3263442,3501191,3217893,2979921,3329281,3075797,3611071,3273266,2841798,2721738,2971396,2557120,2146066,1678806,1990162,2233918,2074761,Upgrade
11,"Property, Plant & Equipment",1269494,1292591,1321722,1338748,1368801,1385856,1412741,1408971,1412107,1387431,1415016,1451956,1492816,1473895,1506270,1514121,1549265,1543133,1568737,1555199,Upgrade
12,Long-Term Investments,520028,510890,457944,450726,442339,434679,430156,424101,424165,585939,585991,581877,549780,527274,533028,528160,527206,522095,519236,501500,Upgrade
13,Other Intangible Assets,7105,7105,7105,7105,7105,7105,7177,7248,7319,7391,7462,7534,7605,8962,9048,9134,76590,77273,77956,78638,Upgrade
14,Long-Term Deferred Tax Assets,806.04,866.81,924.49,964.47,1024,1083,1143,1202,1262,1322,1390,1469,1549,1479,1356,1355,1494,1452,1509,1517,Upgrade
15,Other Long-Term Assets,144555,130965,130821,127867,133240,130353,134561,138592,143187,128887,133061,134663,124710,124059,127463,128634,62057,12164,8944,11006,Upgrade
16,Total Assets,6414872,5597817,5596372,5188853,5453699,5176969,4965698,5309395,5063837,5722041,5416186,5019297,4898198,5107066,4734285,4327470,3895419,4146280,4410299,4222622,Upgrade
17,Accounts Payable,313881,333352,202461,216274,318257,193746,170637,206463,318478,205885,268857,269038,232933,366924,249445,151031,125999,167240,146325,117981,Upgrade
18,Accrued Expenses,197766,269739,309459,186045,247829,272246,221741,231818,133418,181607,311648,161364,209912,153716,209048,185807,207062,209561,139695,169143,Upgrade
19,Short-Term Debt,1481766,1294898,947485,1410206,1702740,1299240,1492506,1460616,1687926,2182875,1567691,1688362,1575225,-,1444006,575959,890983,1002025,1441655,1212473,Upgrade
20,Current Portion of Long-Term Debt,-,-,-,-,-,-,3795,-,11384,-,-,-,18737,1715841,18737,-,18737,-,-,-,Upgrade
21,Current Income Taxes Payable,47433,80304,45992,21079,29613,32430,6756,16003,11607,23535,34456,11630,20690,21495,26478,18882,7756,25724,26229,10437,Upgrade
22,Other Current Liabilities,707652,169689,813028,130748,39760,234107,73246,445295,70206,169526,324072,19425,116004,33113,43629,646688,20138,18787,16810,57283,Upgrade
23,Total Current Liabilities,2748497,2147981,2318425,1964351,2338200,2031769,1968680,2360195,2233020,2763428,2506724,2149820,2173500,2291089,1991342,1578367,1270673,1423339,1770714,1567317,Upgrade
24,Long-Term Debt,-,-,-,-,-,-,-,-,-,2668,7352,12036,16721,21405,26089,30773,35457,40141,94665,110408,Upgrade
25,Total Liabilities,2748497,2147981,2318425,1964351,2338200,2031769,1968680,2360195,2233020,2766097,2514076,2161856,2190220,2312493,2017431,1609140,1306130,1463480,1865380,1677725,Upgrade
26,Common Stock,1425323,1425323,1295753,1295753,1295753,1295753,1295753,1295753,1295753,1295753,1177962,1177962,1177962,1177962,1177962,1177962,1177962,1177962,981639,981639,Upgrade
27,Retained Earnings,2241051,2024514,1982194,1928749,1819746,1849447,1701264,1653447,1535064,1660191,1724148,1679479,1530016,1616610,1538892,1540368,1411327,1504838,1563280,1563258,Upgrade
28,Shareholders' Equity,3666374,3449836,3277947,3224502,3115499,3145201,2997017,2949200,2830817,2955944,2902110,2857441,2707978,2794572,2716854,2718330,2589289,2682799,2544919,2544897,Upgrade
29,Total Liabilities & Equity,6414872,5597817,5596372,5188853,5453699,5176969,4965698,5309395,5063837,5722041,5416186,5019297,4898198,5107066,4734285,4327470,3895419,4146280,4410299,4222622,Upgrade
30,Total Debt,1481766,1294898,947485,1410206,1702740,1299240,1496301,1460616,1699310,2185543,1575044,1700399,1610682,1737246,1488831,606732,945176,1042167,1536321,1322881,Upgrade
31,Net Cash (Debt),1543099,581793,1178436,-157701,-267416,196766,-460531,-189227,-1098525,-1159317,-198362,-1006747,-768140,-964923,-709416,358251,-730698,-883010,-1337906,-1041450,Upgrade
32,Net Cash Growth,-,195.68%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
33,Net Cash Per Share,10824.75,4081.94,8269.89,-1106.42,-1876.50,1380.97,-3230.11,-1327.60,-7702.37,-8133.79,-1391.68,-7063.26,-5390.73,-6772.16,-4978.67,2513.45,-5126.92,-6197.76,-9387.52,-7306.71,Upgrade
34,Filing Date Shares Outstanding,142.53,142.53,142.53,142.53,142.53,142.53,142.53,142.53,142.53,142.53,142.53,142.53,142.53,142.53,142.53,142.53,142.53,142.47,142.52,142.53,Upgrade
35,Total Common Shares Outstanding,142.53,142.53,142.53,142.53,142.53,142.53,142.53,142.53,142.53,142.53,142.53,142.53,142.53,142.53,142.53,142.53,142.53,142.47,142.52,142.53,Upgrade
36,Working Capital,1724385,1507418,1359430,1299092,1162991,1186124,1011241,969086,842777,847642,766542,691979,548238,680307,565777,567699,408133,566823,463203,507444,Upgrade
37,Book Value Per Share,25723.11,24203.89,22997.83,22622.87,21858.11,22066.49,21026.85,20691.37,19860.80,20738.68,20360.91,20047.52,18998.90,19606.44,19061.18,19071.53,18166.19,18830.29,17856.62,17854.68,Upgrade
38,Tangible Book Value,3659269,3442731,3270842,3217397,3108394,3138095,2989841,2941952,2823498,2948553,2894648,2849907,2700373,2785611,2707806,2709196,2512698,2605526,2466963,2466259,Upgrade
39,Tangible Book Value Per Share,25673.26,24154.04,22947.98,22573.02,21808.26,22016.64,20976.50,20640.52,19809.45,20686.83,20308.56,19994.66,18945.55,19543.57,18997.70,19007.45,17628.84,18287.92,17309.64,17302.96,Upgrade
40,Buildings,1731801,1721350,1720105,1710994,1710994,1691660,1687915,1686383,1686383,1656546,1653629,1647237,1645920,-,1516457,1510689,1510689,-,1410972,1410972,Upgrade
41,Machinery,1454487,1456373,1417842,1410180,1405061,1400061,1402446,1379405,1375932,1351720,1335031,1330146,1321058,-,1329456,1327306,1325652,1319744,1320043,1285339,Upgrade
42,Construction In Progress,11119,15198,47531,47542,47357,53095,44827,39489,8680,3822,12607,23881,36507,102408,110884,89822,89106,153250,148304,133491,Upgrade
